Symbol,Latest_Close,52_Week_Low,Distance_from_Low_%,Date_at_52W_Low
IGIPO,241.0,340.0,-29.12,N/A
EDBLPO,324.0,408.0,-20.59,N/A
MDBPO,318.0,359.0,-11.42,N/A
HBLPO,102.0,111.6,-8.6,N/A
ACLBSLP,512.0,556.0,-7.91,N/A
SMATAP,421.0,441.0,-4.54,N/A
CORBL,795.1,800.0,-0.61,N/A
NMBD2085,1102.1,1107.5,-0.49,N/A
SBLD84,1020.1,1025.0,-0.48,N/A
NMB50,9.68,9.7,-0.21,N/A
PFL,351.0,351.6,-0.17,N/A
GUFLPO,298.0,298.0,0.0,N/A
JBBLPO,179.0,179.0,0.0,N/A
GBIMEP,100.0,100.0,0.0,N/A
CORBLP,100.0,100.0,0.0,N/A
FOWADP,550.0,550.0,0.0,N/A
MNBBLP,236.2,236.2,0.0,N/A
MLBSP,698.0,698.0,0.0,N/A
NICAP,179.0,179.0,0.0,N/A
KBLPO,100.0,100.0,0.0,N/A
MATRIP,523.5,523.5,0.0,N/A
MLBSLP,100.0,100.0,0.0,N/A
LBBLPO,261.0,261.0,0.0,N/A
KMCDBP,587.0,587.0,0.0,N/A
NMLBBLP,334.0,334.0,0.0,N/A
NLICP,413.0,413.0,0.0,N/A
NLICLP,321.0,321.0,0.0,N/A
SALICOPO,270.0,270.0,0.0,N/A
PRVUPO,100.0,100.0,0.0,N/A
CYCLP,831.0,831.0,0.0,N/A
BFCPO,250.0,250.0,0.0,N/A
ALICLP,252.0,252.0,0.0,N/A
SFCLP,164.0,164.0,0.0,N/A
SMPDAP,396.0,396.0,0.0,N/A
SLBBLP,443.0,443.0,0.0,N/A
UAILPO,251.0,251.0,0.0,N/A
SRLIP,197.6,197.6,0.0,N/A
SHINEP,222.0,222.0,0.0,N/A
SIFCPO,286.0,286.0,0.0,N/A
PMLIP,255.0,255.0,0.0,N/A
RLFLPO,268.6,268.6,0.0,N/A
SBLD2082,1045.2,1045.1,0.01,N/A
PBLD86,1104.1,1100.2,0.35,N/A
SBIBD86,1130.0,1123.0,0.62,N/A
SBD87,1062.0,1055.0,0.66,N/A
SCBD,1065.0,1056.6,0.8,N/A
ULI,358.0,355.0,0.85,N/A
EBLD86,1059.0,1050.0,0.86,N/A
NICD83/84,1010.0,1001.4,0.86,N/A
ADBLB86,1010.0,1000.0,1.0,N/A
RBBD83,1022.1,1010.3,1.17,N/A
SAND2085,1100.0,1086.5,1.24,N/A
GBBD85,1050.0,1036.5,1.3,N/A
SBID83,1041.2,1027.0,1.38,N/A
