Symbol,Date,Signal,Close_at_Crossover,Latest_Close,P/L_%
GHL,2026-02-26,BUY,234.0,234.0,0.0
MDB,2026-02-26,BUY,629.0,629.0,0.0
NHPC,2026-02-26,BUY,215.0,215.0,0.0
SCB,2026-02-26,BUY,648.0,648.0,0.0
HDHPC,2026-02-19,BUY,195.1,192.0,-1.59
HURJA,2026-02-19,BUY,263.0,254.0,-3.42
SADBL,2026-02-19,BUY,412.0,411.5,-0.12
EDBL,2026-02-19,SELL,590.0,583.0,1.19
SAHAS,2026-02-19,SELL,556.0,557.0,-0.18
GLH,2026-02-12,BUY,284.0,264.0,-7.04
CORBL,2026-02-12,SELL,1660.0,1630.0,1.81
AHPC,2026-02-05,BUY,277.0,272.0,-1.81
CORBL,2026-02-05,BUY,1929.0,1630.0,-15.5
MPFL,2026-02-05,BUY,657.0,614.0,-6.54
AKJCL,2026-01-29,BUY,312.0,365.0,16.99
NABBC,2026-01-29,BUY,1580.0,1430.0,-9.49
SBI,2026-01-29,BUY,408.0,408.8,0.2
SIFC,2026-01-29,BUY,648.0,574.0,-11.42
AHPC,2026-01-29,SELL,272.0,272.0,0.0
EDBL,2026-01-22,BUY,668.0,583.0,-12.72
ICFC,2026-01-22,BUY,695.0,648.0,-6.76
HPPL,2026-01-22,SELL,477.1,502.0,-5.22
NHDL,2026-01-15,SELL,660.0,637.0,3.48
NRN,2026-01-15,SELL,1382.5,1504.2,-8.8
PCBL,2026-01-08,SELL,237.0,233.5,1.48
NHDL,2026-01-01,BUY,742.0,637.0,-14.15
PCBL,2026-01-01,BUY,261.6,233.5,-10.74
CORBL,2026-01-01,SELL,1580.0,1630.0,-3.16
MKJC,2026-01-01,SELL,510.4,527.5,-3.35
NIFRA,2026-01-01,SELL,265.0,257.8,2.72
NMB,2026-01-01,SELL,238.8,234.8,1.68
RURU,2026-01-01,SELL,670.5,653.0,2.61
MFIL,2025-12-25,BUY,709.0,794.9,12.12
ADBL,2025-12-25,SELL,288.0,293.0,-1.74
GBIME,2025-12-25,SELL,228.0,224.0,1.75
NHDL,2025-12-25,SELL,680.0,637.0,6.32
NHDL,2025-12-18,BUY,743.5,637.0,-14.32
SHL,2025-12-18,SELL,494.7,490.0,0.95
EDBL,2025-12-11,SELL,580.0,583.0,-0.52
GLH,2025-12-11,SELL,247.0,264.0,-6.88
SADBL,2025-12-11,SELL,379.8,411.5,-8.35
MEN,2025-12-04,SELL,554.5,579.8,-4.56
MNBBL,2025-12-04,SELL,347.9,359.9,-3.45
MEN,2025-11-27,BUY,670.1,579.8,-13.48
NMB,2025-11-27,BUY,260.0,234.8,-9.69
KSBBL,2025-11-27,SELL,444.0,458.0,-3.15
NMB,2025-11-20,SELL,237.0,234.8,0.93
UMRH,2025-11-20,SELL,550.1,543.0,1.29
RURU,2025-11-13,BUY,830.0,653.0,-21.33
GBBL,2025-11-13,SELL,370.0,397.0,-7.3
ICFC,2025-11-13,SELL,615.0,648.0,-5.37
ICFC,2025-11-06,BUY,652.0,648.0,-0.61
ICFC,2025-10-30,SELL,630.0,648.0,-2.86
DHPL,2025-10-23,SELL,283.0,297.8,-5.23
MBL,2025-10-23,SELL,207.1,228.3,-10.24
MFIL,2025-10-23,SELL,568.0,794.9,-39.95
NHDL,2025-10-23,SELL,636.5,637.0,-0.08
SAPDBL,2025-10-23,SELL,789.9,819.0,-3.68
CGH,2025-10-16,SELL,823.8,810.6,1.6
GHL,2025-10-16,SELL,200.9,234.0,-16.48
MLBL,2025-10-16,SELL,363.9,369.5,-1.54
PCBL,2025-10-16,SELL,232.8,233.5,-0.3
MDB,2025-10-09,SELL,592.1,629.0,-6.23
PRVU,2025-10-02,SELL,207.9,181.5,12.7
HDHPC,2025-09-25,SELL,186.0,192.0,-3.23
KBL,2025-09-25,SELL,190.3,183.5,3.57
LEC,2025-09-25,SELL,208.0,216.0,-3.85
NABBC,2025-09-25,SELL,772.0,1430.0,-85.23
NBL,2025-09-25,SELL,250.0,240.4,3.84
CZBIL,2025-09-18,SELL,197.0,188.0,4.57
NHPC,2025-09-18,SELL,178.6,215.0,-20.38
NLICL,2025-09-18,SELL,550.0,571.0,-3.82
RURU,2025-09-18,SELL,650.0,653.0,-0.46
SBI,2025-09-18,SELL,376.9,408.8,-8.46
SCB,2025-09-18,SELL,607.0,648.0,-6.75
SINDU,2025-09-18,SELL,618.0,743.9,-20.37
AKJCL,2025-09-11,SELL,191.33,365.0,-90.77
CHCL,2025-09-11,SELL,497.36,462.9,6.93
JBBL,2025-09-11,SELL,325.4,328.0,-0.8
MHNL,2025-09-11,SELL,245.13,260.0,-6.07
NYADI,2025-09-11,SELL,399.62,397.8,0.46
SSHL,2025-09-11,SELL,173.88,183.4,-5.48
BARUN,2025-09-04,SELL,330.66,342.9,-3.7
MPFL,2025-09-04,SELL,570.03,614.0,-7.71
HURJA,2025-08-28,SELL,237.78,254.0,-6.82
KKHC,2025-08-28,SELL,256.24,276.9,-8.06
OHL,2025-08-21,SELL,862.03,704.0,18.33
SIFC,2025-08-21,SELL,508.34,574.0,-12.92
JOSHI,2025-08-14,SELL,319.81,289.0,9.63
LEC,2025-08-07,BUY,254.17,216.0,-15.02
ADBL,2025-07-31,BUY,332.18,293.0,-11.79
ICFC,2025-07-31,BUY,694.65,648.0,-6.72
MFIL,2025-07-31,BUY,716.71,794.9,10.91
CGH,2025-07-24,BUY,1129.73,810.6,-28.25
GBBL,2025-07-24,BUY,469.65,397.0,-15.47
JBBL,2025-07-24,BUY,387.21,328.0,-15.29
MNBBL,2025-07-24,BUY,473.72,359.9,-24.03
RURU,2025-07-24,BUY,812.81,653.0,-19.66
SCB,2025-07-24,BUY,670.91,648.0,-3.41
SIFC,2025-07-24,BUY,566.43,574.0,1.34
RHPL,2025-07-24,SELL,349.21,284.0,18.67
CHCL,2025-07-17,BUY,547.62,462.9,-15.47
LBBL,2025-07-17,BUY,492.67,472.0,-4.2
MBL,2025-07-17,BUY,261.69,228.3,-12.76
NBL,2025-07-17,BUY,299.67,240.4,-19.78
CZBIL,2025-07-10,BUY,220.98,188.0,-14.92
SJCL,2025-07-10,SELL,314.29,297.3,5.41
PCBL,2025-07-03,BUY,254.49,233.5,-8.25
MHNL,2025-06-26,BUY,280.79,260.0,-7.4
CFCL,2025-06-26,SELL,498.18,535.9,-7.57
CHL,2025-06-26,SELL,337.99,275.0,18.64
CZBIL,2025-06-26,SELL,201.99,188.0,6.93
PCBL,2025-06-26,SELL,237.82,233.5,1.82
AKJCL,2025-06-19,BUY,218.06,365.0,67.39
SAHAS,2025-06-19,BUY,545.38,557.0,2.13
SBL,2025-06-19,BUY,307.4,375.0,21.99
SIFC,2025-06-19,SELL,510.63,574.0,-12.41
SIFC,2025-06-12,BUY,586.56,574.0,-2.14
ALICL,2025-06-12,SELL,500.56,439.0,12.3
MHNL,2025-06-12,SELL,264.38,260.0,1.66
PROFL,2025-06-12,SELL,494.97,450.7,8.94
TRH,2025-06-12,SELL,942.89,747.0,20.78
NGPL,2025-06-05,BUY,395.88,425.0,7.36
JBBL,2025-06-05,SELL,326.04,328.0,-0.6
MBL,2025-06-05,SELL,217.46,228.3,-4.98
RLFL,2025-06-05,SELL,467.59,449.8,3.8
SIFC,2025-06-05,SELL,485.56,574.0,-18.21
TPC,2025-06-05,SELL,336.55,384.0,-14.1
GBIME,2025-05-29,BUY,249.27,224.0,-10.14
HURJA,2025-05-29,BUY,253.03,254.0,0.38
MBL,2025-05-29,BUY,234.82,228.3,-2.78
BFC,2025-05-29,SELL,485.09,462.0,4.76
SCB,2025-05-29,SELL,628.67,648.0,-3.07
SPC,2025-05-29,SELL,508.71,485.3,4.6
GMFIL,2025-05-22,SELL,507.26,457.0,9.91
SFCL,2025-05-22,SELL,492.43,378.0,23.24
AKJCL,2025-05-15,SELL,205.45,365.0,-77.66
MBL,2025-05-15,SELL,211.18,228.3,-8.11
RURU,2025-05-15,SELL,693.42,653.0,5.83
AKJCL,2025-05-08,BUY,219.19,365.0,66.52
HBL,2025-05-08,SELL,220.32,187.6,14.85
GBIME,2025-05-01,SELL,215.07,224.0,-4.15
ICFC,2025-04-24,SELL,590.99,648.0,-9.65
LBBL,2025-04-24,SELL,389.4,472.0,-21.21
MFIL,2025-04-24,SELL,585.52,794.9,-35.76
SBL,2025-04-24,SELL,272.84,375.0,-37.44
GFCL,2025-04-17,SELL,679.49,633.0,6.84
NBL,2025-04-10,SELL,246.12,240.4,2.32
SHINE,2025-04-10,SELL,411.27,401.9,2.28
CHCL,2025-04-03,SELL,481.48,462.9,3.86
