Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low,Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change,ROE,D/E Ratio
CBLD88,2026-03-23,1240.0,1240.0,1220.0,1220.0,-1.61,63.0,1265.0,1108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBLD88,2026-03-22,1185.0,1221.9,1185.0,1221.9,3.11,380.0,1265.0,1108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFCL,2026-03-23,584.0,584.0,565.0,572.0,-2.05,26137.0,651.0,445.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFCL,2026-03-22,573.0,584.0,570.0,573.0,0.0,49092.0,651.0,445.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGH,2026-03-23,899.0,903.0,884.0,888.0,-1.22,33863.0,1150.0,800.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGH,2026-03-22,862.2,901.0,862.2,901.0,4.5,60469.0,1150.0,800.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHCL,2026-03-23,500.0,515.0,500.0,510.5,2.1,120244.0,599.6,456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHCL,2026-03-22,517.0,517.0,507.3,508.0,-1.74,135827.0,599.6,456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHDC,2026-03-23,2530.0,2606.0,2521.5,2603.0,2.89,42924.0,2997.9,1990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHDC,2026-03-22,2580.0,2580.0,2515.0,2530.0,-1.94,32428.0,2997.9,1990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,2026-03-23,322.0,325.0,314.0,316.1,-1.83,69650.0,551.0,223.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,2026-03-22,332.5,332.5,317.0,320.0,-3.76,197362.0,551.0,223.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIT,2026-03-23,1860.0,1873.0,1846.0,1873.0,0.7,16261.0,2168.0,1730.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIT,2026-03-22,1826.0,1864.0,1826.0,1856.1,1.65,22089.0,2168.0,1730.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITY,2026-03-23,515.0,515.0,500.0,511.1,-0.76,18426.0,998.4,461.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITY,2026-03-22,514.0,524.2,505.0,519.0,0.97,33732.0,998.4,461.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CKHL,2026-03-23,715.9,730.0,701.7,715.0,-0.13,6670.0,804.0,550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CKHL,2026-03-22,730.5,744.0,701.8,730.0,-0.07,11665.0,804.0,550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLI,2026-03-23,503.0,511.0,496.1,500.0,-0.6,43211.0,540.0,411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLI,2026-03-22,495.0,502.4,488.0,502.0,1.41,73644.0,540.0,411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMF2,2026-03-23,10.18,10.46,10.18,10.46,2.75,2598.0,10.86,8.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMF2,2026-03-22,10.1,10.42,10.1,10.31,2.08,12414.0,10.86,8.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORBL,2026-03-23,2120.0,2120.0,1941.3,2113.8,-0.29,37712.0,2800.0,1431.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORBL,2026-03-22,2000.1,2156.9,1930.7,2156.9,7.84,44644.0,2800.0,1431.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREST,2026-03-23,1403.0,1430.0,1401.2,1403.3,0.02,18592.0,2458.2,302.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREST,2026-03-22,1425.0,1440.0,1416.0,1418.5,-0.46,25999.0,2458.2,302.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSY,2026-03-23,9.6,9.72,9.25,9.51,-0.94,14762.0,10.0,8.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSY,2026-03-22,9.29,9.79,9.17,9.79,5.38,210730.0,10.0,8.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYCL,2026-03-23,1681.0,1681.0,1613.0,1645.0,-2.14,3389.0,2040.0,1462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYCL,2026-03-22,1637.0,1650.0,1606.5,1649.0,0.73,7476.0,2040.0,1462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZBIL,2026-03-23,230.3,238.0,227.0,232.0,0.74,451007.0,240.1,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZBIL,2026-03-22,230.0,238.6,228.0,235.0,2.17,399699.0,240.1,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDBL,2026-03-23,926.5,927.0,895.0,902.9,-2.55,49607.0,1010.0,759.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
