Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,340.6,23395.0,-1659.0,21736.0,160.06
SSHL,0,0.0,193.0,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,233.5,0.0,5428.5,5428.5,97.88
UNHPL,65,415.38,355.0,0.0,-3925.0,-3925.0,-14.54
PPCL,10,390.0,338.5,-8000.0,-515.0,-8515.0,-218.33
DORDI,130,307.54,240.0,0.0,-8780.0,-8780.0,-21.96
MEL,164,323.0,199.6,0.0,-20237.6,-20237.6,-38.2
HLBSL,95,1079.0,855.0,0.0,-21280.0,-21280.0,-20.76
SINDU,115,866.3,497.7,0.0,-42389.5,-42389.5,-42.55
GBLBS,60,1519.0,657.0,0.0,-51720.0,-51720.0,-56.75
SAGAR,90,2220.0,1593.0,0.0,-56430.0,-56430.0,-28.24
