Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,353.8,23395.0,-1197.0,22198.0,163.46
SSHL,0,0.0,212.5,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,252.9,0.0,6340.3,6340.3,114.32
UNHPL,65,415.38,455.0,0.0,2575.0,2575.0,9.54
DORDI,130,307.54,271.5,0.0,-4685.0,-4685.0,-11.72
PPCL,10,390.0,372.0,-8000.0,-180.0,-8180.0,-209.74
MEL,164,323.0,238.0,0.0,-13940.0,-13940.0,-26.32
HLBSL,95,1079.0,890.0,0.0,-17955.0,-17955.0,-17.52
SINDU,115,866.3,700.1,0.0,-19113.5,-19113.5,-19.19
GBLBS,60,1519.0,773.0,0.0,-44760.0,-44760.0,-49.11
SAGAR,90,2220.0,1665.0,0.0,-49950.0,-49950.0,-25.0
