Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low,Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change
AHPC,2026-03-17,301.7,312.0,296.3,310.0,2.75,609368.0,334.0,242.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHPC,2026-03-16,310.5,310.5,300.0,300.9,-3.09,299605.0,334.0,242.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHPC,2026-03-15,310.0,312.1,305.1,308.0,-0.65,595886.0,334.0,242.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHPC,2026-03-12,302.0,309.7,296.4,306.0,1.32,451036.0,334.0,242.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHPC,2026-03-11,309.0,314.7,299.1,301.0,-2.59,724925.0,334.0,242.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHPC,2026-03-09,293.1,316.1,293.1,310.0,5.77,42929.0,334.0,242.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHPC,2026-03-03,280.0,288.5,275.0,287.4,2.64,320466.0,334.0,242.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHPC,2026-03-01,280.0,282.0,269.0,279.0,-0.36,191835.0,334.0,242.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKJCL,2026-03-19,419.9,431.8,412.0,414.1,-1.38,1412159.0,431.8,172.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKJCL,2026-03-17,400.0,417.8,400.0,411.7,2.92,1258864.0,417.8,172.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKJCL,2026-03-16,380.0,400.0,371.0,396.0,4.21,1768702.0,409.0,172.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKJCL,2026-03-15,375.4,379.8,362.0,377.8,0.64,948320.0,409.0,172.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKJCL,2026-03-12,380.0,384.0,367.1,368.1,-3.13,913618.0,409.0,172.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKJCL,2026-03-11,380.0,389.6,375.0,379.6,-0.11,1342506.0,409.0,172.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKJCL,2026-03-09,379.3,409.0,379.3,394.0,3.88,40898.0,409.0,172.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
