Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,401.6,23395.0,476.0,23871.0,175.78
SSHL,0,0.0,227.0,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,287.0,0.0,7943.0,7943.0,143.22
UNHPL,65,415.38,521.0,0.0,6865.0,6865.0,25.43
DORDI,130,307.54,294.0,0.0,-1760.0,-1760.0,-4.4
MEL,164,323.0,278.0,0.0,-7380.0,-7380.0,-13.93
PPCL,10,390.0,415.0,-8000.0,250.0,-7750.0,-198.72
SINDU,115,866.3,758.2,0.0,-12432.0,-12432.0,-12.48
HLBSL,95,1079.0,924.9,0.0,-14639.5,-14639.5,-14.28
SAGAR,90,2220.0,1922.0,0.0,-26820.0,-26820.0,-13.42
GBLBS,60,1519.0,785.0,0.0,-44040.0,-44040.0,-48.32
