Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
EBLEB89,2026-03-25,1079.0,1079.0,1079.0,1079.0,0.0,10.0,1117.9,996.1,,,,,,,
EDBL,2026-03-25,645.0,645.0,620.0,620.1,-3.86,18517.0,717.3,545.0,,,,,,,
EHPL,2026-03-25,455.0,456.0,445.0,445.0,-2.2,54070.0,717.5,385.0,,,,,,,
ENL,2026-03-25,954.2,986.9,950.0,974.0,2.08,3138.0,1289.8,866.0,,,,,,,
FMDBL,2026-03-25,927.0,927.0,872.0,897.0,-3.24,80449.0,1038.8,718.0,,,,,,,
FOWAD,2026-03-25,1160.0,1160.0,1126.1,1130.0,-2.59,6481.0,1324.4,1012.4,,,,,,,
GBBD85,2026-03-25,1067.1,1090.3,1067.1,1090.3,2.17,75.0,1135.0,1020.1,,,,,,,
GBBL,2026-03-25,434.0,435.1,428.0,428.0,-1.38,52224.0,498.0,367.4,,,,,,,
GBIME,2026-03-25,260.0,260.0,252.0,252.6,-2.85,343362.0,278.9,213.0,,,,,,,
GBIMESY2,2026-03-25,9.6,9.97,9.43,9.83,2.4,16040.0,10.18,8.5,,,,,,,
GBLBS,2026-03-25,820.0,824.8,813.0,813.0,-0.85,18284.0,950.0,698.0,,,,,,,
GBLBS,,,,,,,,,,60.0,1519.0,813.0,0.0,-42360.0,-42360.0,-46.48
GCIL,2026-03-25,476.0,477.0,460.2,461.7,-3.0,91877.0,579.0,400.0,,,,,,,
GFCL,2026-03-25,713.7,713.7,680.0,683.0,-4.3,27531.0,756.8,528.3,,,,,,,
GHL,2026-03-25,268.9,277.0,268.9,270.0,0.41,275333.0,295.0,197.1,,,,,,,
GIBF1,2026-03-25,11.35,11.61,11.21,11.28,-0.62,28770.0,11.68,9.3,,,,,,,
GILB,2026-03-25,1244.5,1244.5,1210.3,1227.0,-1.41,5610.0,1441.6,1100.0,,,,,,,
GLBSL,2026-03-25,1957.0,1990.0,1955.1,1973.0,0.82,1555.0,3232.0,1838.6,,,,,,,
GLH,2026-03-25,303.4,310.0,303.0,304.0,0.2,261252.0,328.2,227.4,,,,,,,
GMFBS,2026-03-25,1475.0,1516.0,1445.0,1474.0,-0.07,2588.0,1871.0,1385.1,,,,,,,
GMFIL,2026-03-25,535.0,537.0,520.4,523.1,-2.22,62939.0,557.0,393.1,,,,,,,
GMLI,2026-03-25,1742.0,1756.0,1735.0,1740.0,-0.11,3949.0,2778.0,1694.0,,,,,,,
GRDBL,2026-03-25,1199.6,1199.6,1153.0,1178.9,-1.73,12388.0,1668.4,944.0,,,,,,,
GSY,2026-03-25,9.88,10.09,9.88,9.98,1.01,101795.0,10.4,8.7,,,,,,,
GUFL,2026-03-25,601.0,601.0,591.1,591.1,-1.65,19997.0,644.0,460.6,,,,,,,
GVL,2026-03-25,525.0,526.0,510.6,516.0,-1.71,80275.0,662.0,424.0,,,,,,,
H8020,2026-03-25,11.57,12.16,11.57,12.0,3.72,253900.0,12.21,10.0,,,,,,,
HATHY,2026-03-25,965.0,965.0,940.0,940.6,-2.53,19361.0,1469.8,875.5,,,,,,,
HBL,2026-03-25,227.5,231.9,226.0,226.1,-0.62,159094.0,261.0,184.0,,,,,,,
HDHPC,2026-03-25,257.7,258.7,245.2,246.6,-4.31,1057134.0,274.0,162.0,,,,,,,
HDL,2026-03-25,1254.0,1260.0,1232.0,1235.0,-1.52,113050.0,1556.1,1103.0,,,,,,,
HEI,2026-03-25,560.0,579.0,560.0,563.0,0.54,23512.0,654.0,458.0,,,,,,,
HEIP,2026-03-25,329.0,331.7,326.1,326.6,-0.73,4831.0,403.5,293.1,,,,,,,
HFIN,2026-03-25,215.0,239.0,215.0,239.0,11.16,270.0,239.0,101.7,,,,,,,
HHL,2026-03-25,383.0,383.0,375.0,376.1,-1.8,84671.0,545.0,310.7,,,,,,,
HIDCL,2026-03-25,298.0,307.0,296.0,301.0,1.01,1205668.0,340.0,245.0,,,,,,,
HIDCLP,2026-03-25,229.0,230.6,225.0,226.0,-1.31,1035673.0,239.0,169.0,,,,,,,
HIMSTAR,2026-03-25,935.1,985.0,935.1,980.0,4.8,19591.0,1264.0,252.2,,,,,,,
HLBSL,2026-03-25,994.0,994.0,959.6,960.0,-3.42,15125.0,1100.0,837.0,,,,,,,
HLBSL,,,,,,,,,,95.0,1079.0,960.0,0.0,-11305.0,-11305.0,-11.03
HLI,2026-03-25,399.0,401.0,389.9,393.9,-1.28,187578.0,464.0,354.8,,,,,,,
HLICF,2026-03-25,9.53,9.79,9.53,9.79,2.73,53700.0,10.55,8.74,,,,,,,
HPPL,2026-03-25,427.7,444.0,412.0,418.2,-2.22,479027.0,711.0,388.9,,,,,,,
HRL,2026-03-25,900.0,902.0,876.2,876.2,-2.64,209679.0,1139.9,762.1,,,,,,,
HURJA,2026-03-25,294.1,298.0,290.0,293.0,-0.37,289733.0,312.1,204.6,,,,,,,
HURJA,,,,,,,,,,47.0,118.0,293.0,0.0,8225.0,8225.0,148.31
ICFC,2026-03-25,690.0,690.0,676.0,683.0,-1.01,20944.0,730.9,555.0,,,,,,,
