Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,404.8,23395.0,588.0,23983.0,176.61
SSHL,0,0.0,212.7,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,250.8,0.0,6241.6,6241.6,112.54
UNHPL,65,415.38,417.1,0.0,111.5,111.5,0.41
DORDI,130,307.54,270.0,0.0,-4880.0,-4880.0,-12.21
PPCL,10,390.0,384.0,-8000.0,-60.0,-8060.0,-206.67
SINDU,115,866.3,749.9,0.0,-13386.5,-13386.5,-13.44
MEL,164,323.0,241.0,0.0,-13448.0,-13448.0,-25.39
HLBSL,95,1079.0,890.0,0.0,-17955.0,-17955.0,-17.52
GBLBS,60,1519.0,766.5,0.0,-45150.0,-45150.0,-49.54
SAGAR,90,2220.0,1656.5,0.0,-50715.0,-50715.0,-25.38
