Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,379.0,23395.0,-315.0,23080.0,169.96
SSHL,0,0.0,209.5,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,241.0,0.0,5781.0,5781.0,104.24
UNHPL,65,415.38,397.0,0.0,-1195.0,-1195.0,-4.43
DORDI,130,307.54,263.1,0.0,-5777.0,-5777.0,-14.45
PPCL,10,390.0,352.5,-8000.0,-375.0,-8375.0,-214.74
MEL,164,323.0,220.0,0.0,-16892.0,-16892.0,-31.89
HLBSL,95,1079.0,900.9,0.0,-16919.5,-16919.5,-16.51
SINDU,115,866.3,719.0,0.0,-16940.0,-16940.0,-17.0
SAGAR,90,2220.0,1792.0,0.0,-38520.0,-38520.0,-19.28
GBLBS,60,1519.0,761.0,0.0,-45480.0,-45480.0,-49.9
