Symbol,Latest_Close,52_Week_Low,Distance_from_Low_%,Date_at_52W_Low
SMATAP,421.0,441.0,-4.54,N/A
IHL,410.0,426.1,-3.78,N/A
GMLI,1290.0,1333.7,-3.28,N/A
BEDC,365.0,376.0,-2.93,N/A
VLUCL,495.0,508.0,-2.56,N/A
SMH,552.1,566.0,-2.46,N/A
VLBS,705.0,720.5,-2.15,N/A
MLBS,1279.4,1295.0,-1.2,N/A
HATHY,826.0,835.0,-1.08,N/A
NMIC,1026.0,1036.0,-0.97,N/A
RAWA,610.0,615.0,-0.81,N/A
HLI,341.8,343.2,-0.41,N/A
USLB,1298.0,1300.1,-0.16,N/A
MMKJL,508.2,508.3,-0.02,N/A
HBLPO,131.0,131.0,0.0,N/A
ALICLP,252.0,252.0,0.0,N/A
MLBLPO,193.0,193.0,0.0,N/A
MLBSLP,100.0,100.0,0.0,N/A
KMCDBP,587.0,587.0,0.0,N/A
LBBLPO,261.0,261.0,0.0,N/A
MATRIP,523.5,523.5,0.0,N/A
NABILP,301.1,301.1,0.0,N/A
SIFCPO,286.0,286.0,0.0,N/A
SFCLP,164.0,164.0,0.0,N/A
NMFBSP,675.0,675.0,0.0,N/A
JBBLPO,187.0,187.0,0.0,N/A
GBIMEP,100.0,100.0,0.0,N/A
FOWADP,660.0,660.0,0.0,N/A
JBLBP,100.0,100.0,0.0,N/A
KBLPO,100.0,100.0,0.0,N/A
CZBILP,106.9,106.9,0.0,N/A
CYCLP,831.0,831.0,0.0,N/A
SMJC,460.0,460.0,0.0,N/A
SLBBLP,453.0,453.0,0.0,N/A
RLFLPO,268.6,268.6,0.0,N/A
NLICLP,321.0,321.0,0.0,N/A
NMLBBLP,334.0,334.0,0.0,N/A
PRVUPO,100.0,100.0,0.0,N/A
PMLIP,270.0,270.0,0.0,N/A
NLICP,413.0,413.0,0.0,N/A
SBLD2082,1045.2,1045.1,0.01,N/A
MKCL,1312.9,1310.0,0.22,N/A
KSBBLD87,1047.0,1041.3,0.55,N/A
SRBLD83,1046.0,1038.8,0.69,N/A
NICL,481.0,477.2,0.8,N/A
MEL,252.0,250.0,0.8,N/A
MSHL,724.0,718.0,0.84,N/A
ULI,358.0,355.0,0.85,N/A
MLBBL,1223.0,1212.5,0.87,N/A
KMCDB,869.0,861.0,0.93,N/A
MATRI,914.0,904.0,1.11,N/A
SMB,1730.0,1710.1,1.16,N/A
MCHL,328.8,325.0,1.17,N/A
NRIC,898.0,887.0,1.24,N/A
NMLBBL,607.5,600.0,1.25,N/A
CBBLPO,395.0,390.0,1.28,N/A
CGH,809.0,798.0,1.38,N/A
SKBBL,761.0,750.0,1.47,N/A
