Symbol,Latest_Close,52_Week_Low,52_Week_High,Distance_from_Low_%,Distance_from_High_%,Chart_URL
CYCLP,864.0,864.0,864.0,0.0,0.0,https://nepsealpha.com/nepse-chart?symbol=CYCLP
SLBBLP,453.0,453.0,499.0,0.0,-9.22,https://nepsealpha.com/nepse-chart?symbol=SLBBLP
GBIMEP,100.0,100.0,122.0,0.0,-18.03,https://nepsealpha.com/nepse-chart?symbol=GBIMEP
JBBLPO,187.0,187.0,188.3,0.0,-0.69,https://nepsealpha.com/nepse-chart?symbol=JBBLPO
RLFLPO,274.0,274.0,303.0,0.0,-9.57,https://nepsealpha.com/nepse-chart?symbol=RLFLPO
PMLIP,270.01,270.0,309.0,0.0,-12.62,https://nepsealpha.com/nepse-chart?symbol=PMLIP
UNLB,1826.0,1810.0,2699.9,0.88,-32.37,https://nepsealpha.com/nepse-chart?symbol=UNLB
SWBBL,729.0,722.0,1046.5,0.97,-30.34,https://nepsealpha.com/nepse-chart?symbol=SWBBL
SHLB,1556.0,1540.2,2748.9,1.03,-43.4,https://nepsealpha.com/nepse-chart?symbol=SHLB
SMJC,475.0,470.0,735.0,1.06,-35.37,https://nepsealpha.com/nepse-chart?symbol=SMJC
MATRI,941.0,930.1,1410.0,1.17,-33.26,https://nepsealpha.com/nepse-chart?symbol=MATRI
TAMOR,414.0,409.0,592.6,1.22,-30.14,https://nepsealpha.com/nepse-chart?symbol=TAMOR
CBBLPO,395.0,390.0,526.0,1.28,-24.9,https://nepsealpha.com/nepse-chart?symbol=CBBLPO
VLBS,747.1,737.0,1008.0,1.37,-25.88,https://nepsealpha.com/nepse-chart?symbol=VLBS
MSHL,793.0,782.0,1059.0,1.41,-25.12,https://nepsealpha.com/nepse-chart?symbol=MSHL
USLB,1421.1,1401.0,2750.0,1.43,-48.32,https://nepsealpha.com/nepse-chart?symbol=USLB
SKBBL,764.0,752.0,999.0,1.6,-23.52,https://nepsealpha.com/nepse-chart?symbol=SKBBL
NIMB,187.5,184.5,247.0,1.63,-24.09,https://nepsealpha.com/nepse-chart?symbol=NIMB
NICL,492.0,483.0,1047.0,1.86,-53.01,https://nepsealpha.com/nepse-chart?symbol=NICL
GMFBS,1412.0,1385.1,1916.0,1.94,-26.3,https://nepsealpha.com/nepse-chart?symbol=GMFBS
PRVU,183.5,179.9,250.9,2.0,-26.86,https://nepsealpha.com/nepse-chart?symbol=PRVU
CIT,1769.0,1730.8,2200.0,2.21,-19.59,https://nepsealpha.com/nepse-chart?symbol=CIT
SWMF,656.1,641.1,868.1,2.34,-24.42,https://nepsealpha.com/nepse-chart?symbol=SWMF
MKHC,318.0,310.7,606.0,2.35,-47.52,https://nepsealpha.com/nepse-chart?symbol=MKHC
MLBS,1428.5,1395.0,2285.0,2.4,-37.48,https://nepsealpha.com/nepse-chart?symbol=MLBS
KBSH,1657.1,1618.0,2716.0,2.42,-38.99,https://nepsealpha.com/nepse-chart?symbol=KBSH
HBL,188.5,184.0,261.0,2.45,-27.78,https://nepsealpha.com/nepse-chart?symbol=HBL
NMLBBL,615.0,600.0,807.0,2.5,-23.79,https://nepsealpha.com/nepse-chart?symbol=NMLBBL
CITY,472.8,461.0,998.4,2.56,-52.64,https://nepsealpha.com/nepse-chart?symbol=CITY
BEDC,513.9,501.0,960.0,2.57,-46.47,https://nepsealpha.com/nepse-chart?symbol=BEDC
CHCL,468.0,456.0,599.6,2.63,-21.95,https://nepsealpha.com/nepse-chart?symbol=CHCL
MKCL,1368.0,1333.0,1900.0,2.63,-28.0,https://nepsealpha.com/nepse-chart?symbol=MKCL
RURU,657.6,640.0,853.0,2.75,-22.91,https://nepsealpha.com/nepse-chart?symbol=RURU
HLI,365.0,354.8,477.0,2.87,-23.48,https://nepsealpha.com/nepse-chart?symbol=HLI
ALICL,443.0,430.0,831.0,3.02,-46.69,https://nepsealpha.com/nepse-chart?symbol=ALICL
JBLB,1310.0,1270.7,1644.0,3.09,-20.32,https://nepsealpha.com/nepse-chart?symbol=JBLB
BBC,4620.0,4480.0,6661.6,3.12,-30.65,https://nepsealpha.com/nepse-chart?symbol=BBC
CGH,826.0,800.2,1150.0,3.22,-28.17,https://nepsealpha.com/nepse-chart?symbol=CGH
MLBSL,1866.6,1808.4,2569.0,3.22,-27.34,https://nepsealpha.com/nepse-chart?symbol=MLBSL
NUBL,671.0,650.0,854.4,3.23,-21.47,https://nepsealpha.com/nepse-chart?symbol=NUBL
NHDL,643.1,623.0,1002.6,3.23,-35.86,https://nepsealpha.com/nepse-chart?symbol=NHDL
NMB,238.5,231.0,283.0,3.25,-15.72,https://nepsealpha.com/nepse-chart?symbol=NMB
NMFBS,1122.7,1086.0,1504.0,3.38,-25.35,https://nepsealpha.com/nepse-chart?symbol=NMFBS
HDL,1141.1,1103.0,1556.1,3.45,-26.67,https://nepsealpha.com/nepse-chart?symbol=HDL
SALICO,590.0,570.1,775.0,3.49,-23.87,https://nepsealpha.com/nepse-chart?symbol=SALICO
SBLD84,1051.0,1015.0,1115.0,3.55,-5.74,https://nepsealpha.com/nepse-chart?symbol=SBLD84
UNL,46600.0,45000.0,50724.0,3.56,-8.13,https://nepsealpha.com/nepse-chart?symbol=UNL
SBLD83,1076.0,1038.7,1122.0,3.59,-4.1,https://nepsealpha.com/nepse-chart?symbol=SBLD83
IHL,507.6,490.0,781.0,3.59,-35.01,https://nepsealpha.com/nepse-chart?symbol=IHL
BGWT,757.2,730.7,1170.0,3.63,-35.28,https://nepsealpha.com/nepse-chart?symbol=BGWT
SMH,625.0,603.0,1130.0,3.65,-44.69,https://nepsealpha.com/nepse-chart?symbol=SMH
MAKAR,534.0,515.0,830.0,3.69,-35.66,https://nepsealpha.com/nepse-chart?symbol=MAKAR
FOWAD,1050.0,1012.4,1324.4,3.71,-20.72,https://nepsealpha.com/nepse-chart?symbol=FOWAD
NLG,679.5,655.0,979.0,3.74,-30.59,https://nepsealpha.com/nepse-chart?symbol=NLG
GCIL,415.0,400.0,613.0,3.75,-32.3,https://nepsealpha.com/nepse-chart?symbol=GCIL
BNL,15200.0,14635.8,22500.0,3.85,-32.44,https://nepsealpha.com/nepse-chart?symbol=BNL
PCBL,234.8,226.0,290.0,3.89,-19.03,https://nepsealpha.com/nepse-chart?symbol=PCBL
NICLBSL,556.0,535.0,764.0,3.93,-27.23,https://nepsealpha.com/nepse-chart?symbol=NICLBSL
MCHL,407.7,392.0,651.0,4.01,-37.37,https://nepsealpha.com/nepse-chart?symbol=MCHL
SMPDA,874.0,840.0,1155.0,4.05,-24.33,https://nepsealpha.com/nepse-chart?symbol=SMPDA
JSLBB,1102.4,1059.0,1739.0,4.1,-36.61,https://nepsealpha.com/nepse-chart?symbol=JSLBB
SMHL,461.5,443.0,1230.0,4.18,-62.48,https://nepsealpha.com/nepse-chart?symbol=SMHL
GLBSL,1919.9,1838.6,3381.3,4.42,-43.22,https://nepsealpha.com/nepse-chart?symbol=GLBSL
LSL,209.9,201.0,252.0,4.43,-16.71,https://nepsealpha.com/nepse-chart?symbol=LSL
MLBBL,1342.0,1285.0,2019.0,4.44,-33.53,https://nepsealpha.com/nepse-chart?symbol=MLBBL
RAWA,716.9,686.0,949.0,4.5,-24.46,https://nepsealpha.com/nepse-chart?symbol=RAWA
MLBL,364.9,348.9,488.0,4.59,-25.23,https://nepsealpha.com/nepse-chart?symbol=MLBL
MND84/85,1061.6,1015.0,1128.0,4.59,-5.89,https://nepsealpha.com/nepse-chart?symbol=MND84/85
CSY,9.28,8.87,10.0,4.62,-7.2,https://nepsealpha.com/nepse-chart?symbol=CSY
MANDU,802.0,766.5,1001.9,4.63,-19.95,https://nepsealpha.com/nepse-chart?symbol=MANDU
NIFRA,261.5,249.9,328.1,4.64,-20.3,https://nepsealpha.com/nepse-chart?symbol=NIFRA
SLBBL,816.6,780.0,1155.0,4.69,-29.3,https://nepsealpha.com/nepse-chart?symbol=SLBBL
SLBSL,1293.1,1234.5,2649.6,4.75,-51.2,https://nepsealpha.com/nepse-chart?symbol=SLBSL
UMRH,552.0,526.0,743.8,4.94,-25.79,https://nepsealpha.com/nepse-chart?symbol=UMRH
PBD85,1071.0,1020.6,1150.0,4.94,-6.87,https://nepsealpha.com/nepse-chart?symbol=PBD85
SHINE,401.2,382.0,499.0,5.03,-19.6,https://nepsealpha.com/nepse-chart?symbol=SHINE
MMKJL,555.2,528.2,809.0,5.11,-31.37,https://nepsealpha.com/nepse-chart?symbol=MMKJL
SPL,732.0,696.3,1035.0,5.13,-29.28,https://nepsealpha.com/nepse-chart?symbol=SPL
JFL,415.3,395.0,620.0,5.14,-33.02,https://nepsealpha.com/nepse-chart?symbol=JFL
SFCL,378.0,359.4,640.0,5.18,-40.94,https://nepsealpha.com/nepse-chart?symbol=SFCL
CZBIL,192.8,183.0,240.1,5.36,-19.7,https://nepsealpha.com/nepse-chart?symbol=CZBIL
DLBS,1310.1,1240.0,1959.0,5.65,-33.12,https://nepsealpha.com/nepse-chart?symbol=DLBS
NABIL,497.9,471.0,562.0,5.71,-11.41,https://nepsealpha.com/nepse-chart?symbol=NABIL
MNBBL,360.4,340.1,503.0,5.97,-28.35,https://nepsealpha.com/nepse-chart?symbol=MNBBL
CYCL,1550.0,1462.0,2040.0,6.02,-24.02,https://nepsealpha.com/nepse-chart?symbol=CYCL
RBCL,15120.0,14251.0,16900.0,6.1,-10.53,https://nepsealpha.com/nepse-chart?symbol=RBCL
BNHC,332.6,313.1,613.8,6.23,-45.81,https://nepsealpha.com/nepse-chart?symbol=BNHC
SHL,493.1,464.0,619.0,6.27,-20.34,https://nepsealpha.com/nepse-chart?symbol=SHL
SICL,626.0,588.8,891.0,6.32,-29.74,https://nepsealpha.com/nepse-chart?symbol=SICL
KPCL,522.5,491.0,711.0,6.42,-26.51,https://nepsealpha.com/nepse-chart?symbol=KPCL
NADEP,741.0,696.0,1046.0,6.47,-29.16,https://nepsealpha.com/nepse-chart?symbol=NADEP
EHPL,410.0,385.0,924.1,6.49,-55.63,https://nepsealpha.com/nepse-chart?symbol=EHPL
KBL,187.0,175.5,233.5,6.55,-19.91,https://nepsealpha.com/nepse-chart?symbol=KBL
AHL,493.0,462.6,839.9,6.57,-41.3,https://nepsealpha.com/nepse-chart?symbol=AHL
LICN,824.0,773.0,1415.0,6.6,-41.77,https://nepsealpha.com/nepse-chart?symbol=LICN
