Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,418.0,23395.0,1050.0,24445.0,180.01
SSHL,0,0.0,225.5,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,267.0,0.0,7003.0,7003.0,126.27
UNHPL,65,415.38,430.1,0.0,956.5,956.5,3.54
DORDI,130,307.54,283.1,0.0,-3177.0,-3177.0,-7.95
PPCL,10,390.0,390.0,-8000.0,0.0,-8000.0,-205.13
MEL,164,323.0,245.0,0.0,-12792.0,-12792.0,-24.15
SINDU,115,866.3,733.9,0.0,-15226.5,-15226.5,-15.28
HLBSL,95,1079.0,905.0,0.0,-16530.0,-16530.0,-16.13
SAGAR,90,2220.0,1741.0,0.0,-43110.0,-43110.0,-21.58
GBLBS,60,1519.0,781.0,0.0,-44280.0,-44280.0,-48.58
