Symbol,Latest_Close,52_Week_Low,Distance_from_Low_%,Date_at_52W_Low
NMFBSP,628.0,675.0,-6.96,N/A
PMLIP,255.0,270.0,-5.56,N/A
SMATAP,421.0,441.0,-4.54,N/A
TSHL,445.2,465.1,-4.28,N/A
SMH,521.7,541.0,-3.57,N/A
IHL,353.0,365.0,-3.29,N/A
HBLPO,111.6,115.0,-2.96,N/A
OMPL,975.0,1004.1,-2.9,N/A
MSHL,585.0,601.1,-2.68,N/A
HATHY,687.0,704.0,-2.41,N/A
VLUCL,439.0,448.0,-2.01,N/A
SWMF,614.9,625.6,-1.71,N/A
BEDC,325.0,330.0,-1.52,N/A
NWCL,719.0,730.0,-1.51,N/A
CYCL,1357.0,1375.0,-1.31,N/A
KDL,750.1,759.0,-1.17,N/A
KPCL,465.0,470.3,-1.13,N/A
MKHL,467.0,472.3,-1.12,N/A
HRL,571.0,577.0,-1.04,N/A
CZBILP,105.8,106.9,-1.03,N/A
FOWAD,960.0,970.0,-1.03,N/A
MKHC,297.0,299.6,-0.87,N/A
MKJC,456.1,460.0,-0.85,N/A
SPDL,357.0,360.0,-0.83,N/A
NMLBBL,546.6,550.2,-0.65,N/A
NUBL,617.0,621.0,-0.64,N/A
UNLB,1280.0,1288.0,-0.62,N/A
MCHL,288.2,290.0,-0.62,N/A
USLB,1213.0,1220.0,-0.57,N/A
SPC,411.0,413.1,-0.51,N/A
MLBBL,1135.0,1140.0,-0.44,N/A
BHPL,490.0,492.0,-0.41,N/A
RBCL,14200.0,14251.0,-0.36,N/A
SBLD83,1042.0,1045.0,-0.29,N/A
SMATA,743.0,745.0,-0.27,N/A
PMLI,444.0,445.0,-0.22,N/A
SKBBL,748.0,749.5,-0.2,N/A
NIFRA,247.2,247.7,-0.2,N/A
SLBBL,799.0,799.9,-0.11,N/A
GMLI,1146.8,1147.2,-0.03,N/A
MLBSP,698.0,698.0,0.0,N/A
KBLPO,100.0,100.0,0.0,N/A
JBBLPO,181.4,181.4,0.0,N/A
SJCL,267.0,267.0,0.0,N/A
SHINEP,222.0,222.0,0.0,N/A
SIFCPO,286.0,286.0,0.0,N/A
SFCLP,164.0,164.0,0.0,N/A
PRVUPO,100.0,100.0,0.0,N/A
RLFLPO,268.6,268.6,0.0,N/A
NABILP,301.1,301.1,0.0,N/A
NLICLP,321.0,321.0,0.0,N/A
NLICP,413.0,413.0,0.0,N/A
NMLBBLP,334.0,334.0,0.0,N/A
MLBSLP,100.0,100.0,0.0,N/A
MATRIP,523.5,523.5,0.0,N/A
KMCDBP,587.0,587.0,0.0,N/A
LBBLPO,261.0,261.0,0.0,N/A
CORBLP,100.0,100.0,0.0,N/A
BFCPO,250.0,250.0,0.0,N/A
CYCLP,831.0,831.0,0.0,N/A
FOWADP,660.0,660.0,0.0,N/A
ALICLP,252.0,252.0,0.0,N/A
SBLD2082,1045.2,1045.1,0.01,N/A
KBSH,1285.0,1284.0,0.08,N/A
MERO,699.6,699.0,0.09,N/A
BNHC,312.0,311.7,0.1,N/A
HLI,319.8,319.2,0.19,N/A
MEHL,327.9,326.9,0.31,N/A
RAWA,446.6,445.0,0.36,N/A
DOLTI,330.5,329.0,0.46,N/A
SMPDA,794.0,789.6,0.56,N/A
MATRI,850.0,845.1,0.58,N/A
UMRH,515.0,512.0,0.59,N/A
SARBTM,804.0,799.0,0.63,N/A
SLBBLP,456.0,453.0,0.66,N/A
NICD83/84,1050.0,1042.8,0.69,N/A
GILB,1076.0,1067.5,0.8,N/A
EHPL,373.0,370.0,0.81,N/A
ULI,358.0,355.0,0.85,N/A
MBJC,272.4,270.0,0.89,N/A
MLBL,352.0,348.9,0.89,N/A
PROFL,425.2,421.4,0.9,N/A
PBD84,1080.0,1070.2,0.92,N/A
RURU,637.0,631.0,0.95,N/A
HLICF,8.69,8.6,1.05,N/A
MLBSL,1713.0,1695.0,1.06,N/A
HPPL,358.0,354.2,1.07,N/A
MMKJL,467.0,462.0,1.08,N/A
JSLBB,1011.0,1000.0,1.1,N/A
ALICL,434.8,430.0,1.12,N/A
GCIL,349.0,345.0,1.16,N/A
RBBD83,1038.0,1025.7,1.2,N/A
CBBLPO,395.0,390.0,1.28,N/A
SIKLES,547.0,540.0,1.3,N/A
JBLB,1236.0,1219.9,1.32,N/A
HBLD83,1035.0,1020.0,1.47,N/A
