Symbol,Date,Signal,Close_at_Crossover,Latest_Close,P/L_%
MDB,2026-02-26,BUY,613.0,613.0,0.0
NHPC,2026-02-26,BUY,212.2,212.2,0.0
NLIC,2026-02-26,SELL,753.0,753.0,0.0
HDHPC,2026-02-19,BUY,195.1,191.1,-2.05
HURJA,2026-02-19,BUY,263.0,247.8,-5.78
SADBL,2026-02-19,BUY,412.0,408.3,-0.9
EDBL,2026-02-19,SELL,590.0,578.9,1.88
SAHAS,2026-02-19,SELL,556.0,554.0,0.36
GLH,2026-02-12,BUY,284.0,256.5,-9.68
CORBL,2026-02-12,SELL,1660.0,1636.4,1.42
AHPC,2026-02-05,BUY,277.0,269.3,-2.78
CORBL,2026-02-05,BUY,1929.0,1636.4,-15.17
MPFL,2026-02-05,BUY,657.0,614.0,-6.54
AKJCL,2026-01-29,BUY,312.0,343.0,9.94
NABBC,2026-01-29,BUY,1580.0,1360.0,-13.92
SBI,2026-01-29,BUY,408.0,424.0,3.92
SIFC,2026-01-29,BUY,648.0,581.6,-10.25
AHPC,2026-01-29,SELL,272.0,269.3,0.99
EDBL,2026-01-22,BUY,668.0,578.9,-13.34
ICFC,2026-01-22,BUY,695.0,630.6,-9.27
HPPL,2026-01-22,SELL,477.1,459.9,3.61
NHDL,2026-01-15,SELL,660.0,632.0,4.24
NRN,2026-01-15,SELL,1382.5,1478.8,-6.97
PCBL,2026-01-08,SELL,237.0,230.5,2.74
NHDL,2026-01-01,BUY,742.0,632.0,-14.82
PCBL,2026-01-01,BUY,261.6,230.5,-11.89
CORBL,2026-01-01,SELL,1580.0,1636.4,-3.57
MKJC,2026-01-01,SELL,510.4,525.0,-2.86
NIFRA,2026-01-01,SELL,265.0,257.9,2.68
NMB,2026-01-01,SELL,238.8,233.0,2.43
RURU,2026-01-01,SELL,670.5,649.0,3.21
MFIL,2025-12-25,BUY,709.0,794.0,11.99
ADBL,2025-12-25,SELL,288.0,292.5,-1.56
GBIME,2025-12-25,SELL,228.0,221.1,3.03
NHDL,2025-12-25,SELL,680.0,632.0,7.06
NHDL,2025-12-18,BUY,743.5,632.0,-15.0
SHL,2025-12-18,SELL,494.7,486.3,1.7
EDBL,2025-12-11,SELL,580.0,578.9,0.19
GLH,2025-12-11,SELL,247.0,256.5,-3.85
SADBL,2025-12-11,SELL,379.8,408.3,-7.5
MEN,2025-12-04,SELL,554.5,574.5,-3.61
MNBBL,2025-12-04,SELL,347.9,357.8,-2.85
MEN,2025-11-27,BUY,670.1,574.5,-14.27
NMB,2025-11-27,BUY,260.0,233.0,-10.38
KSBBL,2025-11-27,SELL,444.0,452.0,-1.8
NMB,2025-11-20,SELL,237.0,233.0,1.69
UMRH,2025-11-20,SELL,550.1,538.5,2.11
RURU,2025-11-13,BUY,830.0,649.0,-21.81
GBBL,2025-11-13,SELL,370.0,396.5,-7.16
ICFC,2025-11-13,SELL,615.0,630.6,-2.54
ICFC,2025-11-06,BUY,652.0,630.6,-3.28
ICFC,2025-10-30,SELL,630.0,630.6,-0.1
DHPL,2025-10-23,SELL,283.0,294.0,-3.89
MBL,2025-10-23,SELL,207.1,226.9,-9.56
MFIL,2025-10-23,SELL,568.0,794.0,-39.79
NHDL,2025-10-23,SELL,636.5,632.0,0.71
SAPDBL,2025-10-23,SELL,789.9,809.5,-2.48
CGH,2025-10-16,SELL,823.8,815.0,1.07
GHL,2025-10-16,SELL,200.9,227.0,-12.99
MLBL,2025-10-16,SELL,363.9,364.0,-0.03
PCBL,2025-10-16,SELL,232.8,230.5,0.99
MDB,2025-10-09,SELL,592.1,613.0,-3.53
PRVU,2025-10-02,SELL,207.9,181.5,12.7
HDHPC,2025-09-25,SELL,186.0,191.1,-2.74
KBL,2025-09-25,SELL,190.3,182.3,4.2
LEC,2025-09-25,SELL,208.0,213.0,-2.4
NABBC,2025-09-25,SELL,772.0,1360.0,-76.17
NBL,2025-09-25,SELL,250.0,241.8,3.28
CZBIL,2025-09-18,SELL,197.0,188.7,4.21
NHPC,2025-09-18,SELL,178.6,212.2,-18.81
NLICL,2025-09-18,SELL,550.0,569.0,-3.45
RURU,2025-09-18,SELL,650.0,649.0,0.15
SBI,2025-09-18,SELL,376.9,424.0,-12.5
SCB,2025-09-18,SELL,607.0,640.0,-5.44
SINDU,2025-09-18,SELL,618.0,738.5,-19.5
AKJCL,2025-09-11,SELL,191.33,343.0,-79.27
CHCL,2025-09-11,SELL,497.36,460.9,7.33
JBBL,2025-09-11,SELL,325.4,325.9,-0.15
MHNL,2025-09-11,SELL,245.13,255.9,-4.39
NYADI,2025-09-11,SELL,399.62,390.0,2.41
SSHL,2025-09-11,SELL,173.88,180.5,-3.81
BARUN,2025-09-04,SELL,330.66,338.9,-2.49
MPFL,2025-09-04,SELL,570.03,614.0,-7.71
HURJA,2025-08-28,SELL,237.78,247.8,-4.21
KKHC,2025-08-28,SELL,256.24,269.1,-5.02
OHL,2025-08-21,SELL,862.03,706.0,18.1
SIFC,2025-08-21,SELL,508.34,581.6,-14.41
JOSHI,2025-08-14,SELL,319.81,288.4,9.82
LEC,2025-08-07,BUY,254.17,213.0,-16.2
ADBL,2025-07-31,BUY,332.18,292.5,-11.95
ICFC,2025-07-31,BUY,694.65,630.6,-9.22
MFIL,2025-07-31,BUY,716.71,794.0,10.78
CGH,2025-07-24,BUY,1129.73,815.0,-27.86
GBBL,2025-07-24,BUY,469.65,396.5,-15.58
JBBL,2025-07-24,BUY,387.21,325.9,-15.83
MNBBL,2025-07-24,BUY,473.72,357.8,-24.47
RURU,2025-07-24,BUY,812.81,649.0,-20.15
SCB,2025-07-24,BUY,670.91,640.0,-4.61
SIFC,2025-07-24,BUY,566.43,581.6,2.68
RHPL,2025-07-24,SELL,349.21,279.0,20.11
CHCL,2025-07-17,BUY,547.62,460.9,-15.84
LBBL,2025-07-17,BUY,492.67,464.0,-5.82
MBL,2025-07-17,BUY,261.69,226.9,-13.29
NBL,2025-07-17,BUY,299.67,241.8,-19.31
