Symbol,Latest_Close,52_Week_Low,52_Week_High,Distance_from_Low_%,Distance_from_High_%
NMFBSP,628.0,675.0,675.0,-6.96,-6.96
PMLIP,255.0,270.0,309.0,-5.56,-17.48
SMATAP,421.0,441.0,593.0,-4.54,-29.01
HBLPO,111.6,115.0,133.0,-2.96,-16.09
SHINEP,222.0,228.0,228.0,-2.63,-2.63
KBSH,1370.1,1407.0,2189.0,-2.62,-37.41
MKCL,1111.0,1130.1,1900.0,-1.69,-41.53
USHL,564.0,572.7,945.0,-1.52,-40.32
GMLI,1180.0,1195.0,2375.0,-1.26,-50.32
NRM,317.5,321.5,590.0,-1.24,-46.19
OMPL,1066.0,1079.0,1590.0,-1.2,-32.96
RAWA,455.3,458.1,872.0,-0.61,-47.79
TSHL,503.0,505.1,989.0,-0.42,-49.14
SBLD83,1042.0,1045.0,1122.0,-0.29,-7.13
SPC,438.0,439.1,591.0,-0.25,-25.89
SIFCPO,286.0,286.0,286.0,0.0,0.0
NLICP,413.0,413.0,413.0,0.0,0.0
JBBLPO,181.4,181.4,187.0,0.0,-2.99
KBLPO,100.0,100.0,115.0,0.0,-13.04
NLICLP,321.0,321.0,321.0,0.0,0.0
MATRIP,523.5,523.5,766.5,0.0,-31.7
SFCLP,164.0,164.0,164.0,0.0,0.0
KMCDBP,587.0,587.0,605.0,0.0,-2.98
LBBLPO,261.0,261.0,261.0,0.0,0.0
RLFLPO,268.6,268.6,303.0,0.0,-11.35
BFCPO,250.0,250.0,324.0,0.0,-22.84
PRVUPO,100.0,100.0,100.9,0.0,-0.89
NMLBBL,565.0,565.0,807.0,0.0,-29.99
CORBLP,100.0,100.0,100.0,0.0,0.0
FOWADP,660.0,660.0,660.0,0.0,0.0
NMLBBLP,334.0,334.0,366.1,0.0,-8.77
CYCLP,831.0,831.0,864.0,0.0,-3.82
NABILP,301.1,301.1,301.1,0.0,0.0
ALICLP,252.0,252.0,388.0,0.0,-35.05
MLBSLP,100.0,100.0,100.0,0.0,0.0
MLBSP,698.0,698.0,957.0,0.0,-27.06
SBLD2082,1045.2,1045.1,1097.6,0.01,-4.77
HATHY,737.0,735.0,1382.4,0.27,-46.69
MEHL,350.0,349.0,519.0,0.29,-32.56
RBCL,14399.0,14350.0,16900.0,0.34,-14.8
ENL,849.0,844.0,1225.0,0.59,-30.69
BEDC,346.0,343.9,872.0,0.61,-60.32
VLUCL,473.0,470.0,664.8,0.64,-28.85
SLBBLP,456.0,453.0,499.0,0.66,-8.62
NICD83/84,1050.0,1042.8,1149.0,0.69,-8.62
NUBL,636.0,631.5,854.4,0.71,-25.56
CIT,1712.1,1699.9,2168.0,0.72,-21.03
ULHC,414.0,411.0,599.0,0.73,-30.88
SARBTM,816.2,810.0,1048.0,0.77,-22.12
MKHL,493.9,490.0,1027.0,0.8,-51.91
NIFRA,252.0,249.9,328.1,0.84,-23.19
ULI,358.0,355.0,746.0,0.85,-52.01
SKBBL,756.8,750.0,999.0,0.91,-24.24
PBD84,1080.0,1070.2,1182.0,0.92,-8.63
SMATA,753.3,745.1,1382.0,1.1,-45.49
GMFBS,1252.0,1238.0,1871.0,1.13,-33.08
BHDC,445.0,440.0,706.0,1.14,-36.97
MATRI,864.0,853.6,1347.0,1.22,-35.86
CBBLPO,395.0,390.0,395.0,1.28,0.0
PBLD84,1076.0,1062.1,1158.4,1.31,-7.11
KPCL,477.0,470.3,711.0,1.42,-32.91
MERO,710.0,700.0,1000.0,1.43,-29.0
SWBBL,710.0,700.0,1046.5,1.43,-32.15
BNHC,317.5,313.0,613.8,1.44,-48.27
HBLD83,1035.0,1020.0,1111.0,1.47,-6.84
MKHC,304.0,299.6,503.4,1.47,-39.61
MMKJL,480.0,473.0,699.9,1.48,-31.42
MLBBL,1160.0,1143.0,1690.0,1.49,-31.36
SMPDA,812.0,800.0,1155.0,1.5,-29.7
SWMF,649.8,640.1,868.1,1.52,-25.15
GWFD83,1077.3,1061.0,1435.6,1.54,-24.96
JSLBB,1045.0,1029.2,1485.0,1.54,-29.63
NMIC,980.0,965.0,1770.0,1.55,-44.63
RBBD83,1042.1,1025.7,1100.0,1.6,-5.26
SHLB,1435.0,1411.0,2170.0,1.7,-33.87
HRL,594.0,584.0,1139.9,1.71,-47.89
MLBL,355.0,348.9,468.6,1.75,-24.24
UNLB,1350.3,1327.0,2480.0,1.76,-45.55
RURU,642.5,631.0,853.0,1.82,-24.68
SLBBL,815.0,799.9,1155.0,1.89,-29.44
IHL,372.0,365.0,640.0,1.92,-41.88
CZBILP,109.0,106.9,111.0,1.96,-1.8
NWCL,747.0,731.8,1045.0,2.08,-28.52
SPL,679.0,665.1,1035.0,2.09,-34.4
NIMBPO,145.0,142.0,184.5,2.11,-21.41
RBCLPO,11400.0,11160.1,13530.0,2.15,-15.74
CGH,764.1,748.0,1150.0,2.15,-33.56
ALICL,440.1,430.0,550.0,2.35,-19.98
EDBL,558.2,545.0,717.3,2.42,-22.18
SRBLD83,1064.0,1038.8,1126.0,2.43,-5.51
RBBF40,9.2,8.98,10.2,2.45,-9.8
GCIL,367.0,358.2,579.0,2.46,-36.61
NMBD2085,1135.0,1107.5,1188.0,2.48,-4.46
HPPL,364.0,355.1,613.0,2.51,-40.62
MLBS,1197.0,1165.9,1900.0,2.67,-37.0
FOWAD,996.0,970.0,1364.0,2.68,-26.98
SBLD84,1068.0,1039.3,1201.0,2.76,-11.07
MCHL,303.0,294.5,584.0,2.89,-48.12
UPCL,352.1,342.1,463.0,2.92,-23.95
MBJC,278.0,270.0,343.0,2.96,-18.95
MSHL,667.0,647.4,955.0,3.03,-30.16
NHDL,633.9,615.0,796.0,3.07,-20.36
NIBD2082,1040.0,1008.5,1170.0,3.12,-11.11
ADBLD83,1075.0,1042.2,1160.0,3.15,-7.33
CIZBD86,1145.0,1110.0,1320.9,3.15,-13.32
CSY,9.15,8.87,10.0,3.16,-8.5
MKJC,475.0,460.4,635.0,3.17,-25.2
