Symbol,Latest_Close,52_Week_Low,52_Week_High,Distance_from_Low_%,Distance_from_High_%
IGIPO,241.0,340.0,340.0,-29.12,-29.12
EDBLPO,324.0,408.0,408.0,-20.59,-20.59
MDBPO,318.0,359.0,359.0,-11.42,-11.42
HBLPO,102.0,111.6,131.0,-8.6,-22.14
ACLBSLP,512.0,556.0,613.0,-7.91,-16.48
SMATAP,421.0,441.0,593.0,-4.54,-29.01
NMBD2085,1102.1,1107.5,1211.0,-0.49,-8.99
SBLD84,1020.1,1025.0,1201.0,-0.48,-15.06
NMB50,9.68,9.7,11.62,-0.21,-16.7
SIFCPO,286.0,286.0,286.0,0.0,0.0
PRVUPO,100.0,100.0,105.0,0.0,-4.76
SFCLP,164.0,164.0,164.0,0.0,0.0
SMPDAP,396.0,396.0,518.0,0.0,-23.55
SLBBLP,443.0,443.0,496.0,0.0,-10.69
SHINEP,222.0,222.0,228.0,0.0,-2.63
SRLIP,197.6,197.6,218.0,0.0,-9.36
FOWADP,550.0,550.0,660.0,0.0,-16.67
RLFLPO,268.6,268.6,303.0,0.0,-11.35
MLBSLP,100.0,100.0,100.0,0.0,0.0
NBLD87,1060.0,1060.0,1225.0,0.0,-13.47
MLBSP,698.0,698.0,957.0,0.0,-27.06
LBBLPO,261.0,261.0,261.0,0.0,0.0
NICAP,179.0,179.0,193.0,0.0,-7.25
NABILP,301.1,301.1,301.1,0.0,0.0
GBIMEP,100.0,100.0,131.0,0.0,-23.66
NLICP,413.0,413.0,413.0,0.0,0.0
GUFLPO,298.0,298.0,331.0,0.0,-9.97
PMLIP,255.0,255.0,302.9,0.0,-15.81
CORBLP,100.0,100.0,100.0,0.0,0.0
CYCLP,831.0,831.0,864.0,0.0,-3.82
SALICOPO,270.0,270.0,270.0,0.0,0.0
BFCPO,250.0,250.0,324.0,0.0,-22.84
NMLBBLP,334.0,334.0,366.1,0.0,-8.77
NLICLP,321.0,321.0,321.0,0.0,0.0
MATRIP,523.5,523.5,766.5,0.0,-31.7
MNBBLP,236.2,236.2,256.0,0.0,-7.73
JBBLPO,179.0,179.0,187.0,0.0,-4.28
KBLPO,100.0,100.0,109.0,0.0,-8.26
ALICLP,252.0,252.0,388.0,0.0,-35.05
KMCDBP,587.0,587.0,605.0,0.0,-2.98
UAILPO,251.0,251.0,382.0,0.0,-34.29
SBLD2082,1045.2,1045.1,1097.6,0.01,-4.77
SBID83,1028.0,1027.0,1226.0,0.1,-16.15
CORBL,802.0,800.0,3183.0,0.25,-74.8
PBLD86,1104.1,1100.2,1470.0,0.35,-24.89
SBIBD86,1130.0,1123.0,1222.0,0.62,-7.53
SBD87,1062.0,1055.0,1210.0,0.66,-12.23
KDL,614.5,610.0,1185.0,0.74,-48.14
SCBD,1065.0,1056.6,1236.0,0.8,-13.83
ULI,358.0,355.0,746.0,0.85,-52.01
EBLD86,1059.0,1050.0,1154.0,0.86,-8.23
UMRH,505.0,500.7,622.0,0.86,-18.81
NICD83/84,1010.0,1001.4,1149.0,0.86,-12.1
ADBLB86,1010.0,1000.0,1000.1,1.0,0.99
PFL,355.4,351.6,443.0,1.08,-19.77
SAND2085,1100.0,1086.5,1245.0,1.24,-11.65
SBLD83,1015.0,1000.0,1116.5,1.5,-9.09
ADBLB87,1015.0,1000.0,1016.0,1.5,-0.1
SAPDBL,606.0,595.7,1065.7,1.73,-43.14
NIBD84,1035.0,1017.2,1130.0,1.75,-8.41
SRBLD83,1025.0,1006.1,1125.0,1.88,-8.89
NBLD85,1040.0,1020.0,1187.0,1.96,-12.38
ADBLD83,1035.0,1015.0,1132.9,1.97,-8.64
GBBD85,1057.0,1036.5,1135.0,1.98,-6.87
NICAD85/86,1120.0,1097.0,1264.0,2.1,-11.39
BOKD86KA,1120.0,1096.5,1247.0,2.14,-10.18
NMBUR93/94,923.0,903.1,1000.0,2.2,-7.7
SLCF,9.0,8.8,10.7,2.27,-15.89
ILBSP,450.0,439.4,624.0,2.41,-27.88
ENL,555.0,541.0,1021.0,2.59,-45.64
RBBF40,8.96,8.73,10.36,2.63,-13.51
HBLD83,1027.0,1000.0,1111.0,2.7,-7.56
NMBD89/90,1225.0,1192.0,1460.0,2.77,-16.1
NSY,9.1,8.85,10.19,2.82,-10.7
GWFD83,1045.0,1016.0,1239.0,2.85,-15.66
SFMF,9.22,8.96,11.01,2.9,-16.26
MND84/85,1068.0,1037.7,1128.0,2.92,-5.32
SPL,602.9,585.1,1000.0,3.04,-39.71
