Symbol,Date,Open,High,Low,Close,Percent Change,Volume,EMA_20,EMA_50,RSI,Crossover
NADEP,2024-03-12,576.2,615.0,574.0,610.6,8.07 %,"38,526.00",537.8299741200453,536.7267332901972,74.9551703526599,True
JSLBB,2024-03-12,922.9,995.5,922.9,995.5,10.00 %,"7,199.00",883.3822153641836,879.2507233602904,73.40080971659921,True
RLFL,2024-03-12,373.9,373.9,364.9,371.0,1.09 %,"16,107.00",361.3025772880461,360.77849725504547,56.51769087523277,True
MLBS,2024-03-12,772.2,795.0,745.0,785.0,3.02 %,"4,536.00",705.5219407785569,700.9260261829077,77.01465201465203,True
ULBSL,2024-03-10,1141.9,1200.0,1130.0,1169.5,4.42 %,"3,091.00",1114.5634337320755,1114.5568585757605,66.57129232236531,True
MSLB,2024-03-10,880.0,938.0,860.0,938.0,8.72 %,"4,193.00",858.1336943568635,853.4458721816369,62.0253164556962,True
WNLB,2024-03-10,795.0,869.0,795.0,869.0,10.00 %,"4,289.00",814.781400215052,812.7019944236474,55.50646891763963,True
GFCL,2024-03-04,429.7,445.0,429.0,445.0,5.63 %,"4,104.00",438.5623027492663,438.3556613746463,50.0,True
ANLB,2024-01-24,1825.0,1898.9,1811.0,1831.0,0.32 %,"1,539.00",1790.0326096233503,1788.0987210505943,62.31003039513678,True
SLBSL,2024-01-01,769.4,785.0,739.1,779.0,-0.78 %,136.00,741.0055000064314,740.3825156402532,84.14017341040463,True
ILBS,2023-12-20,698.7,698.7,668.4,680.0,-0.73 %,"4,975.00",620.1798187319953,617.3606441209319,70.50473186119875,True
SWMF,2023-12-19,679.2,682.9,656.0,681.0,1.96 %,"4,213.00",603.7874752105419,602.5324341774157,89.6719319562576,True
NABBC,2023-12-18,382.2,415.0,382.2,406.7,4.28 %,"10,361.00",371.4832597442449,371.28810353376315,63.722943722943725,True
MPFL,2023-12-17,308.7,330.9,305.0,322.0,2.22 %,"55,120.00",292.26835929292116,290.8710411685265,72.19251336898395,True
GRDBL,2023-12-13,323.9,323.9,311.5,317.5,-0.06 %,"6,640.00",302.8213720957554,302.6212695478137,64.09903713892712,True
SINDU,2023-12-12,266.2,280.0,259.0,267.0,2.30 %,"7,605.00",251.89992567589857,251.35946867018845,68.0327868852459,True
KBSH,2023-12-12,800.0,824.9,787.0,824.0,3.91 %,845.00,774.9680251807866,774.2253543842182,65.625,True
SFCL,2023-12-12,283.1,300.0,283.1,299.8,5.19 %,"40,010.00",273.97771402197435,272.8108804008143,75.6648936170213,True
SAPDBL,2023-12-12,245.0,247.7,231.0,244.0,-0.41 %,"13,758.00",231.9451075933426,231.39536622351972,65.8450704225352,True
HHL,2023-12-10,214.8,231.6,212.0,231.0,9.69 %,"2,300.00",206.46704211413743,206.11854921323754,73.93617021276596,True
CORBL,2023-12-07,333.5,340.0,327.0,340.0,3.98 %,"4,595.00",323.00650536919426,322.5666007535935,65.2360515021459,True
AHL,2023-11-29,349.9,354.1,340.4,350.0,0.03 %,"10,125.00",328.82000725331517,328.4510180722452,67.49729144095343,True
MCHL,2023-11-28,240.0,261.7,240.0,254.4,6.89 %,"44,036.00",231.80287167383895,231.73441439414182,62.39476145930775,True
RAWA,2023-11-26,337.2,378.0,331.0,378.0,9.88 %,"26,925.00",341.67762472392775,341.4356993778818,66.86291000841047,True
MSHL,2023-10-31,312.2,324.0,312.2,324.0,1.89 %,"7,370.00",317.71046900329316,317.50565079280574,,True
SAMAJ,2023-09-05,74.0,74.0,74.0,74.0,1.93 %,10.00,70.31480584964527,70.26745997673514,54.29864253393666,True
LGIL,2023-02-08,555.7,563.9,550.0,555.0,0.73 %,"39,958.00",481.87171288005084,481.85099884624265,84.95040965933593,True
RRHP,2021-07-19,438.0,438.0,416.0,420.0,-2.33 %,"35,409.00",392.86762846458714,391.7325256989635,69.34306569343066,True
SPARS,2020-08-26,894.0,940.0,894.0,925.0,2.44 %,"2,865.00",865.1778197627663,861.7401447068067,70.49180327868852,True
