Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,375.0,23395.0,-455.0,22940.0,168.92
SSHL,0,0.0,220.0,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,264.0,0.0,6862.0,6862.0,123.73
UNHPL,65,415.38,498.0,0.0,5370.0,5370.0,19.89
DORDI,130,307.54,280.1,0.0,-3567.0,-3567.0,-8.92
PPCL,10,390.0,389.9,-8000.0,-1.0,-8001.0,-205.15
MEL,164,323.0,268.9,0.0,-8872.4,-8872.4,-16.75
SINDU,115,866.3,740.1,0.0,-14513.5,-14513.5,-14.57
HLBSL,95,1079.0,903.0,0.0,-16720.0,-16720.0,-16.31
SAGAR,90,2220.0,1759.0,0.0,-41490.0,-41490.0,-20.77
GBLBS,60,1519.0,775.0,0.0,-44640.0,-44640.0,-48.98
