Symbol,Latest_Close,52_Week_Low,52_Week_High,Distance_from_Low_%,Distance_from_High_%
GBIMEP,100.0,100.0,122.0,0.0,-18.03
PCBLP,100.0,100.0,105.3,0.0,-5.03
NIBD2082,1020.0,1016.4,1170.0,0.35,-12.82
HBLD83,1029.6,1024.0,1111.0,0.55,-7.33
NBLD82,1055.1,1042.5,1248.0,1.21,-15.46
SBLD84,1046.0,1031.3,1115.0,1.43,-6.19
SRBLD83,1054.0,1038.8,1126.0,1.46,-6.39
ADBLD83,1075.0,1046.0,1160.0,2.77,-7.33
EBLD85,1135.0,1102.5,1250.0,2.95,-9.2
GMLI,1759.9,1694.0,2778.0,3.89,-36.65
BGWT,761.2,730.7,1110.0,4.17,-31.42
NIBD84,1056.0,1013.1,1130.0,4.23,-6.55
GWFD83,1137.0,1090.0,1464.8,4.31,-22.38
SBID83,1070.0,1025.0,1226.0,4.39,-12.72
RBBD83,1061.0,1016.3,1100.0,4.4,-3.55
SAND2085,1123.0,1075.0,1189.0,4.47,-5.55
UNLB,1892.0,1810.0,2480.0,4.53,-23.71
MSHL,817.5,782.0,979.0,4.54,-16.5
MKCL,1395.0,1333.0,1900.0,4.65,-26.58
UNL,47100.0,45000.0,50724.0,4.67,-7.14
GMFBS,1450.0,1385.1,1871.0,4.69,-22.5
TAMOR,429.0,409.0,576.0,4.89,-25.52
BNL,15355.0,14635.8,20338.4,4.91,-24.5
SHLB,1613.0,1535.1,2349.0,5.07,-31.33
MLBS,1466.0,1395.0,1960.0,5.09,-25.2
NMBD87/88,1070.0,1017.8,1196.4,5.13,-10.57
RAWA,721.5,686.0,940.0,5.17,-23.24
SBLD83,1095.0,1038.7,1122.0,5.42,-2.41
VLBS,778.1,737.0,1008.0,5.58,-22.81
SCBD,1128.0,1068.0,1236.0,5.62,-8.74
KBSH,1709.0,1618.0,2625.0,5.62,-34.9
SMH,637.1,603.0,1065.0,5.66,-40.18
SPL,736.0,696.3,1035.0,5.7,-28.89
USLB,1474.0,1393.0,2750.0,5.81,-46.4
NCCD86,1114.2,1052.4,1230.0,5.87,-9.41
CIZBD86,1161.0,1096.4,1320.9,5.89,-12.11
NMB50,10.34,9.75,11.93,6.05,-13.33
NICAD2091,1066.3,1005.2,1102.6,6.08,-3.29
SKBBL,798.6,752.0,999.0,6.2,-20.06
KMCDB,950.0,893.0,1223.0,6.38,-22.32
SMJC,494.0,464.0,679.3,6.47,-27.28
CIT,1843.9,1730.8,2168.0,6.53,-14.95
GLBSL,1959.9,1838.6,3232.0,6.6,-39.36
MLBBL,1370.0,1285.0,2019.0,6.61,-32.14
HBLD86,1169.6,1095.1,1201.0,6.8,-2.61
NICL,516.5,483.0,1005.0,6.94,-48.61
SBIBD86,1123.0,1050.0,1222.0,6.95,-8.1
MND84/85,1096.5,1025.0,1128.0,6.98,-2.79
KBLD89,1245.0,1162.6,1335.0,7.09,-6.74
SMPDA,899.9,840.0,1155.0,7.13,-22.09
MAKAR,552.0,515.0,802.0,7.18,-31.17
CBLD88,1188.0,1108.0,1265.0,7.22,-6.09
SWBBL,770.0,718.0,1046.5,7.24,-26.42
MLBSL,1940.0,1808.4,2435.5,7.28,-20.34
SALICO,611.6,570.1,765.9,7.28,-20.15
HLICF,9.38,8.74,10.55,7.32,-11.09
CGH,859.0,800.2,1150.0,7.35,-25.3
HATHY,940.0,875.5,1469.8,7.37,-36.05
CITY,495.0,461.0,998.4,7.38,-50.42
RBCL,15306.0,14251.0,16900.0,7.4,-9.43
SDBD87,1113.0,1035.3,1196.2,7.51,-6.96
NLG,705.0,655.0,976.2,7.63,-27.78
FOWAD,1090.0,1012.4,1324.4,7.66,-17.7
NIMBPO,161.7,150.0,184.5,7.8,-12.36
GBBD85,1100.0,1020.1,1135.0,7.83,-3.08
NBLD87,1090.0,1010.1,1150.0,7.91,-5.22
PBD88,1181.1,1094.0,1274.0,7.96,-7.29
BEDC,540.0,500.0,960.0,8.0,-43.75
ENL,936.0,866.0,1289.8,8.08,-27.43
MANDU,828.6,766.5,970.0,8.1,-14.58
EBLEB89,1077.7,996.1,1117.9,8.19,-3.6
NBBD2085,1167.0,1078.6,1206.3,8.2,-3.26
MATRI,978.1,904.0,1347.0,8.2,-27.39
CSY,9.6,8.87,10.0,8.23,-4.0
NMLBBL,650.0,600.0,807.0,8.33,-19.45
MBLD87,1106.0,1021.0,1169.0,8.33,-5.39
PBLD87,1100.0,1015.1,1147.0,8.36,-4.1
JBLB,1377.0,1270.7,1644.0,8.37,-16.24
NIFRAGED,1028.0,948.0,1137.2,8.44,-9.6
LBBLD89,1240.0,1142.0,1346.0,8.58,-7.88
BBC,4867.0,4480.0,6661.6,8.64,-26.94
BOKD86KA,1204.0,1108.1,1196.4,8.65,0.64
SBD87,1108.0,1019.5,1139.0,8.68,-2.72
CIZBD90,1212.0,1114.4,1303.0,8.76,-6.98
HDL,1200.0,1103.0,1556.1,8.79,-22.88
DLBS,1350.0,1240.0,1684.0,8.87,-19.83
MCHL,427.0,392.0,641.0,8.93,-33.39
KSBBLD87,1135.1,1041.3,1178.1,9.01,-3.65
RURU,698.0,640.0,853.0,9.06,-18.17
HLI,387.0,354.8,464.0,9.08,-16.59
NMFBS,1185.0,1086.0,1504.0,9.12,-21.21
NICAD85/86,1157.8,1060.0,1190.0,9.23,-2.71
UMRH,574.8,526.0,675.0,9.28,-14.84
NHDL,681.0,623.0,919.0,9.31,-25.9
SWMF,700.9,641.1,868.1,9.33,-19.26
IHL,536.0,490.0,735.0,9.39,-27.07
MMKJL,578.0,528.2,735.0,9.43,-21.36
RBBF40,9.83,8.98,10.11,9.47,-2.77
JBBD87,1135.0,1036.0,1289.0,9.56,-11.95
NRIC,1257.0,1146.0,1842.0,9.69,-31.76
SLBSL,1357.0,1234.5,2582.0,9.92,-47.44
