Symbol,Score,Signal,Close,RSI,Trend,52W_Position_%,Volume_Ratio,Momentum_5D_%,Factors
AKJCL,55,BUY,352.0,57.3,UP,84.4,0.55,-7.4,"Strong_Uptrend, Above_200SMA, Negative_5D_Momentum_Reversal, Strong_20D_Momentum"
CFCL,50,BUY,523.0,38.6,DOWN,28.8,0.66,-5.6,"Low_RSI, Above_200SMA, Lower_Half_Range, Below_BB_Middle, Negative_5D_Momentum_Reversal"
PLI,50,BUY,587.0,51.8,UP,79.1,0.62,-1.7,"Strong_Uptrend, Above_200SMA, Below_BB_Middle, Strong_20D_Momentum"
SADBL,45,WATCH,416.0,55.8,UP,26.5,0.5,-0.2,"Strong_Uptrend, Above_200SMA, Lower_Half_Range"
HURJA,45,WATCH,256.8,50.9,UP,65.2,0.25,-5.3,"Strong_Uptrend, Above_200SMA, Negative_5D_Momentum_Reversal"
LEC,40,WATCH,219.0,54.0,UP,48.5,0.34,-1.8,"Strong_Uptrend, Above_200SMA, Below_BB_Middle"
PPCL,40,WATCH,372.0,45.8,UP,78.0,0.17,-2.8,"Strong_Uptrend, Above_200SMA, Below_BB_Middle"
GLH,40,WATCH,265.0,49.3,UP,48.1,0.32,-3.6,"Strong_Uptrend, Above_200SMA, Below_BB_Middle"
HDHPC,40,WATCH,193.0,38.8,DOWN,50.9,0.23,-5.3,"Low_RSI, Above_200SMA, Below_BB_Middle, Negative_5D_Momentum_Reversal"
NABBC,40,WATCH,1420.0,33.3,DOWN,56.4,0.7,-6.6,"Low_RSI, Above_200SMA, Below_BB_Middle, Negative_5D_Momentum_Reversal"
UMHL,40,WATCH,630.9,42.3,UP,84.2,0.27,3.1,"Strong_Uptrend, Above_200SMA, Below_BB_Middle"
RHPL,40,WATCH,285.2,51.3,UP,13.0,0.26,-6.5,"Strong_Uptrend, Below_200SMA, Near_52W_Low, Below_BB_Middle, Negative_5D_Momentum_Reversal"
PMHPL,35,WATCH,346.0,55.4,UP,40.0,0.29,-1.7,"Strong_Uptrend, Above_200SMA"
GUFL,35,WATCH,543.9,29.9,DOWN,39.4,0.16,-2.2,"Oversold_RSI, Above_200SMA, Below_BB_Middle"
UNHPL,35,WATCH,497.0,44.9,UP,82.4,0.33,0.4,"Strong_Uptrend, Above_200SMA"
TPC,35,WATCH,383.0,42.7,UP,28.1,0.24,-6.4,"Strong_Uptrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle, Negative_5D_Momentum_Reversal"
SCB,35,WATCH,642.2,61.1,UP,50.2,0.61,0.3,"Strong_Uptrend, Above_200SMA"
NHPC,35,WATCH,223.3,58.1,UP,74.4,0.63,-3.0,"Strong_Uptrend, Above_200SMA"
API,35,WATCH,302.0,54.4,UP,63.0,0.88,0.8,"Strong_Uptrend, Above_200SMA"
SBI,35,WATCH,408.3,50.7,UP,39.2,0.26,1.3,"Strong_Uptrend, Above_200SMA"
SANIMA,35,WATCH,335.0,57.7,UP,45.3,0.27,0.0,"Strong_Uptrend, Above_200SMA"
SHEL,35,WATCH,299.0,55.3,UP,59.2,0.5,-2.3,"Strong_Uptrend, Above_200SMA"
EBL,35,WATCH,670.0,53.1,UP,49.9,1.01,0.2,"Strong_Uptrend, Above_200SMA"
CHDC,35,WATCH,2506.5,60.7,UP,67.8,0.6,3.1,"Strong_Uptrend, Above_200SMA"
MHNL,30,WATCH,262.6,43.5,DOWN,39.2,0.1,-5.2,"Above_200SMA, Below_BB_Middle, Negative_5D_Momentum_Reversal"
MPFL,30,WATCH,614.9,39.7,DOWN,46.9,0.23,-0.5,"Low_RSI, Above_200SMA, Below_BB_Middle"
NBB,30,WATCH,400.0,61.3,UP,61.0,3.15,0.9,"Strong_Uptrend, Below_200SMA, High_Volume, Strong_20D_Momentum"
MDB,30,WATCH,629.0,33.3,DOWN,46.3,0.29,0.2,"Low_RSI, Above_200SMA, Below_BB_Middle"
KKHC,30,WATCH,282.0,63.8,UP,27.8,0.84,-2.8,"Strong_Uptrend, Below_200SMA, Lower_Half_Range, Strong_20D_Momentum"
SIFC,30,WATCH,585.0,33.2,DOWN,63.3,0.21,-0.2,"Low_RSI, Above_200SMA, Below_BB_Middle"
SBL,30,WATCH,376.5,32.4,DOWN,84.1,0.29,1.2,"Low_RSI, Above_200SMA, Below_BB_Middle"
PLIC,30,WATCH,340.0,16.8,DOWN,0.0,2.22,-6.6,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB, High_Volume, Negative_5D_Momentum_Reversal"
KRBL,25,NEUTRAL,810.0,46.4,UP,93.7,0.89,3.9,"Strong_Uptrend, Above_200SMA, Near_52W_High"
UPPER,25,NEUTRAL,184.4,45.7,UP,29.2,0.32,-2.8,"Strong_Uptrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
RADHI,25,NEUTRAL,850.0,52.1,UP,93.3,0.32,0.6,"Strong_Uptrend, Above_200SMA, Near_52W_High"
SSHL,25,NEUTRAL,188.0,41.0,UP,24.1,0.25,-1.3,"Strong_Uptrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
TRH,25,NEUTRAL,755.0,56.4,UP,13.2,0.66,0.7,"Strong_Uptrend, Below_200SMA, Near_52W_Low"
NGPL,25,NEUTRAL,430.0,55.0,UP,90.3,0.84,-1.6,"Strong_Uptrend, Above_200SMA, Near_52W_High"
RHPC,25,NEUTRAL,840.0,75.0,UP,75.1,2.13,16.7,"Overbought_RSI, Weak_Uptrend, Above_200SMA, High_Volume, Positive_5D_Momentum"
NYADI,20,NEUTRAL,391.2,43.4,DOWN,6.1,0.43,-5.7,"Below_200SMA, Near_52W_Low, Below_BB_Middle, Negative_5D_Momentum_Reversal"
SJCL,20,NEUTRAL,301.0,48.2,UP,29.1,0.33,-2.8,"Strong_Uptrend, Below_200SMA, Lower_Half_Range"
GBBL,20,NEUTRAL,400.7,54.6,UP,27.5,0.45,0.5,"Strong_Uptrend, Below_200SMA, Lower_Half_Range"
AKPL,20,NEUTRAL,260.0,43.6,DOWN,52.9,0.25,-3.3,"Above_200SMA, Below_BB_Middle"
ICFC,20,NEUTRAL,645.0,42.5,DOWN,53.1,0.23,-1.5,"Above_200SMA, Below_BB_Middle"
