Symbol,Latest_Close,52_Week_Low,52_Week_High,Distance_from_Low_%,Distance_from_High_%
EDBLPO,324.0,408.0,408.0,-20.59,-20.59
SINDU,359.7,423.1,919.9,-14.98,-60.9
MDBPO,318.0,359.0,359.0,-11.42,-11.42
HBLPO,102.0,111.6,131.0,-8.6,-22.14
ACLBSLP,512.0,556.0,613.0,-7.91,-16.48
SMATAP,421.0,441.0,593.0,-4.54,-29.01
NFS,471.0,491.1,725.0,-4.09,-35.03
TVCL,283.0,293.0,689.0,-3.41,-58.93
CORBL,814.0,836.5,3183.0,-2.69,-74.43
DLBS,955.0,981.2,1495.0,-2.67,-36.12
AHL,350.2,355.0,699.0,-1.35,-49.9
SCBD,1056.6,1070.0,1236.0,-1.25,-14.51
CHCL,346.0,350.0,525.0,-1.14,-34.1
NABILD87,1087.5,1100.0,1200.0,-1.14,-9.38
NUBL,556.0,560.0,802.0,-0.71,-30.67
NMBD2085,1102.1,1107.5,1211.0,-0.49,-8.99
GBLBS,622.0,625.0,868.0,-0.48,-28.34
SBLD84,1025.0,1029.0,1201.0,-0.39,-14.65
HEIP,292.0,293.1,378.0,-0.38,-22.75
BOKD86KA,1096.5,1100.0,1247.0,-0.32,-12.07
NMB50,9.68,9.7,11.62,-0.21,-16.7
NBLD82,1018.5,1020.5,1140.0,-0.2,-10.66
GBIMEP,100.0,100.0,131.0,0.0,-23.66
NMFBSP,610.0,610.0,675.0,0.0,-9.63
CYCLP,831.0,831.0,864.0,0.0,-3.82
NMLBBLP,334.0,334.0,366.1,0.0,-8.77
RLFLPO,268.6,268.6,303.0,0.0,-11.35
FOWADP,550.0,550.0,660.0,0.0,-16.67
NLICLP,321.0,321.0,321.0,0.0,0.0
NLICP,413.0,413.0,413.0,0.0,0.0
SALICOPO,270.0,270.0,270.0,0.0,0.0
SLBBLP,443.0,443.0,496.0,0.0,-10.69
MLBSLP,100.0,100.0,100.0,0.0,0.0
NABILP,301.1,301.1,301.1,0.0,0.0
GUFLPO,298.0,298.0,331.0,0.0,-9.97
JBBLPO,179.0,179.0,187.0,0.0,-4.28
MNBBLP,236.2,236.2,256.0,0.0,-7.73
MLBSP,698.0,698.0,957.0,0.0,-27.06
NICAP,179.0,179.0,331.3,0.0,-45.97
NICA,303.1,303.1,411.0,0.0,-26.25
SFCLP,164.0,164.0,164.0,0.0,0.0
PMLIP,255.0,255.0,302.9,0.0,-15.81
BFCPO,250.0,250.0,324.0,0.0,-22.84
UAILPO,251.0,251.0,382.0,0.0,-34.29
KMCDBP,587.0,587.0,605.0,0.0,-2.98
KBLPO,100.0,100.0,111.0,0.0,-9.91
MATRIP,523.5,523.5,766.5,0.0,-31.7
LBBLPO,261.0,261.0,261.0,0.0,0.0
SIFCPO,286.0,286.0,286.0,0.0,0.0
ALICLP,252.0,252.0,388.0,0.0,-35.05
CORBLP,100.0,100.0,100.0,0.0,0.0
SRLIP,197.6,197.6,218.0,0.0,-9.36
SHINEP,222.0,222.0,228.0,0.0,-2.63
SBLD2082,1045.2,1045.1,1097.6,0.01,-4.77
PROFL,368.1,368.0,522.0,0.03,-29.48
LBLD86,1085.0,1083.0,1240.0,0.18,-12.5
CLI,411.0,410.2,526.0,0.2,-21.86
GWFD83,1018.2,1016.0,1239.0,0.22,-17.82
PBLD86,1103.0,1100.2,1470.0,0.25,-24.97
PBD84,1070.0,1067.0,1182.0,0.28,-9.48
SPDL,341.0,339.8,474.0,0.35,-28.06
KDL,620.3,618.0,1185.0,0.37,-47.65
BNL,13929.2,13872.8,16921.0,0.41,-17.68
NMBUR93/94,907.6,903.1,1000.0,0.5,-9.24
ADBLD83,1020.3,1015.0,1132.9,0.52,-9.94
NIMB,182.0,181.0,232.5,0.55,-21.72
SBIBD86,1130.0,1123.0,1222.0,0.62,-7.53
NMIC,776.2,771.0,1525.0,0.67,-49.1
NMBMF,574.0,570.0,750.0,0.7,-23.47
NRM,275.0,273.0,470.0,0.73,-41.49
PBLD84,1065.1,1057.2,1158.4,0.75,-8.05
ULI,358.0,355.0,746.0,0.85,-52.01
NICD83/84,1010.0,1001.4,1149.0,0.86,-12.1
MND84/85,1052.0,1042.8,1128.0,0.88,-6.74
MERO,590.2,584.9,866.0,0.91,-31.85
GLBSL,1601.0,1585.1,2310.0,1.0,-30.69
PRVUPO,101.0,100.0,105.0,1.0,-3.81
ADBLB86,1010.0,1000.0,1000.1,1.0,0.99
RBCL,13250.0,13106.0,16261.0,1.1,-18.52
KPCL,445.5,440.6,658.0,1.11,-32.29
SBD87,1062.0,1050.0,1210.0,1.14,-12.23
HATHY,576.9,570.1,1050.0,1.19,-45.06
NICLBSL,506.0,500.0,679.0,1.2,-25.48
HBL,185.2,183.0,237.0,1.2,-21.86
NBLD87,1065.1,1052.5,1225.0,1.2,-13.05
SWMF,578.0,571.1,754.0,1.21,-23.34
SPIL,577.0,570.0,792.0,1.23,-27.15
MATRI,715.0,705.6,1048.5,1.33,-31.81
LICN,755.0,745.0,969.0,1.34,-22.08
NIBD84,1031.1,1017.2,1130.0,1.37,-8.75
SRBLD83,1020.0,1006.1,1125.0,1.38,-9.33
PMLI,398.0,392.6,543.6,1.38,-26.78
NIL,510.0,502.8,685.0,1.43,-25.55
NRIC,791.6,780.0,1599.3,1.49,-50.5
SBLD83,1015.0,1000.0,1116.5,1.5,-9.09
ADBLB87,1015.0,1000.0,1016.0,1.5,-0.1
NSIF2,9.9,9.75,11.45,1.54,-13.54
SGIC,376.0,370.3,538.5,1.54,-30.18
NWCL,585.0,576.0,1045.0,1.56,-44.02
NSY,8.99,8.85,10.19,1.58,-11.78
CITY,333.0,327.8,649.0,1.59,-48.69
SNLI,381.0,375.0,528.3,1.6,-27.88
SHLB,1245.0,1225.0,1961.0,1.63,-36.51
UAIL,360.0,354.1,519.1,1.67,-30.65
SIFC,466.8,459.0,687.4,1.7,-32.09
VLBS,602.0,591.7,876.0,1.74,-31.28
SMPDA,720.0,707.3,1064.0,1.8,-32.33
SONA,387.0,380.0,510.0,1.84,-24.12
SBID83,1050.0,1031.0,1226.0,1.84,-14.36
OHL,601.0,590.0,785.0,1.86,-23.44
CGH,762.4,748.0,1005.0,1.93,-24.14
NHDL,618.0,606.2,796.0,1.95,-22.36
NBLD85,1040.0,1020.0,1187.0,1.96,-12.38
HRL,499.9,490.2,965.0,1.98,-48.2
UNHPL,346.9,340.1,571.0,2.0,-39.25
SFMF,9.2,9.02,11.01,2.0,-16.44
SRLI,355.0,348.0,437.7,2.01,-18.89
MHL,443.9,435.0,580.0,2.05,-23.47
NMLBBL,478.0,468.4,697.6,2.05,-31.48
BFC,420.0,411.5,562.0,2.07,-25.27
NICAD85/86,1120.0,1097.0,1264.0,2.1,-11.39
HLI,290.3,284.3,412.9,2.11,-29.69
NIBLSTF,8.17,8.0,10.85,2.12,-24.7
NICBF,8.63,8.45,11.2,2.13,-22.95
ILI,405.0,396.3,489.6,2.2,-17.28
GRDBL,931.0,911.0,1320.0,2.2,-29.47
TTL,680.0,665.0,1173.0,2.26,-42.03
ICFC,580.5,567.6,715.0,2.27,-18.81
SPC,380.7,372.0,577.0,2.34,-34.02
GBBD85,1070.0,1045.5,1135.0,2.34,-5.73
SEF2,8.71,8.51,10.0,2.35,-12.9
HIDCLP,178.5,174.4,230.6,2.35,-22.59
KBSH,798.0,779.0,1907.0,2.44,-58.15
SKBBL,753.0,735.0,910.0,2.45,-17.25
JBLB,1250.0,1219.9,1644.0,2.47,-23.97
RNLI,412.0,402.0,520.2,2.49,-20.8
SGHC,287.0,280.0,487.6,2.5,-41.14
CSY,8.21,8.01,10.0,2.5,-17.9
UMRH,514.0,501.3,622.0,2.53,-17.36
NYADI,344.0,335.3,482.0,2.59,-28.63
NICSF,8.25,8.04,9.97,2.61,-17.25
BHDC,411.7,401.1,616.0,2.64,-33.17
SMH,495.4,482.6,1024.8,2.65,-51.66
SAND2085,1115.5,1086.5,1245.0,2.67,-10.4
HBLD83,1027.0,1000.0,1111.0,2.7,-7.56
NICL,419.0,408.0,578.0,2.7,-27.51
SALICO,525.9,512.0,695.0,2.71,-24.33
NLIC,699.0,680.5,872.0,2.72,-19.84
SAEF2,9.0,8.76,10.0,2.74,-10.0
NMBD89/90,1225.0,1192.0,1460.0,2.77,-16.1
SMJC,403.9,393.0,580.0,2.77,-30.36
MAKAR,400.0,389.0,629.3,2.83,-36.44
SAPDBL,629.5,612.0,1065.7,2.86,-40.93
MNBBL,325.6,316.5,467.0,2.88,-30.28
VLUCL,374.0,363.3,652.0,2.95,-42.64
SLBSL,870.0,845.0,1525.0,2.96,-42.95
ICFCD83,868.4,843.2,1284.9,2.99,-32.41
SMATA,685.0,665.1,999.0,2.99,-31.43
BOKD86,1084.6,1053.1,1145.0,2.99,-5.28
SMB,1750.0,1699.0,2310.3,3.0,-24.25
EBLD86,1082.1,1050.0,1150.0,3.06,-5.9
NIBD2082,1040.0,1008.5,1170.0,3.12,-11.11
AHPC,253.5,245.8,323.3,3.13,-21.59
HIDCL,240.0,232.6,307.0,3.18,-21.82
SGICP,258.0,250.0,323.0,3.2,-20.12
HHL,319.0,309.0,416.6,3.24,-23.43
FMDBL,722.7,700.0,982.0,3.24,-26.41
LBL,173.0,167.5,972.0,3.28,-82.2
GVL,476.2,461.0,602.0,3.3,-20.9
MLBS,1000.0,967.0,1666.0,3.41,-39.98
RBBD83,1045.0,1010.3,1100.0,3.43,-5.0
UNLB,1227.8,1187.0,2306.0,3.44,-46.76
NIFRA,240.0,232.0,299.0,3.45,-19.73
EBLD85,1096.9,1060.0,1250.0,3.48,-12.25
SJLICP,240.1,232.0,245.0,3.49,-2.0
HLBSL,859.0,830.0,1005.0,3.49,-14.53
PFL,364.0,351.6,475.5,3.53,-23.45
GBIMESY2,8.8,8.5,10.78,3.53,-18.37
SANVI,555.0,536.0,1060.0,3.54,-47.64
MFLD85,1102.0,1064.0,1203.0,3.57,-8.4
MEL,202.0,195.0,328.0,3.59,-38.41
SMHL,459.0,443.0,978.0,3.61,-53.07
NIMBPO,140.0,135.1,174.9,3.63,-19.95
NLICL,558.0,538.4,644.0,3.64,-13.35
BGWT,450.9,435.0,944.0,3.66,-52.24
JOSHI,254.0,245.0,388.6,3.67,-34.64
SBCF,9.05,8.73,11.16,3.67,-18.91
EDBL,565.0,545.0,683.4,3.67,-17.33
NADEP,676.0,652.0,871.0,3.68,-22.39
MDB,550.0,530.5,705.8,3.68,-22.07
NIBLGF,8.51,8.2,11.81,3.78,-27.94
PMHPL,298.0,287.0,428.0,3.83,-30.37
LVF2,9.1,8.76,10.3,3.88,-11.65
RURU,582.0,560.1,830.0,3.91,-29.88
CIT,1685.0,1621.1,1973.0,3.94,-14.6
UPCL,331.1,318.4,430.4,3.99,-23.07
NIFRAUR85/86,1030.0,990.0,1128.0,4.04,-8.69
BBC,3980.0,3825.0,5600.0,4.05,-28.93
HBLD86,1157.4,1112.0,1220.0,4.08,-5.13
NMB,239.4,230.0,272.0,4.09,-11.99
SJLIC,402.0,386.0,489.9,4.15,-17.94
GUFL,480.0,460.6,644.0,4.21,-25.47
JFL,278.0,266.6,492.0,4.28,-43.5
GMLI,944.0,905.2,2142.0,4.29,-55.93
NMBD87/88,1085.0,1040.0,1249.0,4.33,-13.13
SFCL,375.0,359.4,565.0,4.34,-33.63
ALICL,398.0,381.4,505.0,4.35,-21.19
BPCL,639.0,612.0,819.0,4.41,-21.98
UNL,47200.0,45200.0,49738.9,4.42,-5.1
NIBSF2,8.46,8.1,11.13,4.44,-23.99
ADBL,297.9,285.2,340.0,4.45,-12.38
GMFIL,410.8,393.1,540.0,4.5,-23.93
