Symbol,50 vs 20 EMA Cross,Date
ADBL,UPPER - 2024-06-16 00:00:00 - Cross - Close: 161.0,2024-06-16
ADBLD83,SRLI - 2024-06-13 00:00:00 - Cross - Close: 444.8,2024-06-13
AHL,NLG - 2024-06-12 00:00:00 - Cross - Close: 772.0,2024-06-12
AHPC,SSHL - 2024-06-11 00:00:00 - Cross - Close: 165.8,2024-06-11
AKJCL,UNHPL - 2024-06-10 00:00:00 - Cross - Close: 231.0,2024-06-10
AKPL,TSHL - 2024-06-09 00:00:00 - Cross - Close: 515.0,2024-06-09
ALBSL,SRLI - 2024-06-06 00:00:00 - Cross - Close: 440.0,2024-06-06
ALICL,USLB - 2024-06-05 00:00:00 - Cross - Close: 1978.0,2024-06-05
ANLB,SSHL - 2024-06-04 00:00:00 - Cross - Close: 160.0,2024-06-04
API,UNHPL - 2024-06-03 00:00:00 - Cross - Close: 225.0,2024-06-03
AVYAN,TSHL - 2024-06-02 00:00:00 - Cross - Close: 515.0,2024-06-02
BARUN,STC - 2024-05-30 00:00:00 - Cross - Close: 4412.0,2024-05-30
BBC,TRADING - 2024-05-21 00:00:00 - Cross - Close: 2768.45,2024-05-21
BEDC,UNL - 2024-05-27 00:00:00 - Cross - Close: 39351.0,2024-05-27
BFC,UNL - 2024-05-26 00:00:00 - Cross - Close: 39500.0,2024-05-26
BGWT,TRH - 2024-05-22 00:00:00 - Cross - Close: 741.0,2024-05-22
BHDC,VLUCL - 2024-05-21 00:00:00 - Cross - Close: 508.0,2024-05-21
BHL,ULHC - 2024-05-20 00:00:00 - Cross - Close: 335.0,2024-05-20
BHPL,TAMOR - 2024-05-19 00:00:00 - Cross - Close: 381.0,2024-05-19
BNHC,SRLI - 2024-05-16 00:00:00 - Cross - Close: 435.0,2024-05-16
BNL,UMRH - 2024-05-15 00:00:00 - Cross - Close: 355.0,2024-05-15
BNT,SIKLES - 2024-05-14 00:00:00 - Cross - Close: 500.2,2024-05-14
BOKD86,SGHC - 2024-05-13 00:00:00 - Cross - Close: 314.9,2024-05-13
BPCL,SCB - 2024-05-12 00:00:00 - Cross - Close: 523.5,2024-05-12
C30MF,UAIL - 2024-05-09 00:00:00 - Cross - Close: 534.0,2024-05-09
CBBL,USHEC - 2024-05-08 00:00:00 - Cross - Close: 367.9,2024-05-08
CCBD88,UAIL - 2024-05-07 00:00:00 - Cross - Close: 535.0,2024-05-07
CFCL,USHEC - 2024-05-06 00:00:00 - Cross - Close: 364.0,2024-05-06
CGH,UNL - 2024-04-24 00:00:00 - Cross - Close: 39780.0,2024-04-24
CHCL,SWBBL - 2024-05-02 00:00:00 - Cross - Close: 756.0,2024-05-02
