Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,375.0,23395.0,-455.0,22940.0,168.92
SSHL,0,0.0,212.0,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,255.0,0.0,6439.0,6439.0,116.1
UNHPL,65,415.38,474.1,0.0,3816.5,3816.5,14.14
DORDI,130,307.54,277.0,0.0,-3970.0,-3970.0,-9.93
PPCL,10,390.0,375.5,-8000.0,-145.0,-8145.0,-208.85
MEL,164,323.0,250.0,0.0,-11972.0,-11972.0,-22.6
SINDU,115,866.3,732.1,0.0,-15433.5,-15433.5,-15.49
HLBSL,95,1079.0,889.0,0.0,-18050.0,-18050.0,-17.61
SAGAR,90,2220.0,1770.9,0.0,-40419.0,-40419.0,-20.23
GBLBS,60,1519.0,750.0,0.0,-46140.0,-46140.0,-50.63
