Symbol,50 vs 20 EMA Cross,Date
AHL,CIT - 2024-07-29 00:00:00 - Cross - Close: 2164,2024-07-29
AKJCL,ILI - 2024-07-25 00:00:00 - Cross - Close: 511,2024-07-25
ANLB,PPL - 2024-07-21 00:00:00 - Cross - Close: 534.9,2024-07-21
API,SJLIC - 2024-07-18 00:00:00 - Cross - Close: 460,2024-07-18
BARUN,UPPER - 2024-07-16 00:00:00 - Cross - Close: 186.7,2024-07-16
BBC,UPCL - 2024-07-15 00:00:00 - Cross - Close: 206.1,2024-07-15
BEDC,SHL - 2024-07-14 00:00:00 - Cross - Close: 451,2024-07-14
BFC,UMHL - 2024-07-11 00:00:00 - Cross - Close: 245,2024-07-11
BGWT,SICL - 2024-07-10 00:00:00 - Cross - Close: 715,2024-07-10
BHDC,SPDL - 2024-07-09 00:00:00 - Cross - Close: 240,2024-07-09
BHL,SPDL - 2024-07-08 00:00:00 - Cross - Close: 236.5,2024-07-08
BHPL,MBL - 2024-07-07 00:00:00 - Cross - Close: 184,2024-07-07
BNHC,JBBL - 2024-07-04 00:00:00 - Cross - Close: 312,2024-07-04
BNL,SHINE - 2024-07-03 00:00:00 - Cross - Close: 390.5,2024-07-03
BNT,STC - 2024-07-02 00:00:00 - Cross - Close: 4700,2024-07-02
BOKD86,PCBL - 2024-07-01 00:00:00 - Cross - Close: 195.8,2024-07-01
BOKD86KA,PCBL - 2024-06-30 00:00:00 - Cross - Close: 193,2024-06-30
BPCL,STC - 2024-06-27 00:00:00 - Cross - Close: 4540,2024-06-27
C30MF,SHINE - 2024-06-26 00:00:00 - Cross - Close: 380,2024-06-26
CBBL,LBBL - 2024-06-25 00:00:00 - Cross - Close: 382.5,2024-06-25
CCBD88,PRVU - 2024-06-23 00:00:00 - Cross - Close: 142,2024-06-23
CFCL,SICL - 2024-06-20 00:00:00 - Cross - Close: 690,2024-06-20
CGH,MEL - 2024-06-19 00:00:00 - Cross - Close: 227,2024-06-19
CHCL,MFIL - 2024-06-18 00:00:00 - Cross - Close: 512,2024-06-18
CHL,TRH - 2024-06-13 00:00:00 - Cross - Close: 771.1,2024-06-13
CIT,PRIN - 2024-06-12 00:00:00 - Cross - Close: 798.1,2024-06-12
CITY,SPDL - 2024-06-11 00:00:00 - Cross - Close: 251,2024-06-11
CIZBD90,STC - 2024-06-10 00:00:00 - Cross - Close: 4730,2024-06-10
CKHL,TSHL - 2024-06-09 00:00:00 - Cross - Close: 515,2024-06-09
CLI,DORDI - 2024-06-06 00:00:00 - Cross - Close: 424,2024-06-06
CMF1,MLBL - 2024-06-05 00:00:00 - Cross - Close: 323.7,2024-06-05
CMF2,TSHL - 2024-06-04 00:00:00 - Cross - Close: 508,2024-06-04
CORBL,NICA - 2024-06-03 00:00:00 - Cross - Close: 415.1,2024-06-03
CYCL,SHL - 2024-06-02 00:00:00 - Cross - Close: 438,2024-06-02
CZBIL,TAMOR - 2024-05-30 00:00:00 - Cross - Close: 374,2024-05-30
ADBL,PMHPL - 2024-05-30 00:00:00 - Cross - Close: 228,2024-05-30
DDBL,UNL - 2024-05-27 00:00:00 - Cross - Close: 39351,2024-05-27
