Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,349.1,23395.0,-1361.5,22033.5,162.25
SSHL,0,0.0,200.0,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,235.6,0.0,5527.2,5527.2,99.66
UNHPL,65,415.38,365.6,0.0,-3236.0,-3236.0,-11.99
DORDI,130,307.54,247.1,0.0,-7857.0,-7857.0,-19.65
PPCL,10,390.0,333.9,-8000.0,-561.0,-8561.0,-219.51
MEL,164,323.0,206.0,0.0,-19188.0,-19188.0,-36.22
HLBSL,95,1079.0,875.0,0.0,-19380.0,-19380.0,-18.91
SINDU,115,866.3,675.0,0.0,-22000.0,-22000.0,-22.08
GBLBS,60,1519.0,698.0,0.0,-49260.0,-49260.0,-54.05
SAGAR,90,2220.0,1570.0,0.0,-58500.0,-58500.0,-29.28
