Symbol,Latest_Close,52_Week_Low,52_Week_High,Distance_from_Low_%,Distance_from_High_%,Chart_URL
SMJC,468.0,464.0,735.0,0.86,-36.33,https://nepsealpha.com/nepse-chart?symbol=SMJC
GMFBS,1400.0,1385.1,1916.0,1.08,-26.93,https://nepsealpha.com/nepse-chart?symbol=GMFBS
MSHL,791.0,782.0,1030.2,1.15,-23.22,https://nepsealpha.com/nepse-chart?symbol=MSHL
VLBS,748.0,737.0,1008.0,1.49,-25.79,https://nepsealpha.com/nepse-chart?symbol=VLBS
SKBBL,765.0,752.0,999.0,1.73,-23.42,https://nepsealpha.com/nepse-chart?symbol=SKBBL
TAMOR,416.7,409.0,592.6,1.88,-29.68,https://nepsealpha.com/nepse-chart?symbol=TAMOR
MKCL,1360.0,1333.0,1900.0,2.03,-28.42,https://nepsealpha.com/nepse-chart?symbol=MKCL
USLB,1423.0,1393.0,2750.0,2.15,-48.25,https://nepsealpha.com/nepse-chart?symbol=USLB
NICL,494.1,483.0,1047.0,2.3,-52.81,https://nepsealpha.com/nepse-chart?symbol=NICL
KBSH,1656.0,1618.0,2716.0,2.35,-39.03,https://nepsealpha.com/nepse-chart?symbol=KBSH
SWBBL,735.0,718.0,1046.5,2.37,-29.77,https://nepsealpha.com/nepse-chart?symbol=SWBBL
CITY,472.0,461.0,998.4,2.39,-52.72,https://nepsealpha.com/nepse-chart?symbol=CITY
MLBSL,1858.0,1808.4,2569.0,2.74,-27.68,https://nepsealpha.com/nepse-chart?symbol=MLBSL
NUBL,668.0,650.0,854.4,2.77,-21.82,https://nepsealpha.com/nepse-chart?symbol=NUBL
RAWA,705.1,686.0,949.0,2.78,-25.7,https://nepsealpha.com/nepse-chart?symbol=RAWA
MKHC,319.4,310.7,606.0,2.8,-47.29,https://nepsealpha.com/nepse-chart?symbol=MKHC
CHCL,469.0,456.0,599.6,2.85,-21.78,https://nepsealpha.com/nepse-chart?symbol=CHCL
UNL,46300.0,45000.0,50724.0,2.89,-8.72,https://nepsealpha.com/nepse-chart?symbol=UNL
