Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microcredit,969.20,0.00,+0.96%,+3.66%,+2.24%,-1.11%,-4.51%,+6.40%,8.94,108.40,6.16,"2,03,534.78","7,17,998.03",-71.65%,"1,11,339.65","3,70,265.61",-69.93%,"8,206.54","94,418.61",-91.31%,8.94,25.72,-65.23%,157.43,156.18,+0.80%,"63,28,553.46","61,45,253.29",+2.98%,"57,50,551.33","55,71,858.96",+3.21%,"3,67,143.41","3,67,143.41",0.00%,"2,10,858.72","2,06,250.92",+2.23%
ADBL,Agriculture Development Bank,Commercial Banks,300.00,41.57 Ar,+0.67%,+0.10%,+3.45%,+3.21%,+11.71%,-5.70%,-2.19,-137.18,1.25,"54,95,815.26","2,28,22,486.83",-75.92%,"24,24,395.43","98,21,484.00",-75.32%,"5,738.89","41,54,475.79",-99.86%,-2.19,27.63,-107.91%,239.52,243.40,-1.59%,"37,73,07,473.60","36,25,02,073.70",+4.08%,"33,86,88,199.20","32,33,46,135.00",+4.74%,"1,92,87,936.30","1,92,87,936.30",0.00%,"1,93,31,338.12","1,98,68,002.41",-2.70%
AHL,Asian Hydropower Limited,Hydro Power,542.00,1.84 Ar,+0.31%,-3.88%,-8.89%,-13.78%,-28.68%,+64.94%,17.32,31.29,6.00,"51,964.86","1,36,437.40",-61.91%,"45,331.81","1,14,066.63",-60.26%,"14,721.88","-28,161.04",-152.28%,17.32,-8.28,-309.11%,90.26,86.84,+3.94%,"13,07,582.69","13,16,699.92",-0.69%,"10,00,707.54","10,21,444.47",-2.03%,"3,40,000.00","3,40,000.00",0.00%,"-33,124.85","-44,744.55",-25.97%
AHPC,Arun Valley Hydropower Development,Hydro Power,258.50,9.95 Ar,+0.58%,+0.62%,-2.10%,-2.90%,+9.33%,+115.72%,4.71,54.87,2.29,"87,502.71","2,74,746.58",-68.15%,"76,673.00","2,23,576.61",-65.71%,"45,323.28","4,48,137.55",-89.89%,4.71,11.65,-59.55%,113.05,112.25,+0.72%,"47,41,439.13","47,53,669.67",-0.26%,"3,91,146.18","4,34,428.19",-9.96%,"38,48,003.00","38,48,003.00",0.00%,"5,02,289.95","4,71,238.48",+6.59%
AKJCL,Ankhu Khola Jalvidhyut Company Ltd.,Hydro Power,202.80,4.06 Ar,+0.45%,+2.32%,+10.82%,+8.33%,+4.00%,+83.03%,5.78,35.07,2.21,"73,026.50","1,69,699.69",-56.97%,"60,968.97","1,32,583.04",-54.01%,"28,913.71","41,037.98",-29.54%,5.78,2.05,+181.82%,91.95,90.41,+1.71%,"26,15,088.29","26,17,012.03",-0.07%,"7,76,038.50","8,08,840.20",-4.06%,"20,00,000.00","20,00,000.00",0.00%,"-1,60,950.21","-1,91,828.17",-16.10%
AKPL,Arun Kabeli Power Ltd.,Hydro Power,246.00,9.58 Ar,-0.81%,-0.36%,+2.07%,+2.41%,+6.72%,+56.72%,5.96,41.31,2.43,"1,94,287.27","6,32,291.37",-69.27%,"1,82,040.45","5,51,485.16",-66.99%,"58,006.07","1,70,156.45",-65.91%,5.96,4.37,+36.36%,101.21,99.75,+1.46%,"64,37,912.54","64,16,612.73",+0.33%,"24,94,681.65","25,30,315.82",-1.41%,"38,95,942.10","38,95,942.10",0.00%,"47,288.80","-9,645.19",-590.28%
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,Microcredit,"1,165.00",8.54 Ar,-1.44%,-3.32%,+4.86%,+34.42%,+58.95%,+56.96%,12.18,95.64,6.62,"3,45,551.08","14,73,430.16",-76.55%,"1,73,802.54","7,38,844.67",-76.48%,"22,322.11","2,09,277.98",-89.33%,12.18,28.55,-57.33%,175.91,172.90,+1.74%,"1,11,68,127.09","1,11,60,015.33",+0.07%,"98,78,640.58","98,92,574.57",-0.14%,"7,33,046.28","7,33,046.28",0.00%,"5,56,440.23","5,34,394.47",+4.13%
ALICL,Asian Life Insurance,Life Insurance,473.70,23.69 Ar,-0.48%,+1.87%,+2.55%,+4.80%,-6.07%,+3.03%,12.64,37.49,3.96,"32,37,067.54","1,30,24,260.52",-75.15%,"5,24,011.03","17,17,194.13",-69.48%,"1,52,513.04","4,09,337.79",-62.74%,12.64,12.04,+4.95%,130.12,135.05,-3.65%,"5,74,60,842.10","5,62,29,793.27",+2.19%,"5,11,78,897.36","5,16,38,176.02",-0.89%,"48,27,767.56","33,99,836.31",+42.00%,"9,41,421.71","8,05,685.10",+16.85%
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microcredit,"6,020.00",4.72 Ar,-1.31%,-1.31%,-2.11%,-3.97%,+14.71%,+1636.61%,58.53,102.85,14.85,"54,844.45","2,15,071.30",-74.50%,"35,706.53","1,35,787.43",-73.70%,"11,464.43","44,711.91",-74.36%,58.53,57.07,+2.56%,405.31,384.82,+5.32%,"18,30,448.24","18,77,469.52",-2.50%,"15,12,914.23","15,75,987.22",-4.00%,"78,343.28","78,343.28",0.00%,"2,39,190.72","2,23,139.01",+7.19%
API,Api Power,Hydro Power,289.30,17.58 Ar,-0.03%,+1.19%,+6.68%,+10.40%,+15.17%,+120.48%,17.30,16.72,2.52,"5,38,459.21","16,51,212.61",-67.39%,"4,79,201.77","13,68,504.01",-64.98%,"2,62,755.15","4,27,659.23",-38.56%,17.30,7.04,+145.76%,114.74,111.07,+3.31%,"1,45,01,043.26","1,40,15,035.57",+3.47%,"75,29,330.42","72,66,368.50",+3.62%,"60,75,927.81","60,75,927.81",0.00%,"8,95,785.04","6,72,739.26",+33.15%
