Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,346.9,23395.0,-1438.5,21956.5,161.68
SSHL,0,0.0,210.9,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,247.5,0.0,6086.5,6086.5,109.75
UNHPL,65,415.38,474.8,0.0,3862.0,3862.0,14.3
DORDI,130,307.54,266.5,0.0,-5335.0,-5335.0,-13.34
PPCL,10,390.0,372.8,-8000.0,-172.0,-8172.0,-209.54
MEL,164,323.0,229.9,0.0,-15268.4,-15268.4,-28.82
HLBSL,95,1079.0,890.0,0.0,-17955.0,-17955.0,-17.52
SINDU,115,866.3,697.0,0.0,-19470.0,-19470.0,-19.54
GBLBS,60,1519.0,762.9,0.0,-45366.0,-45366.0,-49.78
SAGAR,90,2220.0,1697.0,0.0,-47070.0,-47070.0,-23.56
