Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,371.5,23395.0,-577.5,22817.5,168.02
SSHL,0,0.0,200.0,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,237.7,0.0,5625.9,5625.9,101.44
UNHPL,65,415.38,397.0,0.0,-1195.0,-1195.0,-4.43
DORDI,130,307.54,254.9,0.0,-6843.0,-6843.0,-17.12
PPCL,10,390.0,364.5,-8000.0,-255.0,-8255.0,-211.67
MEL,164,323.0,226.6,0.0,-15809.6,-15809.6,-29.85
SINDU,115,866.3,708.0,0.0,-18205.0,-18205.0,-18.27
HLBSL,95,1079.0,865.0,0.0,-20330.0,-20330.0,-19.83
GBLBS,60,1519.0,767.0,0.0,-45120.0,-45120.0,-49.51
SAGAR,90,2220.0,1593.0,0.0,-56430.0,-56430.0,-28.24
