Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52 Weeks High,52 Weeks Low,EMA_20,EMA_50,RSI,Buy_Signal,Sell_Signal,Signal
RSY,2025-08-22,9.33,9.33,9,9.11,,17320.0,10.08,8.58,9.416204926623061,9.433960360936283,27.607348323376314,False,True,Sell
SMPDA,2025-08-21,910.8,945,910.8,918.33,,7644.0,"1,278.90",826,1000.5869099744817,1003.7492405971432,19.73429529760368,False,True,Sell
SMH,2025-08-20,884.9,900,871.2,897.19,,4655.0,"1,283.00",790,879.1242435365758,878.4523061974475,54.95817748324172,True,False,Buy
NICLBSL,2025-08-20,632.2,640,625.1,626.89,,8503.0,900,602,669.7969178833437,671.2450814216191,0.0,False,True,Sell
AHL,2025-08-20,638,660,638,656.22,,3652.0,891,579.5,644.9546807115021,644.713409705259,56.500485259255726,True,False,Buy
AVYAN,2025-08-19,"1,014.00","1,040.00","1,014.00",1025.03,,2559.0,"1,306.80",832,1084.5365179160283,1086.8692596968372,25.105234384701802,False,True,Sell
NMB,2025-08-18,246,248.5,245.5,246.36,,59074.0,300,230,257.6201750204004,258.1808269791577,7.692301791085782,False,True,Sell
DOLTI,2025-08-18,585,619,580,603.56,,29384.0,"1,017.00",452.5,584.6506906577239,584.5967676880844,62.10867944155633,True,False,Buy
NBL,2025-08-18,255,258,254,255.17,,121852.0,337.5,239.2,278.47388461139934,279.19563231397683,10.483854703785,False,True,Sell
NTC,2025-08-18,849,855,849,851.52,,15830.0,"1,124.00",835,877.7782960083191,878.688380242044,11.74971796627166,False,True,Sell
ACLBSLP,2025-08-18,613,613,613,613.0,,8359.0,613,556,448.66528500234733,441.257790965082,65.44401577487818,True,False,Buy
PBLD87,2025-08-18,"1,064.00","1,070.00","1,064.00",1070.0,,885.0,"1,087.00",990,1044.5675591370423,1044.5581884991307,61.000447608671784,True,False,Buy
HDHPC,2025-08-17,203,204,200,200.34,,113219.0,267.4,184,204.096526598335,204.16465166441475,27.148043077092566,False,True,Sell
NICA,2025-08-17,358.4,358.4,340,348.64,,256794.0,564,333,377.5818915039829,378.6674520686309,22.716099436148085,False,True,Sell
STC,2025-08-17,"5,170.00","5,170.00","5,100.00",5125.24,,748.0,"7,000.00","4,905.10",5289.170887516464,5295.113241820059,4.566549238038931,False,True,Sell
MANDU,2025-08-17,878,883,868,870.08,,4414.0,"1,247.00",805.6,898.6659825894229,898.6861064539276,10.740897464237221,False,True,Sell
SMATAP,2025-08-17,593,593,593,593.0,,1000.0,593,443,470.98418497698265,466.26072264093534,62.725450901803605,True,False,Buy
GBLBS,2025-08-17,825,825,800,800.3,,12457.0,987,667.1,843.7026438492459,845.1355434427259,20.242092517352518,False,True,Sell
SMHL,2025-08-17,989,989,945,957.93,,11228.0,"1,657.00",557.1,1042.5763401117995,1047.5697591116236,14.15402466290412,False,True,Sell
LLBS,2025-08-17,"1,065.00","1,065.00","1,030.00",1030.0,,1724.0,"1,367.30",990,1121.9047918828876,1126.0372994183726,20.139128391625306,False,True,Sell
CHDC,2025-08-17,"2,678.70","2,678.70","2,595.00",2599.02,,43786.0,"2,997.90","1,538.60",2697.5993684432347,2701.2234474057873,17.291393603476337,False,True,Sell
NIMB,2025-08-17,216,216,211.5,211.63,,212474.0,295,201,222.63061711092809,223.26003584377506,17.397222114965615,False,True,Sell
GLH,2025-08-15,270,270,265.2,266.09,,32633.0,336,223.8,274.38131719369585,274.57386483019127,29.93631111546823,False,True,Sell
MNMF1,2025-08-15,9.1,9.22,9,9.19,,72911.0,10.42,8.67,9.368111018073622,9.376832167381037,28.76710897093386,False,True,Sell
JFL,2025-08-15,490,490,475.1,478.13,,14544.0,"1,083.30",400,500.1047688195043,500.26209257135497,6.660110149488588,False,True,Sell
KBL,2025-08-14,208,208,204,204.94,,297938.0,272.9,192.1,214.8490801348365,215.18499351385805,17.51884007551378,False,True,Sell
SBI,2025-08-14,405.1,407,390.3,394.34,,75653.0,549,372.2,417.60695358502613,418.231645782421,19.818626073959436,False,True,Sell
SONA,2025-08-14,452,458,452,455.21,,47209.0,608,425,467.5678965166615,468.18044195833824,19.512204676905526,False,True,Sell
SICL,2025-08-14,755,755,745,747.84,,9313.0,"1,120.00",708.7,771.6139952575104,772.7781071207567,10.15767621540411,False,True,Sell
SJLIC,2025-08-14,435.5,442,435.5,438.91,,10714.0,620,420,448.2904957062474,448.4038908145241,14.637063435667926,False,True,Sell
GMFIL,2025-08-14,497,497,481.9,483.19,,17893.0,759,436.5,502.64132948929836,503.0005623881634,9.161289440756079,False,True,Sell
MATRI,2025-08-14,"1,160.00","1,185.00","1,160.00",1170.84,,1536.0,"1,716.00","1,125.00",1198.131999544896,1198.933884076836,25.662100456621005,False,True,Sell
HBL,2025-08-13,220,221.3,217,217.55,,66853.0,312.1,210,229.81842473856523,230.45081926280105,18.799265468263982,False,True,Sell
CITY,2025-08-13,648.9,670,603.7,618.41,,75273.0,"1,139.30",589.9,877.424566176328,882.520105544725,10.88919719777283,False,True,Sell
SRLI,2025-08-13,404,408.9,404,404.47,,23780.0,654,390,413.03318242235605,413.14622925674274,14.15202056333787,False,True,Sell
RADHI,2025-08-13,776.3,776.3,760.1,764.22,,121358.0,905.6,322.2,798.4928362430767,798.6832024161247,16.754919526325594,False,True,Sell
SGHC,2025-08-13,399,403,389,397.6,,41242.0,649.5,351.9,423.79524266686246,425.10717501795824,22.686281759374367,False,True,Sell
PFL,2025-08-13,418,419.2,411,413.5,,11173.0,794.9,339.9,423.36602007818897,423.6213732434201,16.126591564778536,False,True,Sell
SPIL,2025-08-13,813.12,816,810,815.47,,8194.0,"1,062.00",778,827.1330020221458,827.2388933218588,12.04994914828309,False,True,Sell
SIFC,2025-08-13,527.9,531,517.5,521.85,,8504.0,795,481,538.2087862969759,538.4467268150113,23.410979618738693,False,True,Sell
AKJCL,2025-08-13,208.9,209,206,206.6,,83007.0,274.9,187.2,212.7681534487326,213.09378366892128,24.546286590963533,False,True,Sell
GUFL,2025-08-13,554.9,555,543,543.85,,9194.0,"1,041.00",521.5,566.0057858926882,566.0567439435906,9.420998004623783,False,True,Sell
VLUCL,2025-08-12,603,610,603,605.0,,4767.0,816,535,619.3888583247274,619.4269443951728,11.024504802020417,False,True,Sell
TRH,2025-08-12,942,965,942,957.2,,2766.0,"1,538.00",898,969.0691157766943,969.4360451659621,10.604022521923326,False,True,Sell
GCIL,2025-08-12,503,507,500,500.36,,62159.0,640,465.2,515.9882930575529,516.4593746624336,13.42400834600356,False,True,Sell
IGI,2025-08-12,530.1,548.9,530.1,535.24,,21276.0,760,510,552.7390690046245,553.0141348187082,7.983632892239626,False,True,Sell
BNT,2025-08-12,"12,500.00","12,600.00","12,405.00",12600.0,,140.0,"17,298.00","12,050.00",12660.261322206898,12661.91907709065,23.47494421476881,False,True,Sell
RFPL,2025-08-12,414.2,430.8,392.4,394.03,,214105.0,"1,484.00",376.6,610.8648696196788,620.588506915892,3.1712661390983783,False,True,Sell
HATHY,2025-08-12,"1,215.00","1,227.80","1,210.00",1214.98,,14457.0,"1,790.00","1,180.30",1258.1329542670924,1258.2387470220965,9.592972948918884,False,True,Sell
UPPER,2025-08-12,198.1,200,196.3,196.51,,194389.0,295,192,201.85831115912438,201.9013086421149,0.0,False,True,Sell
ADBLD83,2025-08-12,"1,100.00","1,120.00","1,100.00",1120.0,,300.0,"1,160.00","1,046.00",1105.561275852994,1105.4831046671306,56.55542121520306,True,False,Buy
HEI,2025-08-11,595.5,595.5,575,578.4,,12448.0,810,547.4,597.8604816204233,598.5485325690634,16.38180932519178,False,True,Sell
TAMOR,2025-08-11,512,525.9,510,510.42,,19712.0,637,439.2,521.7476245281478,522.131028692268,16.91062288012131,False,True,Sell
CHCL,2025-08-11,539.8,539.8,525.2,526.85,,49883.0,690,469.7,537.381392186509,537.6560223258722,7.7126160069447565,False,True,Sell
SALICO,2025-08-11,693,700,685.3,686.29,,12380.0,926,650,708.177587920966,708.3850254498532,23.03987519517844,False,True,Sell
SHL,2025-08-11,561,569.5,549.8,556.71,,79745.0,636.5,455,571.2848855665576,571.3467925491046,13.249220901031734,False,True,Sell
RBBD2088,2025-08-11,980,995,980,995.0,,315.0,"1,000.00",967.6,982.813264130099,982.4100088557739,68.37611593557743,True,False,Buy
CCBD88,2025-08-10,"1,135.00","1,135.00","1,135.00",1135.0,,25.0,"1,250.00","1,074.70",1168.6333114674833,1170.1680186686158,29.466866012928193,False,True,Sell
