Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,365.0,23395.0,-805.0,22590.0,166.35
SSHL,0,0.0,201.7,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,238.0,0.0,5640.0,5640.0,101.69
UNHPL,65,415.38,375.0,0.0,-2625.0,-2625.0,-9.72
DORDI,130,307.54,251.0,0.0,-7350.0,-7350.0,-18.38
PPCL,10,390.0,337.8,-8000.0,-522.0,-8522.0,-218.51
HLBSL,95,1079.0,884.9,0.0,-18439.5,-18439.5,-17.99
MEL,164,323.0,208.5,0.0,-18778.0,-18778.0,-35.45
SINDU,115,866.3,686.0,0.0,-20735.0,-20735.0,-20.81
SAGAR,90,2220.0,1700.0,0.0,-46800.0,-46800.0,-23.42
GBLBS,60,1519.0,732.2,0.0,-47208.0,-47208.0,-51.8
