Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change
NICFC,NIC Asia Flexi CAP Fund,Mutual Fund,9.16,93.43 Cr,0.00%,0.00%,+3.85%,+3.62%,+11.58%,+10.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NICGF2,NIC ASIA Growth Fund-2,Mutual Fund,9.19,83.17 Cr,+0.99%,-1.18%,+3.49%,+6.74%,+4.43%,+2.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NICL,Nepal Insurance,Non Life Insurance,496.00,12.64 Ar,+0.20%,-3.11%,-1.02%,-1.58%,-25.10%,+22.88%,0.39,1274.68,2.41,"7,10,836.97","3,24,740.98",+118.89%,"2,31,856.23","-27,604.91",-939.91%,"4,958.47","-96,378.68",-105.14%,0.39,-15.13,-102.57%,170.11,171.58,-0.86%,"75,95,497.71","93,70,394.24",-18.94%,"32,60,087.44","49,97,531.93",-34.77%,"25,48,575.01","25,48,575.01",0.00%,"4,179.65","65,873.79",-93.66%
NICLBSL,NIC ASIA Laghubitta Bittiya Sanstha Limited,Microcredit,561.90,9.77 Ar,-0.02%,-3.62%,+0.34%,+3.08%,-19.03%,-27.30%,2.16,259.74,4.59,"10,89,543.76","6,51,880.61",+67.14%,"5,51,047.36","3,70,960.77",+48.55%,"18,814.56","9,090.66",+106.97%,2.16,2.09,+3.48%,122.30,121.77,+0.44%,"2,29,00,242.32","2,27,14,084.49",+0.82%,"2,07,72,834.67","2,05,95,900.41",+0.86%,"17,39,440.00","17,39,440.00",0.00%,"3,87,967.65","3,78,744.08",+2.44%
NICSF,NIC Asia Select Fund 30,Mutual Fund,8.92,1.11 Ar,+1.13%,-3.36%,+3.48%,+7.99%,+3.40%,+9.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIFRA,Nepal Infrastructure Bank Limited,Development Bank,262.00,56.59 Ar,+0.77%,-1.69%,+0.81%,+1.05%,+0.44%,-19.41%,3.80,69.02,2.28,"12,28,133.00","6,21,865.00",+97.49%,"7,40,720.00","3,73,094.00",+98.53%,"4,09,940.00","2,08,540.00",+96.58%,3.80,3.86,-1.71%,114.75,119.97,-4.35%,"4,12,18,214.00","4,20,11,029.00",-1.89%,"1,64,32,482.00","1,60,98,429.00",+2.08%,"2,16,00,000.00","2,16,00,000.00",0.00%,"31,85,732.00","43,12,600.00",-26.13%
NIFRAGED,Nifra Green Energy Debenture 6% - 2088/89,Bond,"1,021.80",5.11 Ar,-0.70%,-1.28%,-2.69%,+1.57%,+2.08%,+2.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIL,Neco Insurance,Non Life Insurance,609.00,16.39 Ar,-0.33%,-2.35%,+3.42%,+10.38%,-12.23%,-24.60%,0.80,760.62,1.92,"10,10,385.16","5,04,353.53",+100.33%,"3,14,662.84","25,127.30","+1,152.27%","10,775.10","-83,134.65",-112.96%,0.80,-12.36,-106.48%,233.35,227.15,+2.73%,"1,22,08,852.16","1,19,73,406.11",+1.97%,"59,28,231.04","58,59,636.14",+1.17%,"26,91,532.33","26,91,532.33",0.00%,"5,87,138.04","4,87,483.46",+20.44%
NIMB,Nepal Investment Bank,Commercial Banks,190.00,64.84 Ar,-0.52%,-1.20%,-1.04%,-1.81%,-9.61%,-49.81%,9.45,20.10,0.98,"1,61,38,515.00","83,40,324.00",+93.50%,"64,20,320.00","32,43,125.00",+97.97%,"16,13,034.00","45,050.00","+3,480.54%",9.45,0.53,"+1,690.28%",194.77,195.89,-0.58%,"60,74,17,874.00","58,37,58,594.00",+4.05%,"54,09,47,224.00","51,69,03,383.00",+4.65%,"3,41,28,595.00","3,41,28,595.00",0.00%,"3,23,42,056.00","3,27,26,615.00",-1.18%
NIMBPO,Nepal Investment Mega Bank Promoter,Commercial Banks,153.90,28.18 Ar,-0.71%,-0.71%,-3.21%,-1.35%,-0.06%,-52.21%,9.45,16.28,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
