Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change
PHCL,Peoples Hydropower Company Limited,Hydro Power,314.00,10.05 Ar,+5.02%,+8.39%,+23.38%,-13.02%,-51.01%,+16.30%,0.16,1977.52,3.13,"5,71,221.57","3,18,185.72",+79.52%,"3,61,118.54","2,02,216.01",+78.58%,"2,540.56","6,563.61",-61.29%,0.16,0.82,-80.65%,100.19,92.33,+8.52%,"1,15,31,899.30","1,13,27,300.19",+1.81%,"83,25,724.45","83,72,784.30",-0.56%,"32,00,000.00","32,00,000.00",0.00%,"6,174.85","-2,45,484.10",-102.52%
PMHPL,Panchakanya Mai Hydropower,Hydro Power,363.30,4.00 Ar,+4.70%,+3.80%,+16.59%,+13.50%,+7.17%,+154.06%,15.26,23.80,4.28,"2,29,581.22","1,18,568.11",+93.63%,"2,01,520.77","98,959.43",+103.64%,"83,956.08","36,683.00",+128.87%,15.26,13.34,+14.43%,84.95,80.61,+5.39%,"25,55,451.74","26,03,614.35",-1.85%,"16,20,973.76","17,16,907.15",-5.59%,"11,00,000.00","11,00,000.00",0.00%,"-1,65,522.02","-2,13,292.80",-22.40%
PMLI,Prabhu Mahalaxmi Life Insurance Limited,Life Insurance,493.00,25.16 Ar,-0.40%,-3.33%,+1.44%,+7.31%,-1.75%,-21.33%,5.02,98.26,4.74,"34,02,147.70","17,27,094.05",+96.99%,"5,20,587.44","2,80,386.38",+85.67%,"1,33,159.60","63,774.91",+108.80%,5.02,5.00,+0.38%,113.02,116.56,-3.03%,"2,28,65,562.17","2,17,84,981.93",+4.96%,"1,68,66,456.56","1,58,36,145.76",+6.51%,"53,07,793.92","51,03,648.00",+4.00%,"2,18,053.33","5,84,764.43",-62.71%
PPCL,Panchthar Power Company Ltd.,Hydro Power,382.00,3.68 Ar,+1.33%,-1.04%,+11.01%,+20.13%,+17.54%,+51.19%,18.80,20.32,3.85,"2,39,491.71","1,45,239.76",+64.89%,"2,27,603.70","1,35,236.78",+68.30%,"90,491.04","51,535.76",+75.59%,18.80,21.42,-12.21%,99.20,96.03,+3.31%,"29,13,979.58","29,50,620.87",-1.24%,"19,59,143.77","20,26,345.26",-3.32%,"9,62,500.00","9,62,500.00",0.00%,"-7,664.19","-38,224.40",-79.95%
PPL,Peoples Power Limited,Hydro Power,392.50,3.72 Ar,+3.02%,-0.63%,+21.63%,+9.73%,-11.53%,+92.59%,5.31,73.87,3.70,"31,751.00","96,335.00",-67.04%,"27,815.00","73,950.00",-62.39%,"12,604.00","3,319.00",+279.75%,5.31,0.52,+912.67%,106.21,97.31,+9.14%,"10,09,940.00","9,21,712.00",+9.57%,"2,129.00","3,06,986.00",-99.31%,"9,48,900.00","6,32,600.00",+50.00%,"58,913.00","-17,000.00",-446.55%
PRIN,Prabhu Insurance,Non Life Insurance,723.00,12.30 Ar,+0.06%,-2.14%,+2.63%,+10.38%,-14.81%,+23.73%,14.40,50.21,2.32,"4,87,663.45","2,43,892.89",+99.95%,"3,39,011.48","1,82,063.78",+86.20%,"1,22,459.87","63,139.75",+93.95%,14.40,14.85,-3.03%,203.11,202.27,+0.41%,"76,58,997.30","76,10,268.80",+0.64%,"42,04,245.71","41,69,754.25",+0.83%,"17,00,955.92","17,00,955.92",0.00%,"1,99,493.81","2,49,233.74",-19.96%
PROFL,Progressive Finance,Finance,458.10,3.92 Ar,-0.26%,-2.55%,+2.46%,0.00%,-20.33%,+206.67%,-6.90,-66.41,6.20,"2,69,721.13","1,42,227.91",+89.64%,"91,774.29","50,840.75",+80.51%,"-29,251.96","-39,080.60",-25.15%,-6.90,-18.43,-62.57%,73.93,73.60,+0.45%,"84,66,934.64","81,83,016.60",+3.47%,"78,39,943.12","75,58,850.85",+3.72%,"8,48,106.00","8,48,106.00",0.00%,"-2,21,114.48","-2,23,940.24",-1.26%
PRSF,Prabhu Smart Fund,Mutual Fund,11.27,1.13 Ar,+0.09%,-0.09%,+2.45%,+10.49%,+19.57%,+35.39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRVU,Prabhu Bank,Commercial Banks,182.90,43.06 Ar,-0.05%,-2.19%,-0.60%,-3.18%,-15.71%,-53.54%,8.62,21.22,1.25,"1,17,26,578.00","64,59,930.00",+81.53%,"49,84,000.00","28,95,276.00",+72.14%,"10,14,457.00","5,58,483.00",+81.65%,8.62,9.49,-9.18%,146.17,163.55,-10.63%,"41,05,77,088.00","41,92,53,360.00",-2.07%,"37,61,64,044.00","38,07,48,729.00",-1.20%,"2,35,42,490.00","2,35,42,490.00",0.00%,"1,08,70,554.00","1,49,62,140.00",-27.35%
PSF,Prabhu Select Fund,Mutual Fund,11.30,1.41 Ar,+1.80%,+0.53%,+1.80%,+11.88%,+22.85%,+42.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURE,Pure Energy Limited,Hydro Power,978.00,7.82 Ar,-2.10%,-10.85%,-8.85%,+23.17%,+207.35%,+207.35%,2.31,423.89,9.62,"1,16,113.83","65,515.19",+77.23%,"1,08,727.62","61,813.91",+75.90%,"9,228.92","9,005.48",+2.48%,2.31,4.50,-48.76%,101.63,101.61,+0.03%,"22,91,671.21","23,22,223.39",-1.32%,"14,78,604.39","15,09,380.01",-2.04%,"8,00,000.00","8,00,000.00",0.00%,"13,066.82","12,843.38",+1.74%
RADHI,Radhi Bidhyut Company,Hydro Power,845.00,15.54 Ar,-0.35%,-3.43%,+7.23%,+13.42%,+110.20%,+510.11%,32.46,26.03,4.94,"77,755.84","40,630.44",+91.37%,"59,459.10","32,639.70",+82.17%,"2,98,454.02","2,78,513.41",+7.16%,32.46,60.58,-46.42%,171.02,153.03,+11.76%,"37,45,580.24","33,25,637.57",+12.63%,"6,00,467.31","5,11,519.85",+17.39%,"18,38,979.32","18,38,979.32",0.00%,"13,06,133.62","9,75,138.41",+33.94%
RAWA,Rawa Energy Development Limited,Hydro Power,725.10,2.03 Ar,-1.99%,-6.20%,+2.14%,+2.13%,-13.68%,+164.44%,19.15,37.87,9.07,"30,911.35","96,754.90",-68.05%,"27,340.63","83,808.10",-67.38%,"13,402.18","18,277.34",-26.67%,19.15,6.53,+193.31%,79.95,75.35,+6.09%,"6,57,541.01","6,62,558.55",-0.76%,"4,33,695.00","4,51,570.28",-3.96%,"2,80,000.00","2,80,000.00",0.00%,"-56,153.99","-69,011.73",-18.63%
RBBD2088,7% RBBL Debenture 2088,Bond,"1,051.00",0.00,-0.03%,+0.10%,-2.23%,-1.31%,+7.02%,+7.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBBD83,8.5% RBBL Debenture 2083,Bond,"1,050.00",0.00,0.00%,0.00%,-0.94%,-0.94%,+2.84%,+10.53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBBF40,RBB Focus 40,Mutual Fund,9.38,0.00,-2.39%,-3.79%,-0.53%,-0.53%,-0.53%,-0.53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBCL,Rastriya Beema,Non Life Insurance,"15,200.00",40.53 Ar,+1.23%,+1.95%,+2.98%,+3.40%,+4.83%,-7.09%,132.96,114.32,5.57,"5,43,632.70","1,72,614.66",+214.94%,"3,37,431.83","-15,198.56","-2,320.16%","1,77,263.19","-99,509.83",-278.14%,132.96,-149.28,-189.07%,"6,461.26","6,401.84",+0.93%,"2,52,83,629.19","2,47,84,138.49",+2.02%,"80,55,376.38","77,14,323.17",+4.42%,"2,66,639.06","2,66,639.06",0.00%,"25,53,336.06","23,75,830.43",+7.47%
RBCLPO,Rastriya Beema Promoter,Non Life Insurance,"12,000.00",21.32 Ar,0.00%,+0.37%,+1.61%,+2.41%,+8.11%,-22.40%,132.96,90.25,4.40,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFPL,River Falls Power Limited,Hydro Power,410.00,2.87 Ar,+2.76%,-2.61%,+11.72%,+18.12%,-18.16%,+110.15%,4.62,88.68,3.43,"1,62,840.23","1,00,681.18",+61.74%,"1,53,289.90","96,041.84",+59.61%,"32,363.99","31,419.24",+3.01%,4.62,17.95,-74.25%,119.39,105.01,+13.69%,"28,91,429.09","26,89,182.58",+7.52%,"12,20,004.21","19,54,099.31",-37.57%,"14,00,000.00","7,00,000.00",+100.00%,"2,71,424.88","35,083.26",+673.66%
RHGCL,Rapti Hydro And General Construction Limited,Hydro Power,289.00,3.54 Ar,+2.45%,+0.35%,+18.44%,+17.96%,-27.11%,+36.93%,0.02,16675.21,3.02,"57,076.15","17,380.01",+228.40%,"47,383.59","12,327.30",+284.38%,106.20,"-12,776.55",-100.83%,0.02,-4.17,-100.42%,95.75,94.71,+1.10%,"17,97,708.73","17,86,063.20",+0.65%,"6,19,077.44","6,20,153.47",-0.17%,"12,25,587.60","12,25,587.60",0.00%,"-52,045.16","-64,817.60",-19.71%
RHPL,Rasuwagadhi Hydropower Company Limited,Hydro Power,308.20,21.09 Ar,+9.88%,+8.14%,+4.83%,+15.86%,-30.74%,-14.86%,-31.61,-9.75,4.26,"2,54,245.00",0.00,0.00%,"1,22,043.00","-42,550.00",-386.82%,"-10,81,475.00","-6,53,354.00",+65.53%,-31.61,-38.20,-17.24%,72.34,77.52,-6.69%,"2,34,50,194.00","2,33,40,865.00",+0.47%,"1,85,00,734.00","1,80,36,761.00",+2.57%,"68,42,100.00","68,42,100.00",0.00%,"-18,92,642.00","-15,37,997.00",+23.06%
RIDI,Ridi Power Company Limited,Hydro Power,322.89,7.50 Ar,-3.47%,+22.50%,+46.11%,+46.11%,+39.12%,+186.20%,1.02,316.43,3.22,"1,19,157.55","3,55,753.16",-66.51%,"1,07,402.83","2,55,771.04",-58.01%,"5,927.14","1,06,811.46",-94.45%,1.02,4.60,-77.80%,100.26,98.63,+1.66%,"38,80,390.76","38,64,723.71",+0.41%,"15,50,971.76","15,73,277.81",-1.42%,"23,23,351.80","23,23,351.80",0.00%,"6,067.20","-31,905.90",-119.02%
RLFL,Reliance Finance,Finance,461.10,5.17 Ar,+3.15%,+0.68%,+8.93%,+7.99%,-16.16%,+166.60%,0.31,1500.58,4.12,"3,69,943.00","1,91,756.00",+92.92%,"1,20,514.00","65,362.00",+84.38%,"1,723.00","-1,64,827.00",-101.05%,0.31,-58.79,-100.52%,112.03,97.21,+15.25%,"1,09,03,359.00","1,01,70,906.00",+7.20%,"96,47,038.00","90,80,789.00",+6.24%,"11,21,452.00","11,21,452.00",0.00%,"1,34,869.00","-31,333.00",-530.44%
RMF1,RBB Mutual Fund 1,Mutual Fund,9.60,1.20 Ar,-0.52%,+3.56%,+3.00%,+5.03%,+30.46%,+16.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMF2,RBB Mutual Fund 2,Mutual Fund,10.18,86.13 Cr,+2.83%,+2.83%,+8.88%,+13.24%,+28.61%,+26.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNLI,Reliable Nepal Life Insurance Limited,Life Insurance,455.00,23.65 Ar,+0.44%,-2.59%,-1.94%,+1.41%,-6.92%,+22.76%,15.24,29.86,4.07,"37,42,204.63","17,95,685.98",+108.40%,"9,76,508.62","5,38,597.58",+81.31%,"3,95,878.90","2,58,502.17",+53.14%,15.24,19.90,-23.43%,144.97,154.29,-6.04%,"2,34,70,420.01","2,28,03,422.20",+2.92%,"1,59,36,719.44","1,47,85,036.01",+7.79%,"51,96,800.00","51,96,800.00",0.00%,"6,16,682.14","11,16,652.16",-44.77%
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,Microcredit,654.10,6.76 Ar,-0.29%,-2.45%,+3.01%,+7.94%,-9.25%,+14.99%,14.83,44.11,5.23,"2,38,667.38","1,16,802.01",+104.33%,"1,07,624.89","44,832.09",+140.06%,"76,672.48","21,107.90",+263.24%,14.83,8.17,+81.62%,125.15,128.04,-2.26%,"64,00,793.08","66,08,066.19",-3.14%,"51,06,704.85","52,84,040.46",-3.36%,"10,34,064.42","10,34,064.42",0.00%,"2,60,023.81","2,89,961.31",-10.32%
RSY,Reliable Samriddhi Yojana,Mutual Fund,9.77,1.17 Ar,-0.31%,0.00%,+3.49%,+9.64%,+7.83%,+7.83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RURU,Ru Ru Jalbidhyut Pariyojana Limited,Hydro Power,657.00,3.73 Ar,-1.20%,-2.10%,+0.15%,-3.49%,-2.87%,+170.47%,18.59,35.34,4.52,"91,138.83","53,319.58",+70.93%,"68,095.54","41,056.76",+65.86%,"52,731.28","32,937.39",+60.10%,18.59,23.22,-19.95%,145.43,143.28,+1.50%,"9,95,968.23","9,82,363.95",+1.38%,"1,70,925.38","1,69,484.23",+0.85%,"5,67,322.20","5,67,322.20",0.00%,"2,57,720.64","2,45,557.52",+4.95%
SADBL,Shangrila Development Bank,Development Bank,418.00,14.87 Ar,+1.21%,+0.48%,+3.77%,+13.07%,+7.16%,+183.78%,16.21,25.79,2.73,"23,36,904.13","12,16,810.90",+92.05%,"10,88,072.45","5,49,116.65",+98.15%,"3,02,597.84","88,211.29",+243.04%,16.21,9.92,+63.35%,153.24,157.82,-2.90%,"6,34,03,926.81","6,25,62,404.41",+1.35%,"5,76,81,869.33","5,69,50,099.10",+1.28%,"37,34,068.51","35,56,255.72",+5.00%,"19,87,988.98","20,56,049.59",-3.31%
SAGAR,Sagar Distillery Limited,Manufacturing And Processing,"1,965.00",14.27 Ar,-2.43%,-9.03%,-1.80%,+320.23%,+459.19%,+459.19%,-7.21,-272.69,15.31,"64,406.52","30,392.34",+111.92%,"39,031.05","20,116.19",+94.03%,"-26,158.10","-15,323.92",+70.70%,-7.21,-8.44,-14.65%,128.34,130.12,-1.37%,"14,86,338.15","13,75,368.72",+8.07%,"5,55,162.52","4,30,686.28",+28.90%,"7,26,000.00","7,26,000.00",0.00%,"2,05,774.14","2,18,682.45",-5.90%
SAGF,Sanima Growth Fund,Mutual Fund,9.86,66.38 Cr,0.00%,+0.20%,+0.61%,+9.67%,+20.30%,+23.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAHAS,Sahas Urja Limited,Hydro Power,559.00,21.13 Ar,+0.56%,-0.71%,+2.01%,+2.00%,+34.32%,+64.27%,39.57,14.13,3.27,"17,04,918.32","9,24,636.99",+84.39%,"15,97,191.36","8,60,699.77",+85.57%,"9,04,828.36","4,94,899.98",+82.83%,39.57,52.37,-24.45%,170.72,196.89,-13.29%,"1,88,43,694.38","1,79,86,815.62",+4.76%,"1,10,35,252.53","1,05,44,465.59",+4.65%,"45,73,800.00","37,80,000.00",+21.00%,"32,34,641.86","36,62,350.03",-11.68%
SAIL,Shreenagar Agritech Industries Limited,Manufacturing And Processing,"1,403.00",22.89 Ar,+6.29%,-6.43%,+25.91%,+322.85%,+322.85%,+322.85%,1.92,730.91,12.68,"8,82,405.93","4,25,449.88",+107.41%,"1,18,486.43","70,207.63",+68.77%,"15,656.10","9,273.97",+68.82%,1.92,2.84,-32.47%,110.63,118.62,-6.73%,"29,11,685.45","28,55,414.71",+1.97%,"11,07,023.32","13,07,448.90",-15.33%,"16,31,250.00","13,05,000.00",+25.00%,"1,73,412.13","2,42,965.81",-28.63%
SALICO,Sagarmatha Lumbini Insurance Co. Limited,Non Life Insurance,593.29,15.56 Ar,-1.12%,-2.08%,-0.62%,+3.21%,-13.22%,-37.92%,2.85,208.33,1.45,"15,97,118.19","8,33,719.96",+91.57%,"4,20,271.38","-80,519.30",-621.95%,"37,344.99","-2,67,372.22",-113.97%,2.85,-40.78,-106.98%,227.43,229.48,-0.89%,"1,55,19,963.56","1,76,64,280.37",-12.14%,"95,55,184.48","1,16,45,766.59",-17.95%,"26,22,638.20","26,22,638.20",0.00%,"1,02,948.09","1,74,304.30",-40.94%
SANIMA,Sanima Bank,Commercial Banks,331.90,45.08 Ar,+1.81%,-0.33%,-1.22%,+10.27%,+16.93%,+35.82%,20.48,16.20,1.93,"84,66,396.97","43,32,202.82",+95.43%,"34,28,085.66","16,88,524.47",+103.02%,"13,91,075.72","4,54,918.15",+205.79%,20.48,13.40,+52.89%,172.39,172.71,-0.19%,"27,03,83,013.50","26,65,21,035.00",+1.45%,"24,69,69,630.90","24,30,64,250.70",+1.61%,"1,35,81,525.41","1,35,81,525.41",0.00%,"98,31,857.17","98,75,258.91",-0.44%
SANVI,Sanvi Energy Limited,Hydro Power,835.00,7.35 Ar,+1.75%,-5.65%,+0.60%,+43.97%,+111.45%,+111.45%,17.33,48.19,7.06,"1,10,746.43","2,31,084.79",-52.08%,"1,08,513.90","2,11,546.86",-48.70%,"38,123.09","27,642.73",+37.91%,17.33,3.14,+451.65%,118.29,113.96,+3.80%,"27,58,646.47","27,44,269.64",+0.52%,"17,17,716.18","17,41,462.45",-1.36%,"8,80,000.00","8,80,000.00",0.00%,"1,60,930.28","1,22,807.19",+31.04%
SAPDBL,Saptakoshi Development Bank Ltd,Development Bank,828.00,6.91 Ar,+1.78%,-4.83%,-0.22%,+4.68%,-37.18%,+381.40%,6.43,128.79,10.90,"2,62,911.09","1,43,466.19",+83.26%,"1,07,951.80","65,004.56",+66.07%,"26,820.02","-1,215.05","-2,307.32%",6.43,-0.58,"-1,203.71%",75.96,72.27,+5.11%,"88,28,426.25","83,78,316.62",+5.37%,"81,94,645.80","77,75,331.12",+5.39%,"8,34,338.43","8,34,338.43",0.00%,"-2,00,557.98","-2,31,352.93",-13.31%
SARBTM,Sarbottam Cement Limited,Manufacturing And Processing,868.00,43.19 Ar,+0.74%,-1.25%,-1.36%,+2.93%,+16.36%,+65.58%,20.61,42.12,4.59,"42,02,371.91","20,30,252.28",+106.99%,"11,63,801.08","6,67,136.10",+74.45%,"5,38,350.04","3,24,280.82",+66.01%,20.61,26.07,-20.95%,188.92,208.11,-9.22%,"1,56,43,196.10","1,53,71,900.83",+1.76%,"57,73,481.86","50,17,414.23",+15.07%,"52,24,275.00","49,75,500.00",+5.00%,"46,45,539.24","53,78,986.60",-13.64%
SBCF,Sunrise Bluechip Fund,Mutual Fund,9.40,1.18 Ar,-1.05%,-0.21%,+2.29%,+4.91%,+20.42%,+8.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBI,Nepal Sbi Bank,Commercial Banks,401.50,43.76 Ar,+1.39%,-1.35%,-0.54%,+8.09%,+2.83%,+20.59%,18.93,21.22,2.08,"72,70,138.05","37,44,074.16",+94.18%,"25,61,023.13","13,18,658.75",+94.21%,"10,31,342.92","5,01,565.20",+105.62%,18.93,18.41,+2.81%,193.10,193.16,-0.03%,"25,48,42,602.40","24,80,06,474.20",+2.76%,"23,37,96,225.20","22,69,53,637.40",+3.01%,"1,08,99,158.07","1,08,99,158.07",0.00%,"1,01,47,219.08","1,01,53,678.80",-0.06%
SBIBD86,10% Nepal SBI Bank Debenture 2086,Bond,"1,127.00",0.00,+0.18%,+0.18%,-3.43%,-2.84%,+4.64%,+8.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBID83,10.25% Nepal SBI Bank Debenture 2083,Bond,"1,065.00",2.56 Ar,-0.75%,+0.75%,-3.20%,-6.58%,-0.47%,+6.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBID89,9% Nepal SBI Bank Rinpatra 2089,Bond,"1,150.00",0.00,+0.17%,-1.71%,-2.29%,-1.27%,+4.55%,+15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBL,Siddhartha Bank,Commercial Banks,371.50,52.34 Ar,-0.40%,-3.46%,-4.89%,+12.99%,+42.33%,+34.99%,17.93,20.71,1.76,"1,04,31,270.07","53,34,961.22",+95.53%,"43,28,012.21","21,62,568.55",+100.13%,"13,26,653.25","3,24,091.37",+309.35%,17.93,9.20,+94.93%,211.23,218.05,-3.13%,"34,92,73,419.80","33,19,25,760.94",+5.23%,"31,80,23,533.00","30,12,02,303.62",+5.58%,"1,47,94,479.20","1,40,89,980.19",+5.00%,"1,64,55,407.57","1,66,33,477.13",-1.07%
SBLD2091,7.25% SBL Debenture 2091,Bond,"1,073.09",0.00,0.00%,-1.82%,-4.53%,-0.64%,+5.52%,+5.52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCB,Standard Chartered Bank,Commercial Banks,637.60,64.03 Ar,-0.37%,-0.36%,+0.25%,+2.63%,-1.83%,+36.77%,27.35,23.31,3.02,"37,27,076.00","19,77,443.00",+88.48%,"19,74,216.00","10,72,450.00",+84.08%,"13,73,324.00","6,92,168.00",+98.41%,27.35,27.57,-0.80%,210.97,222.71,-5.27%,"16,83,55,336.00","16,17,06,155.00",+4.11%,"14,71,69,066.00","13,93,40,816.00",+5.62%,"1,00,42,368.00","1,00,42,368.00",0.00%,"1,11,43,901.00","1,23,22,971.00",-9.57%
SDBD87,Shangri-la Development Bank Debenture 2087,Bond,"1,133.20",0.00,+2.00%,0.00%,-4.37%,+0.63%,+6.91%,+18.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEF,Siddhartha Equity Fund,Mutual Fund,9.78,1.47 Ar,0.00%,+2.62%,+0.72%,+5.84%,+20.25%,+41.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFCL,Samriddhi Finance Company Limited,Finance,380.10,3.11 Ar,-0.24%,-3.41%,+2.18%,-4.74%,-36.33%,+152.28%,0.29,1330.66,6.34,"1,24,423.48","58,312.58",+113.37%,"35,941.15","13,333.30",+169.56%,"1,169.60","-21,720.52",-105.38%,0.29,-10.61,-102.69%,59.96,59.46,+0.84%,"35,95,627.75","35,64,883.37",+0.86%,"31,04,603.28","30,77,970.88",+0.87%,"8,18,911.40","8,18,911.40",0.00%,"-3,27,886.93","-3,31,998.92",-1.24%
SFEF,Sunrise Focused Equity Fund,Mutual Fund,9.80,98.00 Cr,-1.41%,-0.81%,+2.73%,+8.17%,+21.46%,+15.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFMF,Sunrise First Mutual Fund,Mutual Fund,10.23,87.98 Cr,+0.20%,+0.49%,-0.20%,+3.33%,+15.45%,+89.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGHC,Swet-Ganga Hydropower & Construction Limited,Hydro Power,410.00,6.53 Ar,-0.24%,-1.20%,+10.84%,+23.12%,-33.37%,+38.56%,20.00,20.50,4.97,"5,05,741.08","2,75,156.30",+83.80%,"4,65,678.64","2,55,116.84",+82.54%,"1,59,262.37","97,264.19",+63.74%,20.00,24.42,-18.13%,82.53,78.63,+4.95%,"62,58,478.08","62,54,442.54",+0.06%,"49,43,831.93","50,01,795.57",-1.16%,"15,93,000.00","15,93,000.00",0.00%,"-2,78,353.85","-3,40,353.03",-18.22%
SGIC,Sanima GIC Insurance Limited,Non Life Insurance,473.90,10.19 Ar,-0.23%,-2.33%,-0.90%,+2.58%,-26.12%,-27.49%,-8.92,-53.12,1.24,"5,05,252.48","2,13,919.81",+136.19%,"1,35,477.18","-77,604.20",-274.57%,"-95,905.31","-2,00,203.63",-52.10%,-8.92,-37.25,-76.05%,145.61,140.53,+3.61%,"98,07,913.28","94,73,666.05",+3.53%,"66,77,242.75","64,52,181.55",+3.49%,"21,50,000.00","21,50,000.00",0.00%,"84,813.12","-19,480.33",-535.38%
SHEL,Singati Hydro Energy Limited,Hydro Power,317.00,9.19 Ar,-3.35%,+6.88%,+15.23%,+16.79%,+32.08%,+54.81%,13.58,23.34,2.75,"4,54,402.50","2,58,675.83",+75.66%,"4,44,900.21","2,53,088.07",+75.79%,"1,96,925.16","1,12,228.07",+75.47%,13.58,15.48,-12.27%,115.30,112.38,+2.60%,"64,94,563.63","64,52,826.72",+0.65%,"31,50,937.41","31,93,897.58",-1.35%,"29,00,000.00","29,00,000.00",0.00%,"4,43,626.22","3,58,929.14",+23.60%
SHINE,Shine Resunga Development Bank,Development Bank,408.00,19.89 Ar,+2.33%,+1.24%,+0.77%,+6.74%,-3.14%,+128.07%,16.10,25.34,2.78,"29,43,311.95","15,11,270.54",+94.76%,"12,84,087.14","6,45,201.50",+99.02%,"4,04,280.52","2,03,041.91",+99.11%,16.10,16.66,-3.34%,146.60,154.64,-5.20%,"8,25,53,185.04","8,15,63,744.81",+1.21%,"7,51,90,729.17","7,40,23,846.45",+1.58%,"50,21,972.73","48,75,701.68",+3.00%,"23,40,483.14","26,64,196.68",-12.15%
SHINED,Shine Resunga Debenture,Bond,"1,143.40",0.00,+3.95%,+2.09%,-2.69%,+1.99%,+3.95%,+3.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIVM,Shivam Cements Ltd,Manufacturing And Processing,612.00,33.40 Ar,+0.49%,-0.50%,-1.42%,+6.20%,+21.43%,-46.52%,15.37,39.82,3.18,"16,36,966.51","79,03,696.95",-79.29%,"4,30,229.31","18,68,779.14",-76.98%,"2,09,668.87","7,94,108.00",-73.60%,15.37,14.55,+5.61%,192.18,188.57,+1.92%,"1,29,20,369.76","1,25,98,276.93",+2.56%,"24,33,348.44","23,08,478.09",+5.41%,"54,56,808.50","54,56,808.50",0.00%,"50,30,212.81","48,32,990.34",+4.08%
SHL,Soaltee Hotel,Hotels,491.50,50.22 Ar,-1.11%,-2.38%,-0.30%,+4.70%,+14.77%,+237.00%,6.80,72.25,17.09,"14,59,710.95","6,27,940.74",+132.46%,"5,08,432.75","1,89,411.69",+168.43%,"3,47,568.70","1,23,586.03",+181.24%,6.80,4.84,+40.62%,28.75,28.30,+1.60%,"38,13,141.81","36,91,042.92",+3.31%,"8,74,957.37","7,99,073.84",+9.50%,"10,21,862.69","10,21,862.69",0.00%,"19,16,321.75","18,70,106.39",+2.47%
SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microcredit,"1,586.20",1.73 Ar,-1.53%,-3.76%,+0.78%,-12.56%,-38.77%,+59.16%,-36.73,-43.19,6.61,"1,77,475.35","88,708.40",+100.07%,"86,818.77","42,241.13",+105.53%,"-20,084.45","-19,345.52",+3.82%,-36.73,-70.75,-48.09%,240.02,240.27,-0.10%,"29,99,723.30","29,10,018.61",+3.08%,"27,37,200.25","26,47,220.83",+3.40%,"1,09,375.00","1,09,375.00",0.00%,"1,53,148.05","1,53,422.78",-0.18%
SHPC,Sanima Mai Hydropower,Hydro Power,552.90,20.67 Ar,+1.45%,+2.09%,+4.97%,+10.82%,+11.02%,+115.99%,6.72,82.26,3.27,"2,20,207.50","2,20,207.50",0.00%,"1,72,571.30","1,97,012.49",-12.41%,"1,25,618.75","1,64,791.21",-23.77%,6.72,17.63,-61.89%,169.00,170.60,-0.94%,"72,45,388.42","73,70,626.71",-1.70%,"9,28,270.77","9,93,541.80",-6.57%,"37,37,993.71","37,37,993.71",0.00%,"25,79,123.94","26,39,091.20",-2.27%
