Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,422.9,23395.0,1221.5,24616.5,181.27
SSHL,0,0.0,222.5,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,262.1,0.0,6772.7,6772.7,122.12
UNHPL,65,415.38,439.0,0.0,1535.0,1535.0,5.69
DORDI,130,307.54,283.0,0.0,-3190.0,-3190.0,-7.98
PPCL,10,390.0,384.4,-8000.0,-56.0,-8056.0,-206.56
MEL,164,323.0,242.0,0.0,-13284.0,-13284.0,-25.08
SINDU,115,866.3,739.0,0.0,-14640.0,-14640.0,-14.7
HLBSL,95,1079.0,887.0,0.0,-18240.0,-18240.0,-17.79
GBLBS,60,1519.0,780.9,0.0,-44286.0,-44286.0,-48.59
SAGAR,90,2220.0,1720.1,0.0,-44991.0,-44991.0,-22.52
