Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,365.9,23395.0,-773.5,22621.5,166.58
SSHL,0,0.0,214.0,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,253.0,0.0,6345.0,6345.0,114.41
UNHPL,65,415.38,473.0,0.0,3745.0,3745.0,13.87
DORDI,130,307.54,269.2,0.0,-4984.0,-4984.0,-12.47
PPCL,10,390.0,380.0,-8000.0,-100.0,-8100.0,-207.69
MEL,164,323.0,236.3,0.0,-14218.8,-14218.8,-26.84
HLBSL,95,1079.0,899.8,0.0,-17024.0,-17024.0,-16.61
SINDU,115,866.3,705.0,0.0,-18550.0,-18550.0,-18.62
SAGAR,90,2220.0,1729.0,0.0,-44190.0,-44190.0,-22.12
GBLBS,60,1519.0,771.0,0.0,-44880.0,-44880.0,-49.24
