Symbol,Latest_Close,52_Week_Low,Distance_from_Low_%,Date_at_52W_Low
EDBLPO,324.0,408.0,-20.59,N/A
MDBPO,318.0,359.0,-11.42,N/A
GUFLPO,298.0,331.0,-9.97,N/A
ACLBSLP,512.0,556.0,-7.91,N/A
SMATAP,421.0,441.0,-4.54,N/A
HATHY,618.9,646.0,-4.2,N/A
SBLD83,1006.2,1038.0,-3.06,N/A
HBLPO,111.6,115.0,-2.96,N/A
BGWT,500.0,514.1,-2.74,N/A
VLUCL,397.0,405.2,-2.02,N/A
MLBS,1080.0,1100.0,-1.82,N/A
KBLD86,1080.0,1096.3,-1.49,N/A
LBLD86,1083.0,1098.0,-1.37,N/A
NIMBPO,137.1,139.0,-1.37,N/A
SCBD,1070.0,1080.0,-0.93,N/A
MLBBL,1036.0,1045.0,-0.86,N/A
SLBSL,918.0,925.0,-0.76,N/A
UNHPL,365.6,368.0,-0.65,N/A
MKCL,985.0,991.0,-0.61,N/A
SMATA,710.0,713.5,-0.49,N/A
IHL,328.0,329.0,-0.3,N/A
NBLD82,1020.5,1023.1,-0.25,N/A
GLBSL,1701.0,1705.2,-0.25,N/A
MAKAR,407.1,408.0,-0.22,N/A
MLBSLP,100.0,100.0,0.0,N/A
KBLPO,100.0,100.0,0.0,N/A
GBLBS,698.0,698.0,0.0,N/A
JBBLPO,181.4,181.4,0.0,N/A
LBBLPO,261.0,261.0,0.0,N/A
GBIMEP,100.0,100.0,0.0,N/A
MLBSP,698.0,698.0,0.0,N/A
MNBBLP,236.2,236.2,0.0,N/A
PMLIP,255.0,255.0,0.0,N/A
NMLBBLP,334.0,334.0,0.0,N/A
NABILP,301.1,301.1,0.0,N/A
NMFBSP,610.0,610.0,0.0,N/A
NLICP,413.0,413.0,0.0,N/A
NLICLP,321.0,321.0,0.0,N/A
NICAP,179.0,179.0,0.0,N/A
MATRIP,523.5,523.5,0.0,N/A
RBCL,14000.0,14000.0,0.0,N/A
KMCDBP,587.0,587.0,0.0,N/A
FOWADP,550.0,550.0,0.0,N/A
BFCPO,250.0,250.0,0.0,N/A
CORBLP,100.0,100.0,0.0,N/A
CYCLP,831.0,831.0,0.0,N/A
ALICLP,252.0,252.0,0.0,N/A
CZBILP,100.0,100.0,0.0,N/A
UAILPO,251.0,251.0,0.0,N/A
RLFLPO,268.6,268.6,0.0,N/A
SLBBLP,443.0,443.0,0.0,N/A
SFCLP,164.0,164.0,0.0,N/A
SHINEP,222.0,222.0,0.0,N/A
SIFCPO,286.0,286.0,0.0,N/A
SBID83,1031.1,1031.0,0.01,N/A
SBLD2082,1045.2,1045.1,0.01,N/A
NIBD84,1030.1,1030.0,0.01,N/A
PBLD86,1102.0,1100.2,0.16,N/A
NWCL,671.5,670.1,0.21,N/A
PROFL,408.9,408.0,0.22,N/A
MLBSL,1198.0,1195.0,0.25,N/A
PBD84,1070.0,1067.0,0.28,N/A
ICFCD83,1035.0,1032.0,0.29,N/A
MERO,657.0,655.0,0.31,N/A
ALICL,415.0,413.4,0.39,N/A
RBCLPO,11050.0,11000.0,0.45,N/A
SNLI,407.9,406.0,0.47,N/A
NICD83/84,1011.0,1005.0,0.6,N/A
SRBLD83,1015.0,1008.1,0.68,N/A
SMPDA,735.0,730.0,0.68,N/A
SRLI,366.5,363.9,0.71,N/A
SHLB,1400.0,1390.0,0.72,N/A
AHL,408.0,405.0,0.74,N/A
MKHC,265.0,263.0,0.76,N/A
HLI,315.5,313.1,0.77,N/A
SONA,401.1,398.0,0.78,N/A
LICN,769.0,763.0,0.79,N/A
ULI,358.0,355.0,0.85,N/A
ADBLB86,1010.0,1000.0,1.0,N/A
BOKD86KA,1111.1,1100.0,1.01,N/A
PRVU,181.8,179.9,1.06,N/A
NMLBBL,500.0,494.7,1.07,N/A
ADBLB87,1012.0,1000.0,1.2,N/A
PBLD84,1070.0,1057.2,1.21,N/A
NCCD86,1065.0,1052.0,1.24,N/A
MATRI,796.1,786.3,1.25,N/A
CBBLPO,395.0,390.0,1.28,N/A
MHCL,305.0,301.0,1.33,N/A
RBBF40,9.05,8.93,1.34,N/A
USLB,1105.0,1090.0,1.38,N/A
UAIL,426.9,421.0,1.4,N/A
SJCL,266.7,263.0,1.41,N/A
SMB,1722.9,1699.0,1.41,N/A
ADBLD83,1030.0,1015.0,1.48,N/A
