Symbol,Date,Signal,Close_at_Crossover,Latest_Close,P/L_%
GHL,2026-02-26,BUY,235.0,235.0,0.0
MDB,2026-02-26,BUY,629.0,629.0,0.0
NHPC,2026-02-26,BUY,223.3,223.3,0.0
HDHPC,2026-02-19,BUY,195.1,193.0,-1.08
HURJA,2026-02-19,BUY,263.0,256.8,-2.36
SADBL,2026-02-19,BUY,412.0,416.0,0.97
EDBL,2026-02-19,SELL,590.0,582.6,1.25
SAHAS,2026-02-19,SELL,556.0,562.7,-1.21
GLH,2026-02-12,BUY,284.0,265.0,-6.69
CORBL,2026-02-12,SELL,1660.0,1620.2,2.4
AHPC,2026-02-05,BUY,277.0,275.0,-0.72
CORBL,2026-02-05,BUY,1929.0,1620.2,-16.01
MPFL,2026-02-05,BUY,657.0,614.9,-6.41
AKJCL,2026-01-29,BUY,312.0,352.0,12.82
NABBC,2026-01-29,BUY,1580.0,1420.0,-10.13
SBI,2026-01-29,BUY,408.0,408.3,0.07
SIFC,2026-01-29,BUY,648.0,585.0,-9.72
AHPC,2026-01-29,SELL,272.0,275.0,-1.1
EDBL,2026-01-22,BUY,668.0,582.6,-12.78
ICFC,2026-01-22,BUY,695.0,645.0,-7.19
HPPL,2026-01-22,SELL,477.1,472.0,1.07
NHDL,2026-01-15,SELL,660.0,646.0,2.12
NRN,2026-01-15,SELL,1382.5,1528.0,-10.52
PCBL,2026-01-08,SELL,237.0,233.0,1.69
NHDL,2026-01-01,BUY,742.0,646.0,-12.94
PCBL,2026-01-01,BUY,261.6,233.0,-10.93
CORBL,2026-01-01,SELL,1580.0,1620.2,-2.54
MKJC,2026-01-01,SELL,510.4,525.0,-2.86
NIFRA,2026-01-01,SELL,265.0,260.0,1.89
NMB,2026-01-01,SELL,238.8,234.5,1.8
RURU,2026-01-01,SELL,670.5,654.9,2.33
MFIL,2025-12-25,BUY,709.0,787.9,11.13
ADBL,2025-12-25,SELL,288.0,294.6,-2.29
GBIME,2025-12-25,SELL,228.0,224.9,1.36
NHDL,2025-12-25,SELL,680.0,646.0,5.0
NHDL,2025-12-18,BUY,743.5,646.0,-13.11
SHL,2025-12-18,SELL,494.7,491.0,0.75
EDBL,2025-12-11,SELL,580.0,582.6,-0.45
GLH,2025-12-11,SELL,247.0,265.0,-7.29
SADBL,2025-12-11,SELL,379.8,416.0,-9.53
MEN,2025-12-04,SELL,554.5,580.1,-4.62
MNBBL,2025-12-04,SELL,347.9,361.5,-3.91
MEN,2025-11-27,BUY,670.1,580.1,-13.43
NMB,2025-11-27,BUY,260.0,234.5,-9.81
KSBBL,2025-11-27,SELL,444.0,460.0,-3.6
NMB,2025-11-20,SELL,237.0,234.5,1.05
UMRH,2025-11-20,SELL,550.1,548.0,0.38
RURU,2025-11-13,BUY,830.0,654.9,-21.1
GBBL,2025-11-13,SELL,370.0,400.7,-8.3
ICFC,2025-11-13,SELL,615.0,645.0,-4.88
ICFC,2025-11-06,BUY,652.0,645.0,-1.07
ICFC,2025-10-30,SELL,630.0,645.0,-2.38
DHPL,2025-10-23,SELL,283.0,296.0,-4.59
MBL,2025-10-23,SELL,207.1,228.0,-10.09
MFIL,2025-10-23,SELL,568.0,787.9,-38.71
NHDL,2025-10-23,SELL,636.5,646.0,-1.49
SAPDBL,2025-10-23,SELL,789.9,821.7,-4.03
CGH,2025-10-16,SELL,823.8,825.1,-0.16
GHL,2025-10-16,SELL,200.9,235.0,-16.97
MLBL,2025-10-16,SELL,363.9,365.1,-0.33
PCBL,2025-10-16,SELL,232.8,233.0,-0.09
MDB,2025-10-09,SELL,592.1,629.0,-6.23
PRVU,2025-10-02,SELL,207.9,182.4,12.27
HDHPC,2025-09-25,SELL,186.0,193.0,-3.76
KBL,2025-09-25,SELL,190.3,184.0,3.31
LEC,2025-09-25,SELL,208.0,219.0,-5.29
NABBC,2025-09-25,SELL,772.0,1420.0,-83.94
NBL,2025-09-25,SELL,250.0,240.7,3.72
CZBIL,2025-09-18,SELL,197.0,189.6,3.76
NHPC,2025-09-18,SELL,178.6,223.3,-25.03
NLICL,2025-09-18,SELL,550.0,576.0,-4.73
RURU,2025-09-18,SELL,650.0,654.9,-0.75
SBI,2025-09-18,SELL,376.9,408.3,-8.33
SCB,2025-09-18,SELL,607.0,642.2,-5.8
SINDU,2025-09-18,SELL,618.0,745.0,-20.55
AKJCL,2025-09-11,SELL,191.33,352.0,-83.98
CHCL,2025-09-11,SELL,497.36,466.0,6.31
JBBL,2025-09-11,SELL,325.4,328.6,-0.98
MHNL,2025-09-11,SELL,245.13,262.6,-7.13
NYADI,2025-09-11,SELL,399.62,391.2,2.11
SSHL,2025-09-11,SELL,173.88,188.0,-8.12
BARUN,2025-09-04,SELL,330.66,346.0,-4.64
MPFL,2025-09-04,SELL,570.03,614.9,-7.87
HURJA,2025-08-28,SELL,237.78,256.8,-8.0
KKHC,2025-08-28,SELL,256.24,282.0,-10.05
OHL,2025-08-21,SELL,862.03,700.0,18.8
SIFC,2025-08-21,SELL,508.34,585.0,-15.08
JOSHI,2025-08-14,SELL,319.81,290.0,9.32
LEC,2025-08-07,BUY,254.17,219.0,-13.84
ADBL,2025-07-31,BUY,332.18,294.6,-11.31
ICFC,2025-07-31,BUY,694.65,645.0,-7.15
MFIL,2025-07-31,BUY,716.71,787.9,9.93
