Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
HURJA,47,118.0,283.9,0.0,7797.3,7797.3,140.59
UNHPL,65,415.38,510.0,0.0,6150.0,6150.0,22.78
AKJCL,535,384.15,375.0,10335.0,-4895.0,5440.0,2.65
SSHL,200,190.0,195.5,0.0,1100.0,1100.0,2.89
DORDI,130,307.54,289.5,0.0,-2345.0,-2345.0,-5.87
MEL,164,323.0,291.0,0.0,-5248.0,-5248.0,-9.91
PPCL,10,390.0,382.0,-8000.0,-80.0,-8080.0,-207.18
SINDU,115,866.3,759.0,0.0,-12340.0,-12340.0,-12.39
HLBSL,95,1079.0,905.0,0.0,-16530.0,-16530.0,-16.13
SAGAR,90,2220.0,1965.0,0.0,-22950.0,-22950.0,-11.49
GBLBS,60,1519.0,760.0,0.0,-45540.0,-45540.0,-49.97
