Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,366.9,23395.0,-738.5,22656.5,166.84
SSHL,0,0.0,200.5,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,239.0,0.0,5687.0,5687.0,102.54
UNHPL,65,415.38,374.0,0.0,-2690.0,-2690.0,-9.96
DORDI,130,307.54,249.9,0.0,-7493.0,-7493.0,-18.74
PPCL,10,390.0,335.0,-8000.0,-550.0,-8550.0,-219.23
HLBSL,95,1079.0,884.0,0.0,-18525.0,-18525.0,-18.07
MEL,164,323.0,209.1,0.0,-18679.6,-18679.6,-35.26
SINDU,115,866.3,691.0,0.0,-20160.0,-20160.0,-20.24
SAGAR,90,2220.0,1730.0,0.0,-44100.0,-44100.0,-22.07
GBLBS,60,1519.0,739.0,0.0,-46800.0,-46800.0,-51.35
