Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,342.6,23395.0,-1589.0,21806.0,160.57
SSHL,0,0.0,191.4,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,229.0,0.0,5217.0,5217.0,94.07
UNHPL,65,415.38,353.5,0.0,-4022.5,-4022.5,-14.9
PPCL,10,390.0,330.0,-8000.0,-600.0,-8600.0,-220.51
DORDI,130,307.54,236.5,0.0,-9235.0,-9235.0,-23.1
MEL,164,323.0,197.0,0.0,-20664.0,-20664.0,-39.01
HLBSL,95,1079.0,859.4,0.0,-20862.0,-20862.0,-20.35
SINDU,115,866.3,596.0,0.0,-31085.0,-31085.0,-31.2
GBLBS,60,1519.0,662.8,0.0,-51372.0,-51372.0,-56.37
SAGAR,90,2220.0,1500.0,0.0,-64800.0,-64800.0,-32.43
