Symbol,Latest_Close,52_Week_Low,Distance_from_Low_%,Date_at_52W_Low
SMATAP,421.0,441.0,-4.54,N/A
MKHL,511.0,528.9,-3.38,N/A
BGWT,682.5,700.0,-2.5,N/A
HBLPO,128.0,131.0,-2.29,N/A
MCHL,313.0,320.0,-2.19,N/A
SMJC,439.0,447.2,-1.83,N/A
VLUCL,472.6,481.0,-1.75,N/A
NFS,567.0,576.0,-1.56,N/A
MKCL,1286.0,1304.0,-1.38,N/A
KBSH,1539.0,1555.1,-1.04,N/A
USLB,1270.1,1280.0,-0.77,N/A
HRL,660.0,665.0,-0.75,N/A
NRIC,873.4,880.0,-0.75,N/A
MMKJL,488.0,491.2,-0.65,N/A
MLBS,1224.0,1230.0,-0.49,N/A
NHDL,615.2,618.0,-0.45,N/A
NMIC,995.0,998.2,-0.32,N/A
SMH,548.0,549.2,-0.22,N/A
HLI,336.5,337.0,-0.15,N/A
TSHL,616.5,616.8,-0.05,N/A
MLBBL,1190.0,1190.1,-0.01,N/A
KMCDBP,587.0,587.0,0.0,N/A
MATRIP,523.5,523.5,0.0,N/A
ALICLP,252.0,252.0,0.0,N/A
JBBLPO,187.0,187.0,0.0,N/A
JBLBP,100.0,100.0,0.0,N/A
NMLBBLP,334.0,334.0,0.0,N/A
NMFBSP,675.0,675.0,0.0,N/A
NABILP,301.1,301.1,0.0,N/A
NLICP,413.0,413.0,0.0,N/A
NLICLP,321.0,321.0,0.0,N/A
CYCLP,831.0,831.0,0.0,N/A
SIFCPO,286.0,286.0,0.0,N/A
PMLIP,270.0,270.0,0.0,N/A
SFCLP,164.0,164.0,0.0,N/A
RLFLPO,268.6,268.6,0.0,N/A
PRVUPO,100.0,100.0,0.0,N/A
MLBSLP,100.0,100.0,0.0,N/A
MLBLPO,193.0,193.0,0.0,N/A
GBIMEP,100.0,100.0,0.0,N/A
DOLTI,360.0,360.0,0.0,N/A
SLBBLP,453.0,453.0,0.0,N/A
LBBLPO,261.0,261.0,0.0,N/A
KBLPO,100.0,100.0,0.0,N/A
CZBILP,106.9,106.9,0.0,N/A
FOWADP,660.0,660.0,0.0,N/A
SBLD2082,1045.2,1045.1,0.01,N/A
NLG,584.9,584.0,0.15,N/A
SHLB,1455.0,1452.0,0.21,N/A
HATHY,801.9,800.0,0.24,N/A
SMB,1704.4,1700.0,0.26,N/A
HPPL,361.0,360.0,0.28,N/A
JSLBB,1062.3,1059.0,0.31,N/A
CYCL,1460.0,1455.0,0.34,N/A
KPCL,480.0,478.1,0.4,N/A
MLBSL,1758.0,1750.0,0.46,N/A
IHL,397.0,395.0,0.51,N/A
NICL,480.1,477.2,0.61,N/A
RURU,635.0,631.0,0.63,N/A
SLBSL,1204.0,1195.0,0.75,N/A
NMLBBL,605.0,600.0,0.83,N/A
ULI,358.0,355.0,0.85,N/A
CGH,805.1,798.0,0.89,N/A
SRBLD83,1048.2,1038.8,0.9,N/A
SMPDA,829.0,821.0,0.97,N/A
EHPL,387.0,383.2,0.99,N/A
KMCDB,870.0,861.0,1.05,N/A
SKBBL,758.0,750.0,1.07,N/A
RBBD83,1037.1,1025.7,1.11,N/A
PRIN,637.1,630.0,1.13,N/A
CIT,1751.0,1730.8,1.17,N/A
CBBLPO,395.0,390.0,1.28,N/A
CITY,434.0,428.3,1.33,N/A
HBLD83,1034.0,1020.0,1.37,N/A
MKHC,315.0,310.7,1.38,N/A
MEL,242.8,239.4,1.42,N/A
SARBTM,822.0,810.0,1.48,N/A
