Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,388.0,23395.0,0.0,23395.0,172.28
SSHL,0,0.0,211.0,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,240.0,0.0,5734.0,5734.0,103.39
UNHPL,65,415.38,400.0,0.0,-1000.0,-1000.0,-3.7
DORDI,130,307.54,262.0,0.0,-5920.0,-5920.0,-14.81
PPCL,10,390.0,349.0,-8000.0,-410.0,-8410.0,-215.64
SINDU,115,866.3,729.3,0.0,-15755.5,-15755.5,-15.81
MEL,164,323.0,224.6,0.0,-16137.6,-16137.6,-30.46
HLBSL,95,1079.0,900.0,0.0,-17005.0,-17005.0,-16.59
SAGAR,90,2220.0,1795.0,0.0,-38250.0,-38250.0,-19.14
GBLBS,60,1519.0,762.0,0.0,-45420.0,-45420.0,-49.84
