Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,381.0,23395.0,-245.0,23150.0,170.47
SSHL,0,0.0,218.0,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,275.6,0.0,7407.2,7407.2,133.56
UNHPL,65,415.38,526.0,0.0,7190.0,7190.0,26.63
DORDI,130,307.54,287.0,0.0,-2670.0,-2670.0,-6.68
MEL,164,323.0,276.5,0.0,-7626.0,-7626.0,-14.4
PPCL,10,390.0,395.2,-8000.0,52.0,-7948.0,-203.79
SINDU,115,866.3,748.1,0.0,-13593.5,-13593.5,-13.64
HLBSL,95,1079.0,902.0,0.0,-16815.0,-16815.0,-16.4
SAGAR,90,2220.0,1820.0,0.0,-36000.0,-36000.0,-18.02
GBLBS,60,1519.0,770.0,0.0,-44940.0,-44940.0,-49.31
