Symbol,Latest_Close,52_Week_Low,52_Week_High,Distance_from_Low_%,Distance_from_High_%
GUFLPO,298.0,331.0,331.0,-9.97,-9.97
ACLBSLP,512.0,556.0,613.0,-7.91,-16.48
SMATAP,421.0,441.0,593.0,-4.54,-29.01
HBLPO,111.6,115.0,133.0,-2.96,-16.09
CZBILP,105.8,106.9,111.0,-1.03,-4.68
ALICLP,252.0,252.0,388.0,0.0,-35.05
PRVUPO,100.0,100.0,100.9,0.0,-0.89
CORBLP,100.0,100.0,100.0,0.0,0.0
NMLBBLP,334.0,334.0,366.1,0.0,-8.77
NLICLP,321.0,321.0,321.0,0.0,0.0
NMFBSP,610.0,610.0,675.0,0.0,-9.63
SIFCPO,286.0,286.0,286.0,0.0,0.0
SHINEP,222.0,222.0,228.0,0.0,-2.63
FOWADP,550.0,550.0,660.0,0.0,-16.67
CYCLP,831.0,831.0,864.0,0.0,-3.82
PMLIP,255.0,255.0,302.9,0.0,-15.81
NLICP,413.0,413.0,413.0,0.0,0.0
SFCLP,164.0,164.0,164.0,0.0,0.0
KBLPO,100.0,100.0,111.0,0.0,-9.91
JBBLPO,181.4,181.4,187.0,0.0,-2.99
RLFLPO,268.6,268.6,303.0,0.0,-11.35
MATRIP,523.5,523.5,766.5,0.0,-31.7
LBBLPO,261.0,261.0,261.0,0.0,0.0
KMCDBP,587.0,587.0,605.0,0.0,-2.98
BFCPO,250.0,250.0,324.0,0.0,-22.84
NABILP,301.1,301.1,301.1,0.0,0.0
MLBSP,698.0,698.0,957.0,0.0,-27.06
MLBSLP,100.0,100.0,100.0,0.0,0.0
SBLD2082,1045.2,1045.1,1097.6,0.01,-4.77
SLBBLP,456.0,453.0,499.0,0.66,-8.62
ULI,358.0,355.0,746.0,0.85,-52.01
RBBD83,1036.2,1025.7,1100.0,1.02,-5.8
CBBLPO,395.0,390.0,395.0,1.28,0.0
PBD84,1085.0,1070.2,1182.0,1.38,-8.21
CSY,9.03,8.87,10.0,1.8,-9.7
HLICF,8.64,8.48,10.55,1.89,-18.1
BNL,14150.0,13872.8,18204.0,2.0,-22.27
SLBSL,1115.0,1082.0,1694.9,3.05,-34.21
SBLD83,1070.0,1038.0,1122.0,3.08,-4.63
NIBD2082,1040.0,1008.5,1170.0,3.12,-11.11
SGICP,258.0,250.0,323.0,3.2,-20.12
SKBBL,763.8,740.0,999.0,3.22,-23.54
LBL,173.0,167.5,972.0,3.28,-82.2
CGH,773.0,748.0,1150.0,3.34,-32.78
SJLICP,240.1,232.0,245.0,3.49,-2.0
PFL,364.0,351.6,475.5,3.53,-23.45
GLBSL,1765.5,1705.2,2468.0,3.54,-28.46
KBSH,1194.0,1150.0,2189.0,3.83,-45.45
ADBLD83,1062.2,1022.0,1160.0,3.93,-8.43
SRLIP,208.0,200.0,218.0,4.0,-4.59
CIT,1697.0,1630.3,2168.0,4.09,-21.73
NBLD82,1086.0,1042.5,1140.0,4.17,-4.74
NICD83/84,1079.9,1036.0,1149.0,4.24,-6.01
SFCL,375.0,359.4,565.0,4.34,-33.63
UNL,47200.0,45200.0,50724.0,4.42,-6.95
MANDU,800.0,766.0,970.0,4.44,-17.53
RBBF40,9.38,8.98,10.36,4.45,-9.46
BBC,4199.9,4021.1,6120.0,4.45,-31.37
LICN,798.0,763.0,990.0,4.59,-19.39
RHPL,263.6,252.0,369.1,4.6,-28.58
SCBD,1130.0,1080.0,1236.0,4.63,-8.58
MMKJL,449.0,429.1,699.9,4.64,-35.85
RURU,619.0,591.0,853.0,4.74,-27.43
HLI,328.0,313.1,464.0,4.76,-29.31
SONA,417.1,398.0,523.3,4.8,-20.29
ICFC,608.5,580.0,730.9,4.91,-16.75
ALICL,433.7,413.4,550.0,4.91,-21.15
PCBLP,105.0,100.0,108.1,5.0,-2.87
