Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,150,280.67,352.8,0,10820.0,10820.0,25.7
UNHPL,65,415.38,531.0,0,7515.0,7515.0,27.83
HURJA,47,118.0,255.1,0,6443.7,6443.7,116.19
SSHL,200,190.0,200.0,0,2000.0,2000.0,5.26
PPCL,510,390.0,386.0,0,-2040.0,-2040.0,-1.03
DORDI,130,307.54,287.0,0,-2670.0,-2670.0,-6.68
MEL,164,323.0,303.6,0,-3181.6,-3181.6,-6.01
SINDU,115,866.3,825.0,0,-4750.0,-4750.0,-4.77
SAGAR,90,2220.0,2160.0,0,-5400.0,-5400.0,-2.7
HLBSL,95,1079.0,930.0,0,-14155.0,-14155.0,-13.81
GBLBS,20,3007.0,776.0,0,-44620.0,-44620.0,-74.19
