Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,384.9,23395.0,-108.5,23286.5,171.48
SSHL,0,0.0,215.0,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,260.0,0.0,6674.0,6674.0,120.34
UNHPL,65,415.38,487.9,0.0,4713.5,4713.5,17.46
DORDI,130,307.54,277.5,0.0,-3905.0,-3905.0,-9.77
PPCL,10,390.0,379.1,-8000.0,-109.0,-8109.0,-207.92
MEL,164,323.0,254.0,0.0,-11316.0,-11316.0,-21.36
SINDU,115,866.3,758.9,0.0,-12351.5,-12351.5,-12.4
HLBSL,95,1079.0,880.3,0.0,-18876.5,-18876.5,-18.42
SAGAR,90,2220.0,1780.0,0.0,-39600.0,-39600.0,-19.82
GBLBS,60,1519.0,763.0,0.0,-45360.0,-45360.0,-49.77
