Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,363.8,23395.0,-847.0,22548.0,166.04
SSHL,0,0.0,200.0,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,237.0,0.0,5593.0,5593.0,100.85
UNHPL,65,415.38,377.9,0.0,-2436.5,-2436.5,-9.02
DORDI,130,307.54,250.0,0.0,-7480.0,-7480.0,-18.71
PPCL,10,390.0,335.5,-8000.0,-545.0,-8545.0,-219.1
MEL,164,323.0,208.1,0.0,-18843.6,-18843.6,-35.57
HLBSL,95,1079.0,875.0,0.0,-19380.0,-19380.0,-18.91
SINDU,115,866.3,684.6,0.0,-20896.0,-20896.0,-20.97
GBLBS,60,1519.0,749.9,0.0,-46146.0,-46146.0,-50.63
SAGAR,90,2220.0,1680.0,0.0,-48600.0,-48600.0,-24.32
