Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,385.0,23395.0,-105.0,23290.0,171.5
SSHL,0,0.0,214.0,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,245.1,0.0,5973.7,5973.7,107.71
UNHPL,65,415.38,404.8,0.0,-688.0,-688.0,-2.55
DORDI,130,307.54,266.7,0.0,-5309.0,-5309.0,-13.28
PPCL,10,390.0,359.0,-8000.0,-310.0,-8310.0,-213.08
MEL,164,323.0,225.0,0.0,-16072.0,-16072.0,-30.34
HLBSL,95,1079.0,905.9,0.0,-16444.5,-16444.5,-16.04
SINDU,115,866.3,719.0,0.0,-16940.0,-16940.0,-17.0
SAGAR,90,2220.0,1768.1,0.0,-40671.0,-40671.0,-20.36
GBLBS,60,1519.0,759.0,0.0,-45600.0,-45600.0,-50.03
