Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,403.0,23395.0,525.0,23920.0,176.14
SSHL,0,0.0,210.9,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,249.7,0.0,6189.9,6189.9,111.61
UNHPL,65,415.38,414.0,0.0,-90.0,-90.0,-0.33
DORDI,130,307.54,270.0,0.0,-4880.0,-4880.0,-12.21
PPCL,10,390.0,380.0,-8000.0,-100.0,-8100.0,-207.69
SINDU,115,866.3,759.9,0.0,-12236.5,-12236.5,-12.28
MEL,164,323.0,237.7,0.0,-13989.2,-13989.2,-26.41
HLBSL,95,1079.0,876.1,0.0,-19275.5,-19275.5,-18.8
GBLBS,60,1519.0,778.5,0.0,-44430.0,-44430.0,-48.75
SAGAR,90,2220.0,1665.0,0.0,-49950.0,-49950.0,-25.0
