Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
ACLBSL,2026-03-26,1040.0,1043.0,1025.0,1040.0,0.0,2970.0,1240.0,900.0,,,,,,,
ACLBSL,2026-03-25,1089.5,1090.0,1048.0,1053.0,-3.35,1858.0,1240.0,900.0,,,,,,,
ADBL,2026-03-26,330.0,334.0,321.5,333.1,0.94,85296.0,344.9,272.3,,,,,,,
ADBL,2026-03-25,328.5,340.0,328.5,330.0,0.46,106584.0,344.9,272.3,,,,,,,
AHL,2026-03-26,522.0,525.9,512.0,521.0,-0.19,12223.0,753.0,462.6,,,,,,,
AHL,2026-03-25,516.0,525.0,515.1,522.0,1.16,9530.0,753.0,462.6,,,,,,,
AHPC,2026-03-26,316.2,316.2,307.0,314.0,-0.7,389922.0,334.0,246.0,,,,,,,
AHPC,2026-03-25,316.5,318.8,309.1,310.0,-2.05,378520.0,334.0,245.0,,,,,,,
AKJCL,2026-03-26,395.0,415.0,395.0,415.0,5.06,808865.0,431.8,172.9,,,,,,,
AKJCL,2026-03-25,404.0,414.9,401.8,402.1,-0.47,709740.0,431.8,172.9,,,,,,,
AKPL,2026-03-26,296.0,305.0,296.0,304.9,3.01,400064.0,317.0,220.8,,,,,,,
AKPL,2026-03-25,309.9,309.9,299.0,302.0,-2.55,468970.0,317.0,216.1,,,,,,,
ALBSL,2026-03-26,1261.0,1300.0,1240.0,1293.9,2.61,22614.0,1334.0,771.0,,,,,,,
ALBSL,2026-03-25,1264.2,1321.3,1240.0,1286.0,1.72,32287.0,1334.0,771.0,,,,,,,
ALICL,2026-03-26,484.0,490.0,479.0,488.0,0.83,48491.0,779.0,430.0,,,,,,,
ALICL,2026-03-25,495.0,496.0,484.0,489.0,-1.21,95142.0,779.0,430.0,,,,,,,
ANLB,2026-03-26,6400.0,6649.0,6400.0,6647.0,3.86,4414.0,6800.0,4920.0,,,,,,,
ANLB,2026-03-25,6561.0,6561.0,6461.3,6461.3,-1.52,110.0,6800.0,4920.0,,,,,,,
API,2026-03-26,359.0,365.9,354.0,364.2,1.45,886488.0,368.9,258.8,,,,,,,
API,2026-03-25,360.0,368.9,358.7,359.0,-0.28,1429057.0,368.9,258.8,,,,,,,
AVYAN,2026-03-26,1235.0,1310.0,1201.0,1279.0,3.56,42163.0,1366.0,906.0,,,,,,,
AVYAN,2026-03-25,1366.0,1366.0,1229.2,1260.0,-7.76,54272.0,1366.0,906.0,,,,,,,
BANDIPUR,2026-03-26,970.0,999.9,969.0,985.0,1.55,95093.0,1233.0,285.0,,,,,,,
BANDIPUR,2026-03-25,967.0,985.0,940.0,973.0,0.62,112278.0,1233.0,285.0,,,,,,,
BARUN,2026-03-26,380.0,382.9,375.6,381.2,0.32,118257.0,589.0,292.1,,,,,,,
BARUN,2026-03-25,396.7,396.7,380.0,380.0,-4.21,142096.0,589.0,292.1,,,,,,,
BBC,2026-03-26,5391.0,5495.0,5202.0,5332.0,-1.09,1209.0,6661.6,4480.0,,,,,,,
BBC,2026-03-25,5200.0,5600.0,5100.0,5499.0,5.75,6884.0,6661.6,4480.0,,,,,,,
BEDC,2026-03-26,529.0,534.0,525.2,531.0,0.38,6859.0,872.0,500.0,,,,,,,
