Symbol,Score,Signal,Close,RSI,Trend,52W_Position_%,Volume_Ratio,Momentum_5D_%,Factors
AKPL,60,BUY,256.0,38.3,UP,47.7,0.23,-9.6,"Low_RSI, Strong_Uptrend, Above_200SMA, Below_BB_Middle, Negative_5D_Momentum_Reversal"
AKJCL,55,BUY,343.0,60.3,UP,80.2,0.68,-10.9,"Strong_Uptrend, Above_200SMA, Negative_5D_Momentum_Reversal, Strong_20D_Momentum"
SIFC,55,BUY,581.6,27.8,UP,61.6,0.18,1.1,"Oversold_RSI, Strong_Uptrend, Above_200SMA, Below_BB_Middle"
CHL,50,BUY,269.0,38.5,UP,11.8,0.32,-8.8,"Low_RSI, Strong_Uptrend, Below_200SMA, Near_52W_Low, Below_BB_Middle, Negative_5D_Momentum_Reversal"
EBL,50,BUY,664.5,34.5,UP,47.0,0.51,-0.2,"Low_RSI, Strong_Uptrend, Above_200SMA, Below_BB_Middle"
LEC,50,BUY,213.0,44.6,UP,39.7,0.42,-10.1,"Strong_Uptrend, Above_200SMA, Below_BB_Middle, Negative_5D_Momentum_Reversal"
HURJA,50,BUY,247.8,49.9,UP,53.7,0.39,-11.9,"Strong_Uptrend, Above_200SMA, Below_BB_Middle, Negative_5D_Momentum_Reversal"
NHPC,50,BUY,212.2,46.6,UP,56.0,0.47,-7.3,"Strong_Uptrend, Above_200SMA, Below_BB_Middle, Negative_5D_Momentum_Reversal"
CHDC,50,BUY,2535.0,57.2,UP,70.0,1.71,9.7,"Strong_Uptrend, Above_200SMA, High_Volume, Positive_5D_Momentum"
PLI,50,BUY,587.0,51.8,UP,79.1,0.62,-1.7,"Strong_Uptrend, Above_200SMA, Below_BB_Middle, Strong_20D_Momentum"
PPCL,50,BUY,364.5,34.5,UP,71.3,0.25,-3.3,"Low_RSI, Strong_Uptrend, Above_200SMA, Below_BB_Middle"
UNHPL,50,BUY,480.0,47.2,UP,75.7,0.17,-5.7,"Strong_Uptrend, Above_200SMA, Below_BB_Middle, Negative_5D_Momentum_Reversal"
SHEL,50,BUY,294.0,52.8,UP,54.5,0.57,-10.4,"Strong_Uptrend, Above_200SMA, Below_BB_Middle, Negative_5D_Momentum_Reversal"
NABBC,45,WATCH,1360.0,37.4,DOWN,51.8,1.33,-13.9,"Low_RSI, Above_200SMA, Below_BB_Middle, Above_Avg_Volume, Negative_5D_Momentum_Reversal"
SSHL,45,WATCH,180.5,38.5,UP,19.2,0.37,-8.6,"Low_RSI, Strong_Uptrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle, Negative_5D_Momentum_Reversal"
