Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,431.0,23395.0,1505.0,24900.0,183.36
SSHL,0,0.0,215.2,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,255.3,0.0,6453.1,6453.1,116.36
UNHPL,65,415.38,436.8,0.0,1392.0,1392.0,5.16
DORDI,130,307.54,276.0,0.0,-4100.0,-4100.0,-10.26
PPCL,10,390.0,386.4,-8000.0,-36.0,-8036.0,-206.05
MEL,164,323.0,242.0,0.0,-13284.0,-13284.0,-25.08
SINDU,115,866.3,730.0,0.0,-15675.0,-15675.0,-15.73
HLBSL,95,1079.0,890.0,0.0,-17955.0,-17955.0,-17.52
GBLBS,60,1519.0,773.9,0.0,-44706.0,-44706.0,-49.05
SAGAR,90,2220.0,1678.1,0.0,-48771.0,-48771.0,-24.41
