Symbol,Date,Signal,Entry_Close,Latest_Close,PnL_%
SSHL,2026-01-04,Buy,152.1,157.9,3.81
NRN,2026-01-04,Buy,1365.0,1370.5,0.4
KKHC,2025-12-24,Buy,214.7,221.9,3.35
SAHAS,2025-12-18,Buy,544.0,549.0,0.92
TRH,2025-11-25,Buy,718.0,713.5,-0.63
MNBBL,2025-11-25,Buy,356.8,349.2,-2.13
GBBL,2025-11-20,Buy,373.4,392.8,5.2
MBL,2025-10-30,Buy,213.0,228.0,7.04
SANIMA,2025-10-29,Buy,318.0,335.0,5.35
TPC,2025-10-29,Buy,291.2,368.5,26.55
MPFL,2025-10-28,Buy,513.0,622.1,21.27
SFCL,2025-10-28,Buy,390.0,370.0,-5.13
OHL,2025-10-26,Buy,670.0,695.1,3.75
KSBBL,2025-10-26,Buy,414.0,452.0,9.18
RLFL,2025-10-26,Buy,405.0,425.0,4.94
NABBC,2025-10-16,Buy,720.0,1342.0,86.39
CHL,2025-09-24,Buy,258.7,264.9,2.4
HBL,2025-09-23,Buy,200.1,190.0,-5.05
HDHPC,2025-09-23,Buy,190.8,176.0,-7.76
JOSHI,2025-09-23,Buy,315.8,285.0,-9.75
GHL,2025-09-23,Buy,224.0,210.1,-6.21
UPPER,2025-09-23,Buy,192.4,174.0,-9.56
GFCL,2025-09-21,Buy,605.0,628.0,3.8
RHPL,2025-09-21,Buy,287.02,276.1,-3.8
BARUN,2025-09-21,Buy,320.56,321.0,0.14
NBL,2025-09-21,Buy,249.03,241.0,-3.22
HURJA,2025-09-21,Buy,226.87,221.1,-2.54
SINDU,2025-09-21,Buy,679.8,715.3,5.22
BFC,2025-09-18,Buy,419.8,464.9,10.74
JFL,2025-09-18,Buy,402.7,430.0,6.78
LICN,2025-09-18,Buy,773.2,852.4,10.24
GUFL,2025-09-18,Buy,465.5,507.0,8.92
CFCL,2025-09-18,Buy,467.0,494.0,5.78
AKJCL,2025-09-18,Buy,173.0,201.9,16.71
ALICL,2025-07-07,Buy,499.75,476.0,-4.75
NLIC,2025-06-30,Buy,728.63,774.0,6.23
NYADI,2025-06-08,Buy,430.96,395.0,-8.34
SAPDBL,2025-05-19,Buy,787.0,829.5,5.4
SCB,2025-05-08,Buy,607.56,633.1,4.2
PROFL,2025-05-06,Buy,474.76,453.0,-4.58
NFS,2025-05-06,Buy,590.98,625.5,5.84
PRVU,2025-05-06,Buy,196.09,183.5,-6.42
LBBL,2025-05-04,Buy,383.93,496.5,29.32
SPC,2025-03-27,Buy,524.02,529.3,1.01
PFL,2025-02-05,Buy,403.0,355.2,-11.86
NABIL,2025-02-03,Buy,495.9,488.1,-1.57
ADBL,2025-02-02,Buy,294.9,298.0,1.05
NICA,2025-01-28,Buy,357.0,338.0,-5.32
SBL,2025-01-28,Buy,286.0,385.1,34.65
CHCL,2025-01-22,Buy,514.9,474.0,-7.94
NGPL,2025-01-08,Buy,265.0,400.0,50.94
LEC,2025-01-05,Buy,200.1,200.0,-0.05
ICFC,2025-01-01,Buy,648.0,642.8,-0.8
API,2024-12-24,Buy,263.3,289.4,9.91
