Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,406.9,23395.0,661.5,24056.5,177.15
SSHL,0,0.0,232.1,15000.0,0.0,15000.0,0.0
UNHPL,65,415.38,538.0,0.0,7970.0,7970.0,29.52
HURJA,47,118.0,286.0,0.0,7896.0,7896.0,142.37
DORDI,130,307.54,297.0,0.0,-1370.0,-1370.0,-3.43
MEL,164,323.0,293.0,0.0,-4920.0,-4920.0,-9.29
SINDU,115,866.3,808.0,0.0,-6705.0,-6705.0,-6.73
PPCL,10,390.0,420.5,-8000.0,305.0,-7695.0,-197.31
HLBSL,95,1079.0,938.0,0.0,-13395.0,-13395.0,-13.07
SAGAR,90,2220.0,1967.4,0.0,-22734.0,-22734.0,-11.38
GBLBS,60,1519.0,800.0,0.0,-43140.0,-43140.0,-47.33
