Symbol,Score,Signal,Close,RSI,Trend,52W_Position_%,Volume_Ratio,Momentum_5D_%,Factors
AKJCL,55,BUY,352.0,59.0,UP,84.4,0.43,-5.6,"Strong_Uptrend, Above_200SMA, Negative_5D_Momentum_Reversal, Strong_20D_Momentum"
API,50,BUY,312.4,64.6,UP,78.6,3.17,5.9,"Strong_Uptrend, Above_200SMA, High_Volume, Positive_5D_Momentum"
PLI,50,BUY,587.0,51.8,UP,79.1,0.62,-1.7,"Strong_Uptrend, Above_200SMA, Below_BB_Middle, Strong_20D_Momentum"
SADBL,45,WATCH,416.5,56.8,UP,26.9,0.43,1.1,"Strong_Uptrend, Above_200SMA, Lower_Half_Range"
CFCL,40,WATCH,522.3,37.5,DOWN,28.5,0.35,-2.4,"Low_RSI, Above_200SMA, Lower_Half_Range, Below_BB_Middle"
LEC,40,WATCH,217.9,56.0,UP,46.9,0.22,1.3,"Strong_Uptrend, Above_200SMA, Below_BB_Middle"
HURJA,40,WATCH,255.0,55.9,UP,62.9,0.24,-3.0,"Strong_Uptrend, Above_200SMA, Below_BB_Middle"
GLH,40,WATCH,264.0,53.8,UP,46.7,0.43,-0.5,"Strong_Uptrend, Above_200SMA, Below_BB_Middle"
MFIL,40,WATCH,806.0,56.4,UP,81.9,1.14,7.9,"Strong_Uptrend, Above_200SMA, Positive_5D_Momentum"
NABBC,40,WATCH,1422.9,27.4,DOWN,56.6,0.77,0.3,"Oversold_RSI, Above_200SMA, Below_BB_Middle, Deep_Pullback"
PPCL,40,WATCH,371.0,46.9,UP,76.9,0.23,-0.3,"Strong_Uptrend, Above_200SMA, Below_BB_Middle"
UMHL,40,WATCH,624.0,47.2,UP,82.2,0.33,1.8,"Strong_Uptrend, Above_200SMA, Below_BB_Middle"
SBI,40,WATCH,410.0,56.0,UP,41.2,1.31,1.2,"Strong_Uptrend, Above_200SMA, Above_Avg_Volume"
GHL,40,WATCH,240.0,56.4,UP,35.2,0.3,0.0,"Strong_Uptrend, Above_200SMA, Below_BB_Middle"
MDB,35,WATCH,637.5,48.0,UP,50.5,0.57,3.0,"Strong_Uptrend, Above_200SMA"
MBL,35,WATCH,229.6,55.0,UP,38.6,0.4,1.6,"Strong_Uptrend, Above_200SMA"
SANIMA,35,WATCH,333.0,54.3,UP,43.3,0.41,0.2,"Strong_Uptrend, Above_200SMA"
NHPC,35,WATCH,224.0,63.3,UP,75.6,0.36,2.8,"Strong_Uptrend, Above_200SMA"
PMHPL,35,WATCH,349.0,47.6,UP,41.8,0.32,0.3,"Strong_Uptrend, Above_200SMA"
EBL,35,WATCH,672.5,62.9,UP,51.2,0.84,1.1,"Strong_Uptrend, Above_200SMA"
CHDC,35,WATCH,2497.0,65.4,UP,66.2,0.6,-0.6,"Strong_Uptrend, Above_200SMA"
SHEL,35,WATCH,298.7,57.1,UP,58.8,0.36,-0.7,"Strong_Uptrend, Above_200SMA"
SCB,35,WATCH,647.1,63.6,UP,56.0,1.04,1.0,"Strong_Uptrend, Above_200SMA"
