Symbol,Score,Signal,Close,RSI,Trend,52W_Position_%,Volume_Ratio,Momentum_5D_%,Factors
CFCL,75,STRONG_BUY,525.0,27.7,UP,29.8,0.29,-6.2,"Oversold_RSI, Strong_Uptrend, Above_200SMA, Lower_Half_Range, Below_BB_Middle, Negative_5D_Momentum_Reversal"
NABBC,70,STRONG_BUY,1600.0,48.9,UP,70.0,1.89,-10.6,"Strong_Uptrend, Above_200SMA, Below_BB_Middle, High_Volume, Negative_5D_Momentum_Reversal, Strong_20D_Momentum"
AHPC,60,BUY,293.9,61.1,UP,62.6,1.71,6.1,"Strong_Uptrend, Above_200SMA, High_Volume, Positive_5D_Momentum, Strong_20D_Momentum"
SIFC,60,BUY,591.0,47.8,UP,66.3,0.38,-5.9,"Strong_Uptrend, Above_200SMA, Below_BB_Middle, Negative_5D_Momentum_Reversal, Strong_20D_Momentum"
SHEL,60,BUY,317.0,63.5,UP,80.5,2.65,6.9,"Strong_Uptrend, Above_200SMA, High_Volume, Positive_5D_Momentum, Strong_20D_Momentum"
SADBL,60,BUY,418.0,37.7,UP,28.0,1.26,0.5,"Low_RSI, Strong_Uptrend, Above_200SMA, Lower_Half_Range, Above_Avg_Volume"
SJCL,60,BUY,319.9,65.3,UP,47.2,4.91,6.6,"Strong_Uptrend, Above_200SMA, High_Volume, Positive_5D_Momentum, Strong_20D_Momentum"
GUFL,55,BUY,552.2,28.9,UP,39.1,0.63,-4.6,"Oversold_RSI, Strong_Uptrend, Above_200SMA, Below_BB_Middle"
MDB,55,BUY,632.9,27.8,UP,48.2,0.35,-0.8,"Oversold_RSI, Strong_Uptrend, Above_200SMA, Below_BB_Middle"
PMHPL,55,BUY,363.3,60.3,UP,52.3,2.21,3.8,"Strong_Uptrend, Above_200SMA, High_Volume, Strong_20D_Momentum"
UPPER,55,BUY,192.9,48.0,UP,45.4,1.61,2.6,"Strong_Uptrend, Above_200SMA, High_Volume, Strong_20D_Momentum"
GLH,55,BUY,284.0,62.3,UP,75.8,3.85,4.8,"Strong_Uptrend, Above_200SMA, High_Volume, Strong_20D_Momentum"
MFIL,50,BUY,778.9,33.5,UP,72.8,0.2,-4.0,"Low_RSI, Strong_Uptrend, Above_200SMA, Below_BB_Middle"
HDHPC,50,BUY,209.9,56.0,UP,81.6,1.22,0.7,"Strong_Uptrend, Above_200SMA, Above_Avg_Volume, Strong_20D_Momentum"
GHL,50,BUY,256.9,61.0,UP,50.4,1.38,1.3,"Strong_Uptrend, Above_200SMA, Above_Avg_Volume, Strong_20D_Momentum"
MBL,50,BUY,229.0,32.6,UP,37.6,0.67,0.9,"Low_RSI, Strong_Uptrend, Above_200SMA, Below_BB_Middle"
NHPC,50,BUY,234.5,59.5,UP,93.1,3.07,8.7,"Strong_Uptrend, Above_200SMA, Near_52W_High, High_Volume, Positive_5D_Momentum, Strong_20D_Momentum"
PLI,50,BUY,587.0,51.8,UP,79.1,0.62,-1.7,"Strong_Uptrend, Above_200SMA, Below_BB_Middle, Strong_20D_Momentum"
