Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,535,384.15,396.0,10335.0,6340.0,16675.0,8.11
HURJA,47,118.0,294.3,0.0,8286.1,8286.1,149.41
SSHL,200,190.0,220.9,0.0,6180.0,6180.0,16.26
UNHPL,65,415.38,498.7,0.0,5415.5,5415.5,20.06
DORDI,130,307.54,302.5,0.0,-655.0,-655.0,-1.64
MEL,164,323.0,292.9,0.0,-4936.4,-4936.4,-9.32
SINDU,115,866.3,801.0,0.0,-7510.0,-7510.0,-7.54
PPCL,10,390.0,431.0,-8000.0,410.0,-7590.0,-194.62
HLBSL,95,1079.0,946.0,0.0,-12635.0,-12635.0,-12.33
SAGAR,90,2220.0,1955.0,0.0,-23850.0,-23850.0,-11.94
GBLBS,60,1519.0,789.0,0.0,-43800.0,-43800.0,-48.06
