Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,388.4,23395.0,14.0,23409.0,172.38
SSHL,0,0.0,214.8,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,274.0,0.0,7332.0,7332.0,132.2
UNHPL,65,415.38,512.0,0.0,6280.0,6280.0,23.26
DORDI,130,307.54,285.3,0.0,-2891.0,-2891.0,-7.23
MEL,164,323.0,275.0,0.0,-7872.0,-7872.0,-14.86
PPCL,10,390.0,392.5,-8000.0,25.0,-7975.0,-204.49
SINDU,115,866.3,769.1,0.0,-11178.5,-11178.5,-11.22
HLBSL,95,1079.0,923.0,0.0,-14820.0,-14820.0,-14.46
SAGAR,90,2220.0,1902.0,0.0,-28620.0,-28620.0,-14.32
GBLBS,60,1519.0,775.0,0.0,-44640.0,-44640.0,-48.98
