Symbol,Latest_Close,52_Week_Low,Distance_from_Low_%,Date_at_52W_Low,Chart_URL
GBIMEP,100.0,100.0,0.0,N/A,https://nepsealpha.com/nepse-chart?symbol=GBIMEP
SLBBLP,453.0,453.0,0.0,N/A,https://nepsealpha.com/nepse-chart?symbol=SLBBLP
SPL,751.0,750.6,0.05,N/A,https://nepsealpha.com/nepse-chart?symbol=SPL
NIMB,187.0,186.7,0.16,N/A,https://nepsealpha.com/nepse-chart?symbol=NIMB
TAMOR,419.0,418.1,0.22,N/A,https://nepsealpha.com/nepse-chart?symbol=TAMOR
CIT,1735.5,1730.8,0.27,N/A,https://nepsealpha.com/nepse-chart?symbol=CIT
SKBBL,756.0,752.7,0.44,N/A,https://nepsealpha.com/nepse-chart?symbol=SKBBL
SMHL,445.0,443.0,0.45,N/A,https://nepsealpha.com/nepse-chart?symbol=SMHL
MKHC,317.0,315.0,0.63,N/A,https://nepsealpha.com/nepse-chart?symbol=MKHC
SWBBL,730.0,724.8,0.72,N/A,https://nepsealpha.com/nepse-chart?symbol=SWBBL
NICL,490.0,486.0,0.82,N/A,https://nepsealpha.com/nepse-chart?symbol=NICL
MSHL,808.3,800.1,1.02,N/A,https://nepsealpha.com/nepse-chart?symbol=MSHL
PRVU,182.0,179.9,1.17,N/A,https://nepsealpha.com/nepse-chart?symbol=PRVU
SMJC,485.1,479.0,1.27,N/A,https://nepsealpha.com/nepse-chart?symbol=SMJC
MLBSL,1875.0,1851.0,1.3,N/A,https://nepsealpha.com/nepse-chart?symbol=MLBSL
BGWT,760.0,750.0,1.33,N/A,https://nepsealpha.com/nepse-chart?symbol=BGWT
MLBBL,1303.6,1285.0,1.45,N/A,https://nepsealpha.com/nepse-chart?symbol=MLBBL
