Symbol,Score,Signal,Close,RSI,Trend,52W_Position_%,Volume_Ratio,Momentum_5D_%,Factors
CFCL,55,BUY,534.0,29.6,UP,34.1,0.34,-0.2,"Oversold_RSI, Strong_Uptrend, Above_200SMA, Below_BB_Middle"
SIFC,55,BUY,573.1,21.9,UP,57.3,0.46,-0.3,"Oversold_RSI, Strong_Uptrend, Above_200SMA, Below_BB_Middle"
BARUN,50,BUY,336.0,32.6,UP,13.6,0.47,-6.1,"Low_RSI, Strong_Uptrend, Below_200SMA, Near_52W_Low, Below_BB_Middle, Negative_5D_Momentum_Reversal"
EBL,50,BUY,664.4,33.4,UP,47.0,0.86,-0.0,"Low_RSI, Strong_Uptrend, Above_200SMA, Below_BB_Middle"
AKPL,50,BUY,256.8,42.4,UP,48.7,0.53,-7.4,"Strong_Uptrend, Above_200SMA, Below_BB_Middle, Negative_5D_Momentum_Reversal"
LEC,50,BUY,214.0,47.8,UP,41.2,0.5,-6.6,"Strong_Uptrend, Above_200SMA, Below_BB_Middle, Negative_5D_Momentum_Reversal"
PPCL,50,BUY,366.1,39.4,UP,72.7,0.53,-3.5,"Low_RSI, Strong_Uptrend, Above_200SMA, Below_BB_Middle"
NHPC,50,BUY,212.0,53.8,UP,55.6,0.65,-6.6,"Strong_Uptrend, Above_200SMA, Below_BB_Middle, Negative_5D_Momentum_Reversal"
HURJA,50,BUY,252.0,57.2,UP,59.1,0.55,-6.6,"Strong_Uptrend, Above_200SMA, Below_BB_Middle, Negative_5D_Momentum_Reversal"
PLI,50,BUY,587.0,51.8,UP,79.1,0.62,-1.7,"Strong_Uptrend, Above_200SMA, Below_BB_Middle, Strong_20D_Momentum"
MHNL,45,WATCH,256.0,33.3,UP,29.7,0.44,-8.6,"Low_RSI, Strong_Uptrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle, Negative_5D_Momentum_Reversal"
CHDC,45,WATCH,2495.0,52.7,UP,67.0,1.36,6.6,"Strong_Uptrend, Above_200SMA, Above_Avg_Volume, Positive_5D_Momentum"
AKJCL,45,WATCH,342.1,61.9,UP,79.8,1.12,-4.7,"Strong_Uptrend, Above_200SMA, Strong_20D_Momentum"
KKHC,40,WATCH,274.0,62.5,UP,24.6,0.48,-10.5,"Strong_Uptrend, Below_200SMA, Lower_Half_Range, Negative_5D_Momentum_Reversal, Strong_20D_Momentum"
CHL,40,WATCH,271.5,42.9,UP,12.6,0.55,-7.3,"Strong_Uptrend, Below_200SMA, Near_52W_Low, Below_BB_Middle, Negative_5D_Momentum_Reversal"
UNHPL,40,WATCH,474.0,52.2,UP,73.3,0.43,-4.8,"Strong_Uptrend, Above_200SMA, Below_BB_Middle"
SHEL,40,WATCH,293.9,53.9,UP,54.4,0.91,-2.6,"Strong_Uptrend, Above_200SMA, Below_BB_Middle"
