Symbol,Latest_Close,52_Week_Low,Distance_from_Low_%,Date_at_52W_Low
GWFD83,1086.4,1087.5,-0.1,N/A
ALICLP,252.0,252.0,0.0,N/A
CZBILP,106.9,106.9,0.0,N/A
CYCLP,831.0,831.0,0.0,N/A
HBLPO,131.0,131.0,0.0,N/A
GBIMEP,100.0,100.0,0.0,N/A
FOWADP,660.0,660.0,0.0,N/A
MLBLPO,193.0,193.0,0.0,N/A
MATRIP,523.5,523.5,0.0,N/A
LBBLPO,261.0,261.0,0.0,N/A
KSBBLP,269.0,269.0,0.0,N/A
KMCDBP,587.0,587.0,0.0,N/A
KBLPO,100.0,100.0,0.0,N/A
JBLBP,100.0,100.0,0.0,N/A
JBBLPO,187.0,187.0,0.0,N/A
ILBSP,624.0,624.0,0.0,N/A
NABILP,301.1,301.1,0.0,N/A
MLBSLP,100.0,100.0,0.0,N/A
MNBBLP,236.2,236.2,0.0,N/A
MSLBP,735.0,735.0,0.0,N/A
NLICP,413.0,413.0,0.0,N/A
NLICLP,321.0,321.0,0.0,N/A
NMFBSP,675.0,675.0,0.0,N/A
NMLBBLP,334.0,334.0,0.0,N/A
SIFCPO,286.0,286.0,0.0,N/A
SLBBLP,453.0,453.0,0.0,N/A
SFCLP,164.0,164.0,0.0,N/A
RLFLPO,268.6,268.6,0.0,N/A
PRVUPO,100.0,100.0,0.0,N/A
PMLIP,270.0,270.0,0.0,N/A
PCBLP,100.0,100.0,0.0,N/A
SBLD2082,1045.2,1045.1,0.01,N/A
GMLI,1460.0,1455.0,0.34,N/A
BEDC,404.0,402.0,0.5,N/A
ICFCD83,1084.7,1079.1,0.52,N/A
CITY,455.5,452.0,0.77,N/A
ADBLD83,1050.9,1042.2,0.83,N/A
ULI,358.0,355.0,0.85,N/A
RBBD83,1034.5,1025.7,0.86,N/A
DOLTI,388.0,384.4,0.94,N/A
SRBLD83,1050.0,1038.8,1.08,N/A
SMJC,466.0,461.0,1.08,N/A
SHLB,1505.0,1488.0,1.14,N/A
HATHY,864.9,855.1,1.15,N/A
HBLD83,1033.0,1020.0,1.27,N/A
CBBLPO,395.0,390.0,1.28,N/A
