Symbol,Latest_Close,52_Week_Low,52_Week_High,Distance_from_Low_%,Distance_from_High_%
RLFLPO,274.0,274.0,274.0,0.0,0.0
PRVUPO,100.0,100.0,100.9,0.0,-0.89
CZBILP,106.9,106.9,109.0,0.0,-1.93
CYCLP,864.0,864.0,864.0,0.0,0.0
SNMAPO,180.0,180.0,180.0,0.0,0.0
GBIMEP,100.0,100.0,104.0,0.0,-3.85
FOWADP,660.0,660.0,660.0,0.0,0.0
NLICP,413.0,413.0,413.0,0.0,0.0
KSBBLP,269.0,269.0,269.0,0.0,0.0
LBBLPO,261.0,261.0,261.0,0.0,0.0
JBLBP,100.0,100.0,100.0,0.0,0.0
NMFBSP,675.0,675.0,675.0,0.0,0.0
SIFCPO,286.0,286.0,286.0,0.0,0.0
HBLPO,131.0,131.0,131.0,0.0,0.0
PMLIP,270.0,270.0,270.0,0.0,0.0
PCBLP,100.0,100.0,100.0,0.0,0.0
NLICLP,321.0,321.0,321.0,0.0,0.0
ILBSP,624.0,624.0,624.0,0.0,0.0
SLBBLP,453.0,453.0,463.0,0.0,-2.16
JBBLPO,187.0,187.0,187.0,0.0,0.0
KBLPO,100.0,100.0,115.0,0.0,-13.04
KMCDBP,605.0,605.0,605.0,0.0,0.0
BEDC,478.0,478.0,872.0,0.0,-45.18
SRBLD83,1042.0,1042.0,1125.0,0.0,-7.38
NABILP,301.1,301.1,301.1,0.0,0.0
MLBLPO,193.0,193.0,198.0,0.0,-2.53
MLBSLP,100.0,100.0,100.0,0.0,0.0
SFCLP,164.0,164.0,164.0,0.0,0.0
MNBBLP,236.2,236.2,236.2,0.0,0.0
MSLBP,735.0,735.0,735.0,0.0,0.0
NIBD2082,1008.5,1008.5,1170.0,0.0,-13.8
MATRIP,523.5,523.5,534.1,0.0,-1.98
SBLD2082,1045.2,1045.1,1097.6,0.01,-4.77
MCHL,389.0,388.1,641.0,0.23,-39.31
RBBD83,1030.1,1025.7,1100.0,0.43,-6.35
MLBBL,1291.0,1285.0,1690.0,0.47,-23.61
ICFCD83,1095.0,1088.5,1368.9,0.6,-20.01
MAKAR,503.1,500.0,802.0,0.62,-37.27
HPPL,383.0,380.2,711.0,0.74,-46.13
MSHL,762.0,756.0,979.0,0.79,-22.17
SBD89,1230.0,1220.0,1260.0,0.82,-2.38
ULI,358.0,355.0,746.0,0.85,-52.01
KMCDB,901.5,893.0,1223.0,0.95,-26.29
HBLD83,1031.0,1020.0,1111.0,1.08,-7.2
SMH,608.0,601.0,1024.8,1.16,-40.67
CBBLPO,395.0,390.0,395.0,1.28,0.0
NLG,654.6,646.0,976.2,1.33,-32.94
IHL,496.9,490.0,705.0,1.41,-29.52
UNLB,1665.0,1640.0,2480.0,1.52,-32.86
MKCL,1355.0,1333.0,1900.0,1.65,-28.68
SAND2085,1130.0,1111.0,1180.0,1.71,-4.24
DOLTI,479.0,470.6,703.0,1.78,-31.86
CIZBD86,1160.0,1139.5,1320.9,1.8,-12.18
GMFBS,1368.2,1343.0,1871.0,1.88,-26.87
USLB,1420.0,1393.0,2750.0,1.94,-48.36
GLBSL,1876.0,1838.6,3232.0,2.03,-41.96
RAWA,690.0,676.2,913.8,2.04,-24.49
KBLD90,1500.0,1470.0,1500.0,2.04,0.0
NMBD2085,1165.0,1140.0,1188.0,2.19,-1.94
SHLB,1556.0,1519.0,2259.0,2.44,-31.12
NBLD82,1080.0,1054.0,1140.0,2.47,-5.26
BGWT,750.0,730.7,1110.0,2.64,-32.43
SKBBL,771.9,752.0,999.0,2.65,-22.73
UMRH,540.0,526.0,675.0,2.66,-20.0
NHDL,640.0,623.0,881.0,2.73,-27.36
NSY,9.5,9.24,10.19,2.81,-6.77
KBSH,1663.6,1618.0,2344.0,2.82,-29.03
CITY,474.0,461.0,998.4,2.82,-52.52
MLBSL,1859.5,1808.4,2435.5,2.83,-23.65
HATHY,901.0,875.5,1469.8,2.91,-38.7
SBLD89,1240.7,1205.0,1450.0,2.96,-14.43
CGH,824.0,800.2,1150.0,2.97,-28.35
HBLD86,1127.9,1095.1,1201.0,3.0,-6.09
HLI,365.9,354.8,464.0,3.13,-21.14
BOKD86KA,1204.0,1167.0,1195.0,3.17,0.75
LBLD88,1130.0,1095.0,1165.0,3.2,-3.0
LBL,173.0,167.5,972.0,3.28,-82.2
MLBS,1441.0,1395.0,1900.0,3.3,-24.16
JBLB,1313.0,1270.7,1644.0,3.33,-20.13
VLBS,762.3,737.0,1008.0,3.43,-24.38
RURU,663.0,640.0,853.0,3.59,-22.27
NICAD2091,1042.0,1005.2,1102.6,3.66,-5.5
NMLBBL,622.0,600.0,807.0,3.67,-22.92
NICD83/84,1138.0,1097.6,1138.0,3.68,0.0
MND84/85,1100.0,1060.1,1128.0,3.76,-2.48
CIT,1796.0,1730.8,2168.0,3.77,-17.16
UNL,46700.0,45000.0,50724.0,3.78,-7.93
SMPDA,871.9,840.0,1155.0,3.8,-24.51
NIBD84,1052.0,1013.1,1130.0,3.84,-6.9
EBLD85,1145.0,1102.5,1250.0,3.85,-8.4
SBID83,1065.0,1025.0,1226.0,3.9,-13.13
MMKJL,548.8,528.2,722.0,3.9,-23.99
GWFD83,1133.0,1090.0,1464.8,3.94,-22.65
NLO,269.4,259.1,269.4,3.98,0.0
NRIC,1071.0,1030.0,1842.0,3.98,-41.86
GMLI,1649.9,1585.2,2699.0,4.08,-38.87
MBLD87,1128.0,1083.0,1169.0,4.16,-3.51
ADBLD83,1085.9,1042.2,1160.0,4.19,-6.39
LBLD86,1123.0,1077.4,1205.0,4.23,-6.8
SPL,726.0,696.3,1035.0,4.27,-29.86
KPCL,512.0,491.0,711.0,4.28,-27.99
SWBBL,750.0,718.0,1046.5,4.46,-28.33
BNL,15300.0,14635.8,19060.0,4.54,-19.73
VLUCL,540.0,516.0,685.0,4.65,-21.17
PBD84,1145.0,1094.0,1182.0,4.66,-3.13
SMJC,485.9,464.0,679.3,4.72,-28.47
