Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
HURJA,47,118.0,256.8,0.0,6523.6,6523.6,117.63
UNHPL,65,415.38,497.0,0.0,5305.0,5305.0,19.65
SSHL,200,190.0,188.0,0.0,-400.0,-400.0,-1.05
DORDI,130,307.54,274.0,0.0,-4360.0,-4360.0,-10.91
AKJCL,535,384.15,352.0,10335.0,-17200.0,-6865.0,-3.34
MEL,164,323.0,280.0,0.0,-7052.0,-7052.0,-13.31
PPCL,10,390.0,372.0,-8000.0,-180.0,-8180.0,-209.74
SINDU,115,866.3,745.0,0.0,-13950.0,-13950.0,-14.0
HLBSL,95,1079.0,908.1,0.0,-16235.5,-16235.5,-15.84
SAGAR,90,2220.0,2008.0,0.0,-19080.0,-19080.0,-9.55
GBLBS,60,1519.0,755.0,0.0,-45840.0,-45840.0,-50.3
